Script,Meaning
健康はすべてのものの中でもっとも貴重である。,Good health is the most valuable of all things.
ほんの少数の人しかその事実を知らない。,Only a handful of people know the fact.
彼が言ったことを理解したのはほんの少数だった。,Only a few understood what he said.
その店には少数の客がいた。,We found only a small number of customers in the store.
ヨットは少数の金持ちだけが楽しめるものだ。,Yachts are for the wealthy few.
古い伝統が消滅しつつある。,Old traditions are crumbling away.
もし太陽が消滅したら、生物は皆死ぬだろう。,"If the sun were to go out, all living things would die."
その国は消滅した。,The nation ceased to exist.
危機の時は落ち着かなければならない。,In a crisis you must keep your head.
々が危機は去ったと言っています。,People are saying that the crisis is over.
彼は危機にあっても冷静であった。,He was cool in the crisis.
健康はすべてのものの中でもっとも貴重である。,Good health is the most valuable of all things.
あれは貴重な経験だった。,That was a valuable experience.
時間ほど貴重な物はない。,Nothing is so precious as time.
時間は最も貴重なものだ。,Time is the most precious thing of all.
これはサミーさんのサインをもらう貴重な機会だ。,This is a precious chance to get Sammy's autograph.
彼女は連続して医学的発見をした。,She made a series of medical discoveries.
この病気を治すことは今のところ医学的に不可能だ。,At present it is medically impossible to cure this disease.
医学的に言うと、私はあなたに減量するようすすめます。,"Speaking medically, I advise you to lose weight."
医学的な見地からその事実を調査するべきだ。,You should investigate the fact from a medical viewpoint.
彼は知識をひけらかそうとした。,He tried to parade his knowledge.
彼はいろんな知識を持っている。,He has various knowledge.
彼には知識があり、また経験もある。,He has knowledge and experience as well.
彼は知識も経験も持っている。,He has knowledge and experience as well.
彼女は新しい知識を学ぶことに興味がある。,She is interested in learning new ideas.
彼女は仕事に興味を失った。,She lost interest in her work.
私は自分の仕事に興味を失った。,I lost interest in my work.
彼女は、すべての希望を失った。,She was bereft of all hope.
トムは仕事へのモチベーションを失っている。,Tom has lost his motivation to work.
彼はそのために仕事を失った。,"For that reason, he lost his job."
彼女は仕事に興味を失った。,She lost interest in her work.
私は自分の仕事に興味を失った。,I lost interest in my work.
彼女は、すべての希望を失った。,She was bereft of all hope.
トムは仕事へのモチベーションを失っている。,Tom has lost his motivation to work.
彼はそのために仕事を失った。,"For that reason, he lost his job."
ご指摘ありがとうございます。,Thank you for pointing that out.
ケネディ氏は、私達のミスを指摘しました。,Mr. Kennedy pointed out our mistakes.
どのコートがあなたのか指摘してください。,Can you identify which coat is yours?
先生はその生徒の間違いを指摘した。,The teacher pointed out the pupil's mistakes.
トムは私の間違いを指摘した。,Tom pointed out some mistakes that I had made.
どんな種類のスポーツが好きですか。,What kind of sport do you like?
ハミングバードには３４０種類がある。,There are 340 species of hummingbirds.
それは私の探している種類のものではない。,That's not the sort I'm looking for.
どんな種類のワインがいいと思いますか。,What kind of wine do you recommend?
どんな種類のビールがありますか。,What kinds of beers do you have?
少数民族たちは多くの困難に直面している。,Minorities are confronted with many hardships.
少数民族たちは偏見や貧困など、いろいろなことと戦っている。,"Ethnic minorities struggle against prejudice, poverty and so on."
少数民族は偏見、貧困、抑圧と戦っている。,"Ethnic minorities struggle against prejudice, poverty, and oppression."
少数民族達は偏見や貧困と戦っている。,Ethnic minorities struggle against prejudice and poverty.
我々は少数民族の権利を守らなければならない。,We have to stand up for minority rights.
そのどちらの言語も勉強しなかった。,I didn't study either of the languages.
僕は言語を勉強するのが好きだ。,I like studying languages.
英語は、ご存知の通り、今も確実に生きている言語である。,"English, as you know, is very much a living language."
すべての言語は話されている限りは変化する。,Every language continues to change as long as it is spoken.
他言語を学ぶことは、新たな世界を知ることを意味する。,Learning another language means discovering a new world.
そのチームは準決勝に勝って決勝に進出した。,The team won the semifinals and advanced to the finals.
決勝まで残った走者は５人だった。,Five runners reached the finals.
彼は会社を代表して、私に話してくれた。,He spoke to me on behalf of the company.
彼はクラスを代表して会場に出た。,He represented his class at the meeting.
彼を私たちの代表として選ぶ。,We adopt him as our representative.
私はアルジェリアからの代表と部屋を共にした。,I roomed with a delegate from Algeria.
彼の行動は友達の行動を代表している。,His actions are typical of those of his friends.
私はチャンピオンと対戦した。,I played against the champion.
テニスで君に対戦したい。,I'd like to play tennis with you.
私の祖父は第二次世界対戦で戦死しました。,My grandfather was killed in World War II.
彼はあしたヘビー級チャンピオンと対戦する。,He will fight the heavyweight champion tomorrow.
わが校はあす南高校と対戦する。,We will play against Minami High School tomorrow.
２人の候補者が首位を争っている。,The two candidates are struggling for mastery.
相手チームと首位を分けた。,We tied with the other team for first place.
この船はジブラルタル海峡を通過します。,This boat sails through the Strait of Gibraltar.
通過する車に気をつけなさい。,Watch out for passing cars.
私たちの通った列車は長いトンネルを通過した。,Our train went through a long tunnel.
私達の乗った列車は長いトンネルを通過した。,Our train went through a long tunnel.
その列車は元町駅を通過します。,The train will pass Motomachi Station.
我が軍は敵の防御を突破した。,Our army broke through the enemy defenses.
敵の防御は強力だったが我々は突破しようと試みた。,"Though the enemy's defenses were strong, we tried to break through."
第一の難関はどうにか突破した。,We have managed to overcome the first obstacle.
アメリカの対外債務は５０００億ドルを突破しましたよ。,America's foreign debt shot past $500 billion.
私は持ち前の頑張りの精神で難関を突破した。,I got over the difficulty with my characteristic tenacity.
二台のバンが激突してめり込んだ。,The two vans telescoped together.
政府は無法者たちの激突に対して大胆に対処した。,The government acted boldly to deal with the outlaw uprising.
失敗のさいの危険を考慮しながら、彼は相手との対決を要求した。,"Calculating the risk which is involved in the event of failure, he demanded a show-down with the other party."
経営側と労働者側との対決があるでしょう。,There is going to be a show-down between management and labor.
相反する理想を抱いた二つの強力な勢力が対決するのは、最終手段の時である。,"When two powerful forces with opposite ideals come face to face, it's time for a showdown."
首相が政敵の挑戦と真っ向から対決しました。,The prime minister directly confronted the challenges of his political opponents.
追われた敗残兵は、どうやら対決のときがきたと、腹をきめた。,The pursued remnant of soldiers decided it was high time for a show-down one way or another.
オリンピックは4年に1度開催される。,The Olympic Games take place every four years.
こちらが先日のコンサートが開催された場所です。,This is where the concert took place the other day.
私としてはいつパーティーが開催されてもかまわない。,"For my part, I don't care when the party is held."
そのコンサートは来年の夏に開催される。,The concert will take place next summer.
弊社20周年の記念パーティーを開催しました。,We held a party in honor of our company's twentieth anniversary.
当時彼は４０歳になるところだった。,He was hard on forty at the time.
当時、私はカナダにいた。,"At that time, I was in Canada."
私は当時、それを知らなかったが、今は知っている。,"I didn't know it back then, but I know it now."
彼女の名前は当時アグネスだった。,Her name was Agnes then.
当時彼はアメリカにいた。,He was in America at that time.
そのチームは準決勝に勝って決勝に進出した。,The team won the semifinals and advanced to the finals.
で彼の成功への夢は打ち砕かれてしまった。,The accident destroyed all his hopes for success.
その知らせは私たちの希望を打ち砕いた。,The news dashed our hopes.
トムが菜食主義者とは知らなかったんだ。,I didn't know that Tom was a vegetarian.
私は菜食主義者です。,I am a vegetarian.
菜食主義者へのおすすめは、なんですか。,Can you recommend any vegetarian dishes?
私は菜食主義者をやめたの。,I am a lapsed vegetarian.
トムとメアリーは二人とも菜食主義者だ。,Both Tom and Mary are vegetarians.
乳製品はめったに食べません。,I seldom eat dairy products.
私は本当に乳製品が嫌いです。,I really hate dairy products.
東アフリカの種族の中には、乳製品を主食にしているのがあるそうだ。,I hear some tribes in eastern Africa live on milk products.
この事に加えて、ほかにもまだ理由がある。,"In addition to this, there are other reasons."
僕もゲームに加えて下さい。,Let me join in the game.
そのことに加えて、彼は試験に失敗した。,"In addition to that, he failed the examination."
この増加に加えて、世界の経済構造の変化があった。,"Along with this increase, there has been a change in the world's economic organization."
雨に加えて激しい風にもあった。,"Besides the rain, we experienced heavy winds."
食生活変えた方がいいよ。,You'd better change your eating habits.
私たちの食生活はとても変化に富んでいます。,Our diet is full of variety.
食生活は生存に必要である。,Food is necessary for life.
わたしはあなたの健康をとても心配している。,I'm very worried about your health.
健康に気をつけなさい。,Take care of your health.
私たちは自分の健康には十分注意しなければなりません。,We must take good care of ourselves.
健康が私にとってすべてです。,Health means everything to me.
健康より大切な物は無い。,Nothing is more important than health.
6月5日は世界環境デーです。,June fifth is World Environment Day.
６４ビットのソフトは３２ビット環境では動かないだろう。,Sixty-four-bit software will not run on 32-bit architecture.
昨日、アメリカから帰ってきたので、まだ頭の中が英語環境だ。,"I just got back from the States yesterday, so I'm still thinking in English."
ネット環境がないと、トムは仕事ができないんだよ。,Tom can't do his job without an internet connection.
新しい環境に生活を合わせてゆかなければならなかった。,We had to gear our lives to the new circumstances.
美の認識は倫理の検査となり得る。,The perception of beauty is a moral test.
たくさんの人々が倫理の面から遺伝子治療に反対した。,A great many people were opposed to gene therapy in terms of ethics.
倫理の面で、たくさんの人々が遺伝子治療に反対している。,"In ethical terms, a great many people are opposed to gene therapy."
健康の観点から見れば、東京は生活するのにそんなによい場所ではない。,"From the viewpoint of health, Tokyo is not such a good place to live."
私は違った観点からその問題を見ています。,I am looking at the matter from a different viewpoint.
母は何でもお金の観点から考える。,My mother thinks of everything in terms of money.
その問題を別の観点から見てみましょう。,Let's look at the problem from a different point of view.
その問題をあらゆる観点から考えなければならない。,We must consider the question from every aspect.
御注目ください。,"Give me your attention, please."
ご注目下さい。,Please give me your attention.
こちらにご注目ください。,Attention please!
彼はいつもボスの動きに注目しています。,He always takes note of his boss's movements.
今年、注目している選手は誰ですか。,Which player are you paying the most attention to this year?
何か集めていますか。,Do you collect anything?
コンピューターに関する本を全部集めなさい。,Put all the books about computers together.
その広告はたいへん注目を集めていた。,The ad really pulled.
私は、それについてさらに情報を集めた。,I gathered more information about it.
トムはコーヒーカップを集めてるんだ。,Tom collected coffee cups.
あなたは新たな人生を始めるべきだ。,You should make a fresh start in life.
