Time,Subtitle,Translation
13s,（樋口(ひぐち)） ツナ缶とかツナサラダとかね,Everyone knows what canned tuna and tuna salad is.
16s,マグロのことを英語で ツナって言うでしょ,"But did you know tuna came from the Latin term Thunnus,"
19s,あれはね ギリシャ語の “ツナス”が語源なんです,"But did you know tuna came from the Latin term Thunnus, which in turn was derived from the Greek thýnō?"
23s,で そのツナスの意味は―,The word itself means…
26s,“突進”,rush.
29s,（美波） よいしょ　すいません,Sorry.
32s,（樋口） クロマグロは時にね ３メートル 500キログラムにもなります,"Pacific bluefin tuna may grow as big as 10 feet and 1,100 pounds."
37s,んな巨体で 時速80キロ出すことも あるんでねぇ,"Despite its huge size, it can reach speeds around 50 mph."
42s,確かに突進の魚ですよね,It really is in a rush.
46s,でね この研究所では,"Pacific bluefin is an endangered species, so our research institute is"
49s,絶滅危惧種のクロマグロを 完全養殖で育ててます,"Pacific bluefin is an endangered species, so our research institute is raising them using a fully farmed method."
53s,卵を成魚に育てて で また産卵さして,We raise adult fish from eggs and make them spawn.
57s,また成魚に 育てるていうね,Then eggs to adults again.
59s,天然資源にダメージを 与えへんスタイルです,This farming style doesn't damage natural resources.
1:03,で あの… 飼育 研究だけではなく,But we're not just farming them.
1:07,市場にも 出荷してるんです,We also ship them to market.
1:09,だから君たちは 学問が経済に直結する,So your area of study is directly related to economics.
1:14,この…“実学”,"In Japan, we call this a practical science."
1:19,これを学ぶわけです,This is what you're learning.
1:22,（美波）ヤバい ヤバい,"Oh, no."
1:23,あの もうちょっとだけ 急いでもらっていいですか ほんまにすいません もう,"I'm really sorry, but could you drive a little faster?"
1:29,（樋口）串本(くしもと)はね マグロにとったら ほんま 住みやすいとこなんやけど,Kishimoto is really a great place to raise tuna.
1:33,君ら 大丈夫ですかねぇ,But I'm worried about you guys.
1:35,ほら 大阪キャンパスとちごて なぁんもない島やから,"Compared to our Osaka campus, there's nothing here."
1:39,どう？　頑張れそう？,Think you can handle it?
1:41,（学生たち）はい,"Yes, sir."
1:42,ほなね まあ この研究合宿を通じて マグロについて 養殖について しっかり学んでください,I want you to learn all about tuna and tuna farming at this research camp.
1:49,（小泉(こいずみ)）よろしくお願いします （３人）よろしくお願いします,We look forward to working with you.
1:53,（樋口）おお 須藤(すどう)くん 紹介しときます,"Sudo, let me introduce you."
1:56,彼が大学院２年の 須藤亮太(りょうた)くんです,"This is Ryota Sudo, a second-year grad student."
1:59,私も出張が多いんで 色々 彼に 聞いて下さい,"I'm often away on business, but he can help you."
2:03,（須藤）よろしく,Happy to help.
2:04,（学生たち） よろしくお願いします,Thank you.
2:06,この後は生け簀(す)を見学します,I'll show you the floating cages after this.
2:08,荷物は置いたままで 長靴に履き替えてください,"Leave your things here, and put on your boots."
2:11,（樋口）須藤くん,Sudo.
2:14,もうちょい どやろ （須藤）待つんですか？,Just a little longer. -We should wait? -Yeah.
2:18,（須藤） 遅刻って連絡だけで 何時に着くとは,"She said she'd be late, but when exactly?"
2:20,（樋口） そやねんけどね もうちょい…,"I know, but just a bit longer."
2:23,（美波）失礼しま…だっ ギャッ！,Sorry I'm late!
2:29,（樋口）大丈夫ですか？,Are you okay?
2:31,（美波）いやもう 超あせって （樋口）よいしょっ,I panicked about being late.
2:33,（美波） 電車の中もタクシーの中も 走りそうになりまし…,I nearly started running in the train and taxi.
2:36,あっ 樋口教授？ はい,-Professor Higuchi? -That's right.
2:39,あの 水産学科３回生 高山(たかやま)美波です,"I'm Minami Takayama, a junior at the Department of Fisheries."
2:43,よろしくお願いします,Nice to meet you!
3:18,（須藤）餌は生魚や配合飼料です,They eat raw fish and fish feed.
3:21,配合飼料はマグロが好む味を 研究して作られています,The fish feed was made after research into what tuna like.
3:25,（笹倉(ささくら)） 食う時 性格でるで～,Their personalities show when they eat.
3:27,よう食べる卑しい子,Greedy ones eat like pigs.
3:29,ひとの分も食べる あがばっかりの子,Selfish ones eat more than their share.
3:32,気 小そうて全然 食べれん子 おーこらこら はばるで,"Timid ones barely eat at all. Hey, you're gonna fall in!"
3:35,あっ すいません,Sorry.
3:37,いや どれがせっかちで どれが厚かましいんかなぁと思て,I was trying to find the impatient ones and the pushy ones.
3:43,それ分かるようになるんやったら 10年かかるわ,It takes ten years to spot things like that.
3:45,10年？,Ten years?
3:47,うわっ そんなかかるんや,It takes that long?
3:50,はー 大変やなぁ,That's crazy.
3:51,えっあっあっ めっちゃでかい めっちゃでかいのおる,That one is huge!
3:54,うっはー　すごいなぁ,Wow!
4:04,（小泉） で 夕食は賄いのおばちゃんが 冷蔵庫に入れといてくれんねん,"KISHIMOTO DORM, KINDAI UNIV. And the dorm mother puts our dinner in the fridge."
4:08,食器洗いと洗濯は各自 トイレと風呂の掃除は 当番制,"We do our own dishes and laundry, and take turns cleaning the bathroom."
4:13,まあ 分からんことあったら 俺に聞いて,Just ask if you have any questions.
4:15,（美波） っへへ 小泉くん 合宿経験者？,"Koizumi, have you been here before?"
