w1,w2,w3,w4,w5,w6,w7,w8,w9,w10
大人,人口,商人,人間,人生,毎日,日記,"日付 ",平日,祝日
一番,一致,一緒,一日,一言,大学,莫大,大変,大切,大勢
学校,数学,入学,留学,通学,何時も,何で,何しろ,何分,何となく
月給,月末,月賦,月並み,月謝,未来,来週,将来,本来,来日
八百屋,百姓,百貨店,何百,数百,西洋,西暦,関西,東西,西日
夏休み,休む,休暇,休憩,休息,校長,議長,長い,社長,成長
時間,人間,瞬間,時間割,間に合う,病気,電気,気分,天気予報,気候
時計,時間,時々,当時,時刻表,二十日,十分,十字路,二十歳,十日
小川,川沿い,川岸,谷川,堀川,新聞,聞く,聞こえる,聴聞,見聞
東京,東部,東側,東方,北東,英語,言語,物語,国語,略語
少年,年寄り,青年,今年,去年,基本,本能,本質,本棚,本物
出版,輸出,出る,出す,出血,夜中,中立,途中,中心,背中
電話,会話,話す,世話,話し合う,高速,高価,最高,高校,高い
登山,火山,山脈,山火事,氷山,今週,今年,今日,今朝,今回
千里,何千,数千,千円札,千葉県,右手,右側,右折,左右,右足
靴下,地下鉄,下手,下がる,以下,祖母,お母さん,母校,母親,乳母車
女性,少女,女の子,彼女,女子,午前,手前,前提,名前,以前
三つ,再三,三日,三振,第三者,収入,輸入,入学,入れる,入る
九つ,九日,九州,九重,十九,停電,電池,電気,電車,電話
円満,円滑,円柱,円高,円卓,父親,祖父母,お父さん,伯父,祖父
椅子,子供,息子,菓子,帽子,国民,国語,外国,国籍,国際
発見,見せる,花見,見る,見物,上手,上る,上げる,上着,以上
教科書,書く,書店,図書館,書類,署名,有名,名所,名刺,名物
五日,五分,五つ,五目,五感,金属,現金,金融,金庫,お金
左手,左肩,左利き,左折,左側,火災,火山,花火,下火,火事
半島,半分,大半,半端,半ば,毎朝,毎晩,毎日,毎度,毎回
八つ,八丁,十八番,八百屋,八日,土産,土地,土台,粘土,土手
水泳,香水,淡水,水道,水分,北側,北海道,東北,北東,北口
天才,天候,天気,天然,晴天,読書,読む,購読,解読,読み方
木材,植木,並木,木綿,木の葉,自動車,駐車場,発車,自転車,電車
気分,分析,自分,半分,多分,旅行,銀行,行動,行く,並行
生活,生きる,生まれる,生む,生意気,二つ,二十日,二部,二日酔い,二番
男性,男の子,男子,長男,男女,四つ,四季,四角,四日,四国
郊外,海外,外国人,以外,外国,先生,先週,先ず,先輩,優先
梅雨,雨戸,雨天,雨季,雨具,正午,午前,午後,午前中,午後中
小学校,小説,小屋,小さい,小売,後ろ,最後,直後,後者,今後
中学校,高校,登校,校庭,校舎,六つ,六日,六時,六角,十六
友情,友達,友人,親友,交友,万能,万一,万年筆,万引き,万事
南極,南北,南瓜,南東,南側,白い,真っ白,面白い,告白,青白い
食堂,食事,食欲,食品,食べる,七つ,七日,十七,七夕,十七日
