Words,Translation
何名様ですか,How many people?
2人です,"Two, sir."
申し訳ございません。只今、満席です,We're sorry. We are currently full.
待ち時間はどのくらいですか,How long is the wait?
どのくらい待ちますか,How long will you wait?
ご予約はされていますか,Do you have a reservation?
7時に予約している~です,I have a reservation for 7:00.
いいえ、予約はしていないです,"No, I don't have a reservation."
ご案内いたします,Let me show you the way.
お好きな席どうぞ,Please have a seat of your choice.
お好きな席お座りください,Please have a seat of your choice.
メニューもらえますか,Can I have a menu?
ご注文はお決まりですか,Have you decided what you want to order?
いいえ、まだ決まってないです,"No, I haven't decided yet."
また後で言います,I'll tell you later.
では、また後でお伺いいたします,I'll come back later.
天ぷら定食ください    ,"Tempura set meal, please.    "
チーズハンバーグで    ,Cheese hamburger steak.    
チーズハンバーグとコーヒー,Cheese hamburger and coffee.
これをください,"This one, please."
何がおすすめですか,What do you recommend?
お飲み物は何なさいますか,What would you like to drink?
コーヒーください,"Coffee, please."
いいえ、大丈夫,"No, thank you."
この料理に卵は入っていますか,Does this dish contain eggs?
アレルギーなので、卵抜きで作ってもらえますか,"I'm allergic to eggs, can you make it without eggs?"
お飲み物はいつお待ちしましょうか,When can I wait for my drink?
先にお願いします,"First, please."
一緒にお願いします,"Together, please."
食後にお願いします,"After dinner, please."
以上です,That's all.
とりあえずこれで大丈夫です,That's all for now.
すみません。注文したものがまだ来ないんですが,Excuse me. The food I ordered hasn't arrived yet.
すみません。これ注文したものと違います,I'm sorry. This is not what I ordered.
これ注文していないです,I didn't order this.
取り皿もらえますか,"Can I have a plate, please?"
お水もらえますか,Can I have some water?
おしぼりもらえますか,Can I have a hand towel?
お手洗いはどこですか,Where is the restroom?
タバコはどこで吸えますか,Where can I smoke?
こちらのお皿、お下げしてもよろしいですか,May I take this plate down?
はい、お願いします,"Yes, please."
まだ食べています,I'm still eating.
お会計お願いします,"Can I have the bill, please?"
カード使えますか,Can I use my credit card?
お会計、別々にできますか,Can we pay separately?
領収書もらえますか,Can I get a receipt?
はい、レストランみやこでございます　,"Yes, this is Restaurant Miyako.　"
あのう、予約お願いしたいんですが..,"Excuse me, I'd like to make a reservation."
かしこまりました。いつの予約ですか,"Yes, of course. When is the reservation?"
20日の7時に2名でお願いします,"The 20th, 7:00 p.m., for two people, please."
はじめまして。私の名前はジョンです,Nice to meet you. My name is John.
アメリカから来ました,I'm from the United States.
旅行会社です,I'm a travel agent.
よろしくお願いします,It's nice to meet you.
りなさん、ご出身はどこですか　,"Rina-san, where are you from?　"
ロンドンです。ジョンさんは？,"London. And you, John?"
シカゴです。学生ですか、もう働いていますか　,Chicago. Are you a student or are you already working?　
学生です。ジョンさんは？,"I'm a student. And you, John?"
