Time,Script,Translation
11s,こんにちは日本語スイッチのいくです ,"Hello, I'm Iku from Japanese Switch. "
12s,お元気ですか,How are you?
13s,日本語の勉強を楽しんでいますか,Are you enjoying your Japanese studies?
21s,さて日本語スイッチは今年2020年の3月7日に配信を始めて半年が経ちました,"Well, it's been half a year since we started distributing Japanese Switch on March 7, 2020 this year!"
33s,聞いてくれている皆さんのおかげで半年間も続けることができました いつも聞いてくれているあなた,"Thanks to everyone who listens, I was able to continue for half a year You who are always listening"
45s,ありがとうございます そしてコメントを下さる皆さん,Thank you and everyone who makes comments
50s,感謝しています,I'm grateful.
51s,皆さんのコメントを読んで笑ったり嬉しくて泣いたり,Reading your comments made me laugh and cry with joy.
59s,あなたがいるから頑張ることができています ありがとう,I can do my best because you are here Thank you
1:05,そこで今回は感謝の気持ちを込めて 新しい企画をお届けします,"So this time, we will deliver a new project with gratitude."
1:14,そう例は 頭のなかの日本語のスイッチを入れる,So an example is to switch on the Japanese in your head
1:20,シャドーイングです 長いタイトルですねつまり今回は日本語のシャドーイングの練習を一緒にしたいと思い,"It ’s shadowing. It ’s a long title. In other words, this time I ’d like to practice shadowing in Japanese together."
1:33,ます いつもは私が一人で話しているんですけど今回は一緒に会話文の練習をしませんか,"I'm always talking alone, but this time, why don't you practice conversational sentences together?"
1:45,ッパそれでは頭のなかの日本語のスイッチを入れて最後まで聴いてくださいね さて,Then turn on the Japanese switch in your head and listen to the end.
1:56,いやちょっと待てを行くさんがやる気満々なのはわかったけど まずシャドーイングって何を,"No, I understand that the person who waits for a while is motivated, but first of all, what is shadowing?"
2:09,って言う人もいますよね失礼しました 説明させてください,"Excuse me, let me explain"
2:17,シャドーイングとは外国高を習う時の練習方法です 聞く力や発音やイントネーションを良くするのに役立ちます,"Shadowing is a practice method when learning foreign high school. It helps to improve listening ability, pronunciation and intonation."
2:33,やり方はいろいろあるようですが基本的にはネイティブスピーカーの言ったことをすぐ に繰り返す,"There seem to be various ways to do it, but basically, what the native speaker said is repeated immediately."
2:45,だけです シャドウ,Is just a shadow
2:48,影のようにすぐに同じように真似ることから シャドーイングというそうです,It's called shadowing because it imitates the same thing immediately like a shadow.
2:58,まあ習うより慣れろ 一緒にやってみましょう,Let's get used to it rather than learn it
3:04,今回はなんと100個のフレーズを用意しました どれも簡単で短い文です,"This time, I prepared 100 phrases, all of which are simple and short sentences."
3:15,朝に日本語のスイッチを入れて欲しいと思ったので朝によく使われるフレーズ 分かりを用意しました,"I wanted you to switch on Japanese in the morning, so I prepared a phrase understanding that is often used in the morning."
3:27,すべてくだけた会話文です 男性でも女性でも使える部分になっています,It's a simple conversational sentence. It's a part that can be used by both men and women.
3:38,性別に関係なく心配しないで使ってくださいね では日本語スイッチのシャドーイングのやり方はこうです,Don't worry about it regardless of gender. Here's how to shadow the Japanese switch.
3:50,1 まず、 私がいうフレーズを聞いてください,1 First listen to the phrase I say
3:57,2 もう一度同じフレーズを繰り返すので,2 Because I repeat the same phrase again
