Time,Script,Translation
0s,ピースの角度は３０度！　どうもゆきりぬです。そしてー,The angle of the piece is 30 degrees! I am Yukirinu. And-
3s,かこちんで～す！,I am Kakochin
4s,いえ～い！！,No! !!
5s,はい、という事で、今日はですね、二人でスノボにやってきました！,"Yes, so today, we both came to snowboarding!"
11s,ふぉ～！,Whoa!
14s,ゆきりぬ：「初めてなんだけどスノボ、大丈夫かな？ー」,"Yukirinu: ""It's my first time, but is snowboarding okay?"""
16s,かこちん：「大丈夫、頑張りましょう」,"Kakochin: ""Okay, let's do our best"""
17s,ゆきりぬ：「大丈夫？　頑張れる？」,"Yukirinu: ""Are you okay? Can you do your best?"""
17s,かこちん：「走り方はやばいですいからね」,"Kakochin: ""It's a bad way to run, isn't it?"""
19s,ゆきりぬ：「そうなんだよ,"Yukirinu: ""That's right."
20s,かこちん：「滑り方はどうなのか、という・・・」,"Kakochin: ""How is it slipping ..."""
23s,それでは、れっつらご～！,"Well then, let's go!"
26s,ゆきりぬ：「では、リフトに行きます」,"Yukirinu: ""Then, let's go to the lift."""
28s,ゆきりぬ：「果たして私はちゃんとリフトに乗れるのか？！」,"Yukirinu: ""Can I really get on the lift ?!"""
33s,あ～！　高い！　あ～、私、怖いの無理、高いの、怖いの！,"Ah! high! Ah, I'm scared, it's expensive, I'm scared!"
36s,空いてるね、結構,"It's vacant, quite"
39s,嬉しい,happy
45s,ゆきりぬ：「これで、もう、なんか、留めたりとかはない？」,"Yukirinu: ""Isn't there anything else I can do with this?"""
48s,かこちん：「もうない。大丈夫」,"Kakochin: ""No more. All right."""
52s,「なんか、今の気分、あれなんだけど・・・,"Somehow, that's how I feel now ...



"
54s,スプラッシュマウンテンの一番上にいる気分	,Feeling at the top of Splash Mountain
57s,ーここまでは楽しかった。。。	,-It was fun so far. .. ..
59s,。。。けど。。。これから、ちょっと、不安。。。,".. .. .. but. .. .. From now on, I'm a little worried. .. .."
1:03,かこちん：「サムネを撮る為に移動を頑張ってるゆきりぬさんです」,"Kakochin: I'm Yukinu-san, who is working hard to take thumbnails."""
1:08,かこちん：「イメトレ出来ました？」,"Kakochin: ""Did you do imagery?"""
1:11,ゆきりぬ：「いめとれ～。。。」,"Yukirinu: ""Imetore ..."""
1:12,かこちん：「掘らなくて大丈夫ですよ」,"Kakochin: ""You don't have to dig."""
1:18,かこちん：「でも、意外と滑れそうですね。大丈夫です！　えっと、,"Kakochin: ""But it looks like it's slippery. It's okay! Um,"
1:21,ーなんか、やってみてください！,-Please try it!
1:25,ゆきりぬ：「止まれない・・・・永遠に、わっは～、（という感じで落ちてゆく）,"Yukirinu: ""I can't stop ... forever, wow ... (I feel like I'm falling)"
1:32,ゆきりぬ：「ごめんなさい。。。。」,"Yukirinu: ""I'm sorry ..."""
1:34,ーこれは人を殺してしまう、私・・・,"-This kills people, I ..."
1:42,かこちん：「でも、なんか、行けそうじゃないですか？,"Kakochin: ""But, isn't it possible to go?"
1:44,ゆきりぬ：「それっぽい？」,"Yukirinu: ""Is it like that?"""
1:45,かこちん：「初めてにしてはー」,"Kakochin: ""For the first time"""
1:46,ゆきりぬ：「やったー！　かこちんに褒められた！」,"Yukirinu: ""Yeah! I was praised by you!"""
1:53,ゆきりぬ：「おーー！！！」,"Yukirinu: ""Oh !!!"""
1:59,うわぁ～！,Wow!
2:07,ゆきりぬ：「可愛いかこちんタイムが突然始まる,"Yukirinu: ""Cute Kakochin time starts suddenly"
2:10,ほら、可愛い、可愛いよ」,"You see, it's cute, it's cute. """
2:20,かこちん：「膝に、くって、力入れたら、左が前になってー,"Kakochin: ""If you put it on your knees and put effort into it, the left side will be in front."
2:24,ゆきりぬ：「ほわ～～～！！,"Yukirinu: ""Howa ~~~!"
2:29,かこちん：「耐えた、耐えた！」,"Kakochin: ""I endured, I endured!"""
2:32,かこちん：「あぁ、ま、まぁ、あのぅ・・・・,"Kakochin: ""Ah, well, well, uh ..."
2:40,ゆきりぬ：「耐えた！」,"Yukirinu: ""I endured!"""
2:44,かこちん：「かっこいい」,"Kakochin: ""Cool"""
2:51,ゆきりぬ：「あぁぁぁぁぁぁぁ！！　かこちぃ～～～ん！！！」,"Yukirinu: “Aaaaaa"""
2:54,かこちん：「遭難しかけてるんだけど・・・,"Kakochin: ""I'm in distress ..."
2:59,少年はやっ！,Do the boy!
3:01,かこちん：「あっち、あっち！　あそこ！」,"Kakochin: ""Over there, over there! Over there!"""
3:06,ゆきりぬ：「ああぁぁ・・・着いたぁ・・・,"Yukirinu: ""Oh ... I've arrived ..."
3:07,ぁぁぁぁぁ,Ahhhhhh
3:09,ゆきりぬ：「耐えた！」,"Yukirinu: ""I endured!"""
3:11,ゆきりぬ：「（黄昏れ気味に）・・・みんな・・・元気だなぁ・・・かこちん、元気？,"Yukirinu: ""(Slightly twilight) ... everyone ... I'm fine ... Kakochin, how are you?"
3:15,かこちん：「かこは元気です」,"Kakochin: ""Kako is fine."""
3:17,ゆきりぬ：「リフトをねぇ、なんか、ちゃんと・・・ん？」,"Yukirinu: ""Hey lift, what's the matter ...?"""
3:25,ゆきりぬ：「さて、第二回リフト選手権,"Yukirinu: ""Well, the 2nd Lift Championship"
3:31,うわぁ！,Wow!
3:33,ゆきりぬ：「良い景色です」,"Yukirinu: ""It's a nice view."""
3:35,かこちん：「高～い！」,"Kakochin: ""High!"""
3:40,ゆきりぬ：「ここから私のスノボをやっていきます！,"Yukirinu: ""I'm going to do my snowboarding from here!"
3:43,二人揃って：「れっつらご～！」,"Together: ""Let's go!"""
3:45,かこちん：「いけてる、いけてる！,"Kakochin: ""I'm good, I'm good!"
3:48,ゆきりぬ：「・・・滑らかに滑れないんだが。。。,"Yukinu: ""... I can't slide smoothly."
3:55,かこちん：「ついてこれてます？,"Kakochin: ""Are you following me?"
3:59,かこちん：「ついて来れてないのじゃ・・・ないのか？・・・,"Kakochin: ""You can't keep up with me ... isn't it? ..."
4:12,ゆきりぬ：「大変だった・・・腰が痛いよ・・・・」,"Yukirinu: ""It was hard ... I have a backache ..."""
4:15,かこちん：「あ～、良い感じ。ＪＲ好き好き（JR SKI SKI）」,"Kakochin: ""Oh, it feels good. I like JR SKI (JR SKI SKI)"""
4:16,ゆきりぬ：「何しても褒めてくれる！」,"Yukirinu: ""I will praise you for anything!"""
4:19,かこちん：「こう手を伸ばして下さい。,"Kakochin: ""Please reach out."
4:21,ーこれ「JR SKI SKI」の広告にあった！,"-This was in the advertisement for ""JR SKI SKI""!"
4:25,ゆきりぬ：「嘘？　あった？　これ？」,"Yukirinu: ""A lie? Was there? This?"""
4:50,かこちん：「顔は必死だけど、ふふふ」,"Kakochin: ""My face is desperate, but fufufu"""
5:06,かこちん：「楽しさの理解者,"Kakochin: ""Understanding of fun"
5:08,ーまあ、でもちょっと遅いですね。,"-Well, but it's a little late."
5:49,ゆきりぬ：「箸が止まらない」,"Yukirinu: ""Chopsticks don't stop"""
5:53,ゆきりぬ：「はい、という事で時間が来たので、,"Yukirinu: ""Yes, it's time to come, so"
5:55,ー降りてきました,-I came down
5:57,はぁぁぁ、楽しかったね」,"It was fun. """
5:59,かこちん：「楽しかった。疲れましたね」,"Kakochin: ""It was fun. I'm tired."""
6:01,ゆきりぬ：「そう、おいしね（私ね）、腰がやばいよ。,"Yukirinu: ""Yes, it's delicious (me), I'm sick."
6:04,ーこれから、５時間かけて、又、東京に帰りたいと思います,-I would like to return to Tokyo again in the next 5 hours.
6:09,かこちん先生！,Kakochin-sensei!
6:11,今日の・・・私の滑りはどうでしたか？」,"Today ... how was my slip? """
6:12,かこちん：「ななじゅう,"Kakochin: ""Nanaju"
6:13,５点！（７５点）」,"5 points! (75 points) """
6:14,ゆきりぬ：「リアルだぁ！」,"Yukirinu: ""It's real!"""
6:17,ゆきりぬ：「いやぁ、個人的にはねぇ、,"Yukirinu: ""No, not personally,"
6:18,パリピの中に馴染めたと思う」,"I think I got used to it in Parisi. """
6:21,かこちん「そうですね」,"Kakochin ""That's right"""
6:22,ゆきりぬ：「パリピの中でも、自分らしく楽しむ事が出来たので,"Yukirinu: ""I was able to enjoy myself even in Parisi."
6:25,良かった、な、と、思っています。,I think it was good.
6:27,ー何の感想なんだかぁ～～わかりません,-What's your impression? I don't know.
6:30,それでは、今日の動画はこれで終わりになります。,That's it for today's video.
6:32,最後までご試聴有り難う御座いました。,Thank you for listening until the end.
6:34,是非、高評価、チャンネル登録,"By all means, highly rated, subscribe to the channel"
6:36,宜しくお願いします,Thanking you in advance
6:38,それでは、ばいば～い！,"Well then, goodbye!"
6:58,ゆきりぬ：「ひぇ～！」,"Yukirinu: ""Hey!"""
7:00,かこちん：「やばいの、ばれた！」,"Kakochin: ""It's dangerous!"""
7:03,かこちん：「はい、終わりです。,"Kakochin: ""Yes, it's over."
7:06,しゅっぱ！,Shuppa!
7:07,ゆきりぬ：「駄目です」,"Yukirinu: ""No"""
7:08,かこちん：「終わらず～～！！」,"Kakochin: ""It never ends !!"""
0s,よっこいしょったらよっこいしょ,It ’s good if it ’s good.
7s,ピースの角度は30度　どうもゆきりぬです,The angle of the piece is 30 degrees.
9s,今日はですね,Today
11s,チャンネル登録者数が80万人になったということで,"The number of subscribers has reached 800,000"
15s,という記念の質問コーナーやっていきたいと思います,I would like to do a commemorative question corner
20s,今日Twitterで募集かけて今日撮るっていう,Call for recruitment on Twitter today and shoot today
