Script,1,2,3,4
How can I get to Shinjuku?,新宿への行き方を教えてください    ,新宿へはどうやって行けばいいですか？       ,新宿へはどうやって行けばいいのですか？,新宿への行き方は？　
Who should I ask?,誰に聞けばいいの？　　  ,誰に聞けばいいのか？　　  ,誰に頼めばいいのですか？　　  ,誰に聞けばいいのでしょうか？ 
What time should I come?,何時に行けばいい？    ,何時に行けばいいですか？    ,何時に来ればいいの？    ,何時に来ればいいのか？    　
How about a cup of coffee? ,コーヒーでも飲みますか？   ,コーヒーでも飲みませんか？   ,コーヒーはいかがですか？    ,コーヒーはどうですか？     　　
What kind of person is your type?,あなたのタイプはどんな人ですか？    ,あなたのタイプはどんな人？    ,どんな人がタイプですか？    ,どんな人がタイプなの？　　　　
"Excuse me, I want to order",すいません、注文したい   ,すいません、注文したいです   ,すいません、注文したいんですが   ,すいません、注文したいんですけど   
I would like to order please,注文したい ,注文したいのですが     ,注文したいと思います     ,注文したいのですが、お願いします           
"Can I have the bill, please?",お会計をお願いします   ,お会計をお願いできますか？   ,お勘定お願いします   ,請求書をいただけますか？
Can you take a picture of me please? ,私の写真を撮ってくれますか    ,私の写真を撮ってくれませんか    ,私の写真を撮ってもらえますか    ,私の写真を撮ってもらえませんか    
Could I have you to take a picture of me please?,私の写真を撮ってもらえますか   ,私の写真を撮ってもらえませんか   ,私の写真を撮っていただけますか   ,私の写真を撮っていただけませんか   
Can I leave my luggage here for a while,荷物を一時的に預けることはできますか？   ,荷物を一時的に預けることができますか？   ,しばらく荷物をここに置いておいてもいい？,しばらく荷物をここに置いておいてもいいですか
I will pick it up this afternoon,今日の午後に取りに行きます   ,今日の午後に取りに行く予定です   ,,
I will come back and pick it up at around 3:00pm today,今日の午後3時頃に取りに来ます    ,今日の午後3時頃に引き取りに来ます    ,今日の午後3時頃に取りに来る予定です    ,今日の午後3時頃に引き取りに来る予定です    
