w1,w2,w3,w4,w5,w6,w7,w8
人,国,女,何,男,八,父,学校
日本人,外国,女の子,何事,男の子,八つ,父親,校長
アメリカ人,外国人,女の人,何曜日,男の人,八人,祖父,校舎
百人,中国,女らしい,何も,男らしい,八日,父母,小学校
人々,韓国,女性,何で,男前,八月,伯父,中学校
あの人,大国,少女,何だが,男性,お八つ ,親父,高校
一人,万国,女子,何より,男子,八百屋 ,尊父,高校生
二人,国会,彼女,何でもない,男女,八百長 ,お父さん,高等学校
三人,国際,女優,何とも,長男,八十,祖父母,校庭
大人,国内,王女,何しろ,山男,八つ当たり,父子,登校
女の人,国籍,女神,何分,美男,八丁 ,義父,母校
人間,国民,長女,何となく,男児,十八番 ,父兄,転校 
人口,国家,男女,何か,次男,八方,父祖,校歌
個人,国境,魔女,何やら,男優,十八,父方,校則
友人,国語,美女,何者,大男,八方美人,養父母,開校
人生,全国,女学生,何もない,男っぽい,八幡 ,お父さま ,校門
一,上,三,来る,外,水,北,右
一つ,上がる,三人,将来,海外,水泳 ,北方,左右
一人,上げる,三つ,本来,外国,水道 ,北風,右手
一々,申し上げる,三日,以来,外交,水素,東北,右側
一時,召し上がる,再三,未来,外出,香水,北東,右足
一ページ,差し上げる,三枚,来年,以外,淡水,南北,右上
一分,取り上げる,三日月,来月,意外,水分,北上,右折
一月,持ち上げる,三種,来日,例外,水曜日 ,北海道,右左
一ヶ月,上る,三度,来週,案外,水平,北海,座右
一日,上せる,三月,従来,屋外,水源,敗北,右腕
一日,上手,三角,元来,外科,海水浴,北側,右目
一番,上着,三本,外来,外部,水筒 ,北西,右翼
一緒,以上,三時,来客,外観,噴水 ,真北,右端
一生,屋上,第三者,到来,野外,水準,北面,右下
一度,水上,三振,来す,除外,下水,北口,右傾
一見,川上,三食,来る,外れる,水蒸気,北陸,右舷
日,分かる,前,話,四,天気 ,車,南
一日,分ける,以前,話す,四つ,天才 ,電車,南北
一日,分かれる,前もって,会話,四人,天性,列車,南部
二日,気分,人前,電話,四季,天国,発車,南東
三日,十分,名前,話題,四角,天体,下車,南側
四日,自分,午前,神話,四日,天候,駐車,西南
五日,多分,手前,童話,四国,天然,車庫,南口
六日,半分,前提,世話,四月,晴天,駐車場,指南
日常,水分,前進,対話,四方,雨天,車輪,南方
毎日,部分,当たり前,手話,四本 ,天災,車掌,南海
今日,分析,前後,話し中,四時,天井,汽車,東南
本日,大分,直前,立ち話し,四球,天辺,歯車,南下
休日,身分,腕前,話し手,四つ角 ,楽天的 ,停車,南米
日記,分類,前途,話し合い,四輪車,天文学,乗車,南寄り
母の日,配分,事前,話し合う,四半期 ,先天的,自動車,南極点
明日,引き分け,建前,話しかける,四捨五入,天気予報,自転車,南半球
大きい,生,入り,山,先,木,母,左
大きいさ,生きる,入る,火山,先日,木材,母親 ,左右
大学,生ける,入る,下山,先週,定規 ,母子,左利き
大好き,生かす,入れる,登山,先月,植木 ,生母,左手
大金,生まれる,入学,沢山,先生,並木,母校,左側
大水,生む,入院,鉱山,先輩,木綿 ,祖母,左腕
大人,生える,入浴,氷山,先祖 ,木星,お母さん ,左派
大家,生やす,入場,小山,先ず,木曜日,お祖母さん,左様なら
大切,学生,入手,山々,先頭 ,木工,父母,左足
大使館,先生,入賞,山道,先端 ,庭木,叔母,左折
大分,人生,入力,野山,先ほど,大木,祖父母,左上
大会,生物,入念,閉山,真っ先,樹木 ,母乳,左目
大いに,生命,入会,山林,優先,枯れ木 ,義母,左官
