Sentence,Translation
・ゲームに夢中になっていると、つい時間を忘れてしまうことがある。,"When he is absorbed in a game, he sometimes forgets about time."
・すみません。私は日本語しか話せないんです。,I'm sorry. I can only speak Japanese.
・全然英語が上手にならないので、この英会話教室をやめることにしました。,"My English was not improving at all, so I decided to quit this English conversation class."
・明後日までに夏休みの宿題を全部やってしまうつもりです。,I'm going to finish all my homework for the summer vacation by the day after tomorrow.
・約束したからには、ちゃんと守ってもらわないと困ります。,"I've made a promise, and I need you to keep it."
・大学を卒業するまでに、仕事に役立つスキルを身につけておきたい。,I want to acquire skills that will be useful in my job before I graduate from college.
・やっぱり、嵐の中だと二宮君がいちばんかっこいいよね。,"After all, Ninomiya-kun is the best looking of all of Arashi."
・私は結婚しています。,I'm married.
・デパートへ靴を買いに行きます。,I'm going to a department store to buy some shoes.
・試験も近いことだし、今日から真面目に勉強しよう。,"The exam is coming soon, so let's study seriously from today."
・アンケートの結果、今の給料に不満を持っている若者が９割を占めることがわかった。,The results of the survey showed that 90% of the young people were dissatisfied with their current salaries.
・ここは騒がしいので、別のところへ行きましょう。,"It's too noisy here, let's go somewhere else."
・国ごとにそれぞれ変わった文化や習慣がある。,Each country has its own unique culture and customs.
・私は日本の音楽しか聞きません。,I only listen to Japanese music.
・家に帰ったら手洗い、うがいを忘れないようにしてください。,Don't forget to wash your hands and gargle when you get home.
・今日は楽しい飲み会があるが、この仕事が終わってからでないと行けない。,"I have a fun drinking party today, but I can't go until after this work is done."
・この音楽、本当にいいから聞いてみてよ。,"This music is really good, you should listen to it."
・車の中で、トヨタがいちばん好きです。,I like Toyota best among all the cars.
・この本もう読み終わったらなら、借りてもいい？,Can I borrow this book when I'm done reading it?
・世間の認識という点からいえば、私の立場は弱かった。,"In terms of public perception, I was in a weak position."
・彼はさっきからずっと考え込んでいる。,He's been thinking about it for a while now.
・ポツポツと雨が降り始めた。,It started to rain a little bit.
・９時にお店が開くはずなのに、行っても開いていませんでした。,"The restaurant was supposed to open at 9:00 a.m., but it wasn't open when I got there."
・昨日、徹夜したおかげで、今日のテストはほとんど解答できた。,"Thanks to the all-nighter yesterday, I was able to answer most of the questions in today's test."
・父は今、電話しています。,My father is on the phone right now.
・私の家には「タマ」って猫がいるよ。,I have a cat called Tama at home.
・駅への行き方を教えていただけませんか。,Can you teach me how to get to the station?
・田中先生の教え方は上手で、とてもおもしろいです。,Tanaka-sensei's teaching style is very good and very interesting.
・あ〜、鼻水が止まらない。風邪をひいたのかもしれない。,"Oh, I can't stop running my nose. I think I might have caught a cold."
・大学院に行くかどうかは就活の結果いかんだ。,Whether you go to graduate school or not depends on the results of your job hunting.
・スイッチを押しても反応がない。バッテリーが無いようだ。,There's no response when I press the switch. The battery seems to be dead.
・どんなに忙しくても、毎日家族とご飯を食べることにしています。,"I try to have dinner with my family every day, no matter how busy I am."
・もうお湯が沸いてますよ。,The water's already boiling.
・早く政府が動いていれば、何名の命が救われたことだろう。,"If only the government had acted sooner, how many lives could have been saved?"
・気分が悪いし、頭も少し痛いので、帰らせてください。,"I don't feel well and my head hurts a little, so please let me go home."
・この話は君しか知らないから、内緒だよ。,"You're the only one who knows this story, so don't tell anyone."
・国へ帰ってから日本語を勉強しなくなったので、どんどん忘れる一方だ。,"I've stopped studying Japanese since I went back to my country, so I'm forgetting more and more."
・暇なときは、たいてい本を読んだり、テレビを見たりします。,"In my spare time, I usually read books or watch TV."
・初めてこの店で食べたけど、あまりの美味しさに、今では週２で通っています。,"I ate at this restaurant for the first time, but the food was so good that I now go there twice a week."
・飛行機に乗っている間、ずっと映画を見ていました。,It was raining the whole time we were on the plane.
・せっかくイベントを開いたのに、2人しか参加しませんでした。,"I held an event, but only two people attended."
・朝寝坊してしまったので、急いでも間に合わないだろう。,"I overslept in the morning, so I won't be able to make it in time even if I hurry."
・明日は8時までに体育館に集合すること。,Be at the gym by 8:00 a.m. tomorrow.
・来週までに貸した本を返してくださいね。,Please return the books I lent you by next week.
・お風呂を沸かしておきましたので、どうぞ入ってください。,"I've boiled the bath, so please take a bath."
・バトルロワイヤルは、学生がお互いに殺し合う映画だ。,Battle Royale is a movie about students killing each other.
・ジョンさんとは２年前に会ったきり、もう会っていない。,I met John two years ago and haven't seen him since.
・いつまでも母には綺麗なままでいてほしい,I want my mother to stay beautiful forever.
・早く返事が来ないかなあ。,I wonder if I'll get a reply soon.
・天気予報によると、午後から雨が降るそうです。,"According to the weather forecast, it was going to rain in the afternoon."
