Sentence,Translation
・健康あっての幸せなんだから、もっと自分の体を大切にしなさいよ。,"Health is the key to happiness, so you should take better care of your body."
・お客様あっての商売だから、いつもお客様第一で考えております。,Some people say that the world is not about money.
・世の中は金じゃないという人もいるが、正直、金があっての幸せでしょ。,"Some people say that the world is not about money, but honestly speaking, money is the key to happiness."
・ここまで日本語が上手になれたのも、先生の指導があってのことです。,The reason why my Japanese has become so good is because of my teacher's guidance.
・このような結論に至ったのは、相応の理由があってのことだろう。,There must have been a good reason for me to come to this conclusion.
・ファンのみなさんあっての優勝です。,The fans are the reason for my victory.
・試験に受かるかどうかは結局、努力いかんだよ。,"In the end, whether you can pass the exam or not depends on your effort."
・成績いかんで奨学金がもらえるかどうかが決まる。,Whether you can get a scholarship or not depends on your grades.
・大学院に行くかどうかは就活の結果いかんだ。,Whether you go to graduate school or not depends on the results of your job hunting.
・政府の対応いかんで、日本経済がより悪くなるかもしれない。,"Depending on the government's response, the Japanese economy may get worse."
・診断の結果いかんで、近々手術をすることになるかもしれない。,"Depending on the results of my diagnosis, I may have to have an operation soon."
・理由のいかんに関わらず、遅刻した場合は試験を受けることができません。,"If you are late for any reason, you will not be allowed to take the test."
・日本のコンビニでは商品の購入いかんに関わらず、お手洗いを利用することができる。,"If you are late for an exam for any reason, you cannot take the exam."
・結果のいかんによらず、最後まで諦めずに頑張れた自分を褒めたい。,"I want to praise myself for not giving up until the end, regardless of the result."
・天候のいかんに関わらず、明日の試合は行います。,Tomorrow's game will be held regardless of the weather.
・ご挨拶かたがた、伺わせていただきます。,I'd like to come and say hello to you.
・ご報告かたがた、お礼申し上げます。,I would like to express my gratitude to all of you.
・ご出張かたがだ、ぜひ観光もなさってください。,"If you are traveling on business, be sure to do some sightseeing."
・近くに寄ったので、先日のお礼かたがた挨拶に伺いました。,"As I was in the neighborhood, I came by to say thank you for the other day."
