Script,Translation
（ﾄﾘﾝﾄﾞﾙ） 皆様 ご無沙汰しております,"It's been a while, everyone."
（一同）ご無沙汰しております,It's been a while.
（YOU）テラスハウスは 見ず知らずの男女６人が,"Terrace House is a show about six strangers, men and women,"
共同生活する様子を ただただ 記録したものです,"Terrace House is a show about six strangers, men and women, living together, and we observe how they interact with each other."
用意したのはステキなおウチと ステキな車だけです,All that we've prepared is a beautiful home and automobile.
相変わらず 台本は一切ございません,"As usual, there is no script at all."
（山里）ございませんよ （ﾄﾘﾝﾄﾞﾙ）ございません,"No, there is not."
この度 テラスハウスが NETFLIXで 復活することになりました,Terrace House has now been revived by Netflix.
（山里）そうなんですよね これ すごいことなんですよね,Wow. Amazing. It's an amazing thing. Netflix came to our shores
その NETFLIXさんが 日本に上陸するにあたって,It's an amazing thing. Netflix came to our shores
ちょっと このテラスハウスに 白羽の矢が立ったと,and showed their interest in Terrace House.
“テラスハウスやりたいよ” みたいなことを 多分 言ったんじゃないかって 話です,"They may have said, ""We must do Terrace House."""
今 たどたどしい 日本語みたいな感じね,Japanese with a foreign accent.
“徳井とか見たいよ”って,"They were like, ""I want to see Tokui."""
（徳井）偉いさん “徳井”っていう ワードを出してくれはったん？,"Did they actually say ""Tokui""?"
（山里）多分 なったと （徳井）ありがたい,I'm so honored.
で ここのスタジオも また…,So this studio...
そうなんです ここは NETFLIXのオフィスです,"Yes, this is a Netflix office."
（山里）オフィス？,I see.
（徳井）オシャレオフィスやな （馬場園）オシャレ,What a great place!
（山里）ありえんよ （YOU）すごい,Isn't it?
（ﾄﾘﾝﾄﾞﾙ）そして今回 スタジオには,Amazing. I would like to greet a new member to our team.
新メンバーを お迎えしております,I would like to greet a new member to our team.
俳優の望月歩君です,-This is Ayumu Mochizuki. -Hi.
（ﾄﾘﾝﾄﾞﾙ）よろしくお願いします （望月）よろしくお願いします,-Pleased to meet you. -Pleased to meet you.
かわいいな （徳井）かわいいねえ,-He's cute. -He is.
望月歩です 中学３年の14歳です,My name is Ayumu Mochizuki. I am 14 years old and in grade 9.
（馬場園･YOU）あら！ （徳井）かわいいわー！,"My name is Ayumu Mochizuki. I am 14 years old and in grade 9. Ah, how cute!"
見たことある？ テラスハウス （望月）見たことはあります,-Have you seen Terrace House before? -Yes.
（YOU）あっ そう （馬場園）へえー,A-ha.
どういう気持ちで見てんの？ あれ,What do you think of the show?
お母さんとかと一緒に見てて “ここ ああだよね”とか言ったり 自分の中では キュンキュンしていました,I watch it with my mother. I get really emotional.
（山里）あっ そっち派だ？,"Oh, you're that type."
印象に残ってる メンバーとかいた？,Did anyone leave an impression on you?
僕は 筧さんが,"Let's see. Well, Ms. Kakei was very determined."
ずっと一途に 思われてたじゃないですか,"Let's see. Well, Ms. Kakei was very determined. MIWAKO KAKEI, 21 YEARS OLD, MODEL CAST FROM MAY TO DECEMBER 2013"
ああいうのとかが 好きでした,I liked her for that.
（山里）ヤ… ヤベえよ YOUさん 俺 溶けちゃいそうです,"Oh, stop! I'm going to melt."
こんな光に…,All this brilliance.
（徳井）圧倒的な光に負ける 闇が吸収できない,Melting from this overwhelming brilliance. You just can't take it.
そして今回の タイトルなんですけれども,-So this is the new title. -Yes.
「TERRACE HOUSE BOYS & GIRLS IN THE CITY」,Terrace House: Boys & Girls in the City.
ということで 東京が舞台になっております,And it will be located in Tokyo.
あっ そうなんや 前回は湘南やったけど,Last time it was in Shonan.
（ﾄﾘﾝﾄﾞﾙ）はい で おウチも全く新しいおウチで,Last time it was in Shonan. And this house is brand new.
で メンバーも全く新しいメンバーで お届けするとのことです,And the members are totally new. So we'll see what happens.
哲 残しじゃないの？,"Tesu is not with us anymore? TETSUYA SUGAYA, 22, ACTOR CAST OCT. 2012 - DEC. 2014"
全18回予定とのことで 終わりも あらかじめ決まっています,A total of 18 episodes. And so we know when the final episode will be.
そうなんや （馬場園）おおー,Is that right?
（ﾄﾘﾝﾄﾞﾙ） じゃあ 見てみましょっか えー 見よう見よう,"-So let's watch. -Yes, let's!"
うわー あかん　楽しみ,Wow! I'm excited!
うわー マジか,Oof...
誰もいない,No one's here.
クソッ 俺かよ,How huge!
いやあ,Well...
マジか,Seriously?
すっげ,Amazing.
マジか,Really?
俺 １番か,I'm the first?
誰か来た,Someone's here.
（慎）初めまして （みのり）初めまして,-Nice to meet you. -Nice to meet you.
