Word,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
会う,沿う,浮く,咲く,注ぐ,抜く,拭く,押す,射す,撃つ,持つ,酌む,揉む,入る,酔う
合う,添う,置く,裂く,次ぐ,脱ぐ,巻く,貸す,足す,討つ,死ぬ,込む,止む,売る,解く
遭う,問う,書く,敷く,接ぐ,履く,蒔く,消す,出す,勝つ,飛ぶ,混む,病む,得る,打つ
言う,縫う,描く,炊く,継ぐ,吐く,撒く,越す,為す,立つ,跳ぶ,住む,読む,得る,跳ぶ
追う,這う,掻く,焚く,解く,掃く,向く,超す,干す,経つ,呼ぶ,済む,有る,折る,討つ
負う,舞う,欠く,着く,溶く,剥ぐ,剥く,差す,増す,建つ,編む,澄む,在る,居る,置く
買う,酔う,嗅ぐ,付く,説く,引く,焼く,指す,蒸す,発つ,産む,積む,居る,織る,映す
飼う,開く,聞く,就く,退く,弾く,行く,刺す,召す,絶つ,噛む,富む,要る,刈る,組む
請う,空く,効く,点く,研ぐ,轢く,沸く,挿す,止す,打つ,組む,飲む,煎る,切る,酌む
吸う,行く,漕ぐ,突く,泣く,吹く,湧く,注す,打つ,待つ,汲む,踏む,炒る,着る,実る
来る,為す,吊る,採る,生る,練る,降る,彫る,漏る,覆う,願う,歌う,奪う,洗う,削る
蹴る,剃る,照る,捕る,似る,乗る,振る,観る,寄る,匂う,救う,慕う,構う,嫌う,測る
去る,剃る,出る,鳴る,煮る,載る,減る,見る,因る,誓う,掬う,雇う,給う,拐う,残る
知る,散る,取る,為る,塗る,貼る,経る,診る,遣る,使う,襲う,叶う,思う,習う,施す
為る,釣る,撮る,成る,寝る,張る,掘る,盛る,割る,違う,誘う,担う,通う,倣う,凍る
狙う,祝う,塞ぐ,注ぐ,懐く,凌ぐ,渇く,通す,探す,起す,乱す,貶す,示す,殺す,断る
払う,扇ぐ,築く,除く,続く,裁く,騒ぐ,直す,捜す,残す,写す,話す,試す,壊す,結ぶ
貰う,仰ぐ,濯ぐ,覗く,担ぐ,響く,開く,治す,流す,汚す,移す,離す,記す,回す,繋ぐ
笑う,描く,弾く,叩く,届く,省く,歩く,犯す,逃す,崩す,映す,放す,吊す,育つ,迫る
狂う,磨く,稼ぐ,砕く,解く,背く,返す,侵す,隠す,外す,落す,潰す,許す,保つ,擦る
揃う,嘆く,防ぐ,跨ぐ,繋ぐ,泳ぐ,帰す,任す,訳す,浸す,脅す,零す,下す,浮ぶ,茂る
拾う,動く,急ぐ,突く,招く,乾く,倒す,汚す,略す,渡す,戻す,騙す,卸す,叫ぶ,巡る
運ぶ,選ぶ,拝む,凹む,軋む,休む,臨む,包む,萎む,絡む,放る,通る,盛る,諮る,狂う
結ぶ,並ぶ,含む,嵩む,滲む,沈む,痛む,挑む,摘む,睨む,帰る,直る,叱る,図る,刻む
遊ぶ,転ぶ,恵む,憎む,霞む,涼む,畳む,好む,悩む,弛む,反る,治る,計る,光る,湿る
学ぶ,掴む,励む,挟む,進む,弾む,妬む,頼む,歩む,緩む,返る,怒る,量る,上る,診る
及ぶ,歪む,囲む,刻む,盗む,望む,縮む,阻む,恨む,入る,凍る,罹る,測る,尖る,捕る
限る,巡る,勝る,削る,映る,捻る,破る,鈍る,座る,補う,躓く,囁く,耕す,怠る,貼る
