Time,Script,Translation1,Translation2
0s,みなさん、こんにちは！日本語教師の手塚です。,"Hello everyone! I'm Tezuka, a Japanese teacher.","Hello everyone! I'm Tezuka, a Japanese teacher."
3s,みなさんは、日本人のように話したいなぁって思いませんか。,Don't you want to talk like a Japanese person?,Don't you want to talk like a Japanese person?
9s,そのためには、日本人が会話や文章でよく使う表現を,"For that purpose, it is better","For that purpose, use expressions that Japanese people often use in conversations and sentences."
15s,知っておいたほうがいいですよね。,to know the,You should know it.
18s,そこで、今日は「ように」をテーマに,expressions that Japanese people often use in conversations and sentences,"So today, with the theme of ""like"""
22s,日本人がよく使う8つの日本語表現を勉強したいと思います。,". So, today I would like to study eight Japanese expressions that Japanese people often use under the theme of ""you"" .",I would like to study eight Japanese expressions that Japanese people often use.
28s,文をまるごと覚えて、日本語の表現を増やしましょう！,Learn the whole sentence and increase the expressions in Japanese!,Learn the whole sentence and increase the expressions in Japanese!
33s,8つの表現を学ぶ前に,"Before learning the eight expressions,",Before learning 8 expressions
35s,「ように」の意味を思い出しましょう。,"let's remember the meaning of ""like"".","Remember the meaning of ""like""."
39s,「ように」にはたくさんの意味がありますが,"""Like"" has many meanings, but","""Like"" has many meanings,"
43s,特に今日勉強するのは、何かに例える表現です。,what I study today is an expression that is likened to something.,"In particular, what I study today is an expression that is likened to something."
48s,そして、「よう」の後ろに動詞か、名詞か,"Then, depending on whether there is a verb, noun or","And is it a verb or a noun after ""you""?"
54s,何もないか、で「ように」「ような」「ようだ」と変わります。,"nothing after ""you"", it changes to ""yo"", ""like"", or ""youda"".","If there is nothing, it will change to ""like"", ""like"", and ""like""."
1:03,例えば、犬がいます。大きい声で吠えます。,"For example, there is a dog. It barks in a loud voice.","For example, there is a dog. It barks in a loud voice."
1:09,ライオンと同じです。という文を見ましょう。,Same as a lion. Let's see the sentence.,Same as a lion. Let's see the sentence.
1:14,「よう」のあとに「吠える」動詞が後ろにくると「ように」,"When the ""barking"" verb comes after ""you"", ""you""","When the ""barking"" verb comes after ""you"", ""you"""
1:22,この犬は、ライオンのように大きな声で吠える。,this dog barks loudly like a lion.,This dog barks loudly like a lion.
