Time,Script,Translation1,Translation2
0s,ええー！？,EH~~!!,Yeah! ??
1s,韓国からいただきましたー！,"We received a report from Korea,Thank you",I got it from Korea!
3s,リソさん,Riso-san!,Liso
5s,さやっちのリクエストにお応えします。,I will respond to Sayacchi's request,We will respond to Sayachi's request.
7s,炭火焼きチキン。辛目で、麺も追加しました。,"Charcoal-grilled chicken ""It's spicy"" ""I also added noodles""",Charcoal-grilled chicken. It was spicy and I added noodles.
12s,昼だけど。ビールも少し頼みました。,"It was still noon, but I ordered a few beers",It's noon. I also ordered a little beer.
16s,皆さんよい一日を。と、届きました。,Have a good day everyone.  We received this message.,"Have a nice day, everyone. I received it."
19s,へえー！美味しいそうー！,Wow~Looks so delicious!,Hmm! It looks delicious!
21s,炭火焼きチキンに？,Charcoal-grilled chicken and?,For charcoal-grilled chicken?
23s,そして辛目で麺も追加したんですって。,The seasoning is spicy. And did you add the noodle option?,And it was spicy and I added noodles.
25s,とっても美味しそう〜！,It looks sooo delicious.,It looks very delicious!
28s,これ絶対ビールにも合いますよねえ。,"This should be a great match with beer, right?",This definitely goes well with beer.
32s,これは絶対美味しい。,This is Definitely Delicious.,This is absolutely delicious.
34s,ううーん,Hm~m,Hmmm
38s,おや、おやつっていう観点からも、でもいいんじゃないですか？,Snac.. I think it's good from the perspective of Snacks.,"Oh, isn't it okay from the perspective of snacks?"
42s,つまみっていう感じですかねえ？,It's more like nibbles than snack?,Is it like a knob?
44s,これあの、麺も入ってるんですか？,Does this have also noodles in it???,Does this also contain noodles?
47s,あー！本当だ！,AH! It's true!,Ah! Is true!
49s,上のほうに、麺が乗っかってるんですね美味しそう,Above. You can see the noodles on it. Looks sooo delicious,"The noodles are on the top, it looks delicious"
52s,ボリュームもあっていいですねー。,"It is like very filling, so good~",Volume is also good.
54s,「これはビールすすみますわ」といったコメント届いてますけれども,"Definitely, will make you want to drink more! I received that comment.","I received a comment saying ""This is beer."""
58s,ほんと食べたいですね(笑),That's right! I want to eat it too.,I really want to eat it (laughs)
1:00,お腹空いてきました。,I'm starting to get hungry.,I'm hungry.
1:01,私あの韓国料理とかもけっこう好きで,I also like Korean food very much.,I really like that Korean food
1:03,あのー。,Um,Ummm.
1:05,ね、キムチチゲとか、,"You know, ""Kimchi Stew""","Hey, like Kimchi Jjigae"
1:07,あとなんですかねえ？あのー,Or what is that...,What's more? Ummm
