Expression,Reading,Meaning
星,ほし,star
場合,ばあい,"case, situation"
やっと,やっと,"at last, finally"
足りる,たりる,to be sufficient; to be enough
行う,おこなう,to carry out; to conduct
ぶどう,ぶどう,grapes
無くなる,なくなる,"to disappear, to get lost"
準備,じゅんびする,prepare
世界,せかい,world
住所,じゅうしょ,address; place of residence
再来月,さらいげつ,the month after next
林,はやし,"woods, forest"
倍,ばい,double
痩せる,やせる,to lose weight
線,せん,"line, wire"
戦争,せんそう,war
決める,きめる,to decide (v.t.)
調べる,しらべる,to check; to look up; to inquire; to search
寝坊,ねぼう,sleeping in late
パパ,パパ,"papa, daddy"
光る,ひかる,"to shine, to glitter"
夫,おっと,husband
雲,くも,cloud
坂,さか,"slope, hill"
～(て) しまう,～(て) しまう,to end up ~
飛行場,ひこうじょう,airport
柔道,じゅうどう,judo
決して,けっして,never
事務所,じむしょ,office
連絡,れんらく,"communication, contact, connection"
小学校,しょうがっこう,elementary school
客,きゃく,"guest, customer"
昔,むかし,old days; past
美しい,うつくしい,"beautiful, lovely"
捨てる,すてる,"throw away (trash), dump, discard"
なさる,なさる,-- honorific expression for する --
事,こと,"thing(s), matter(s), fact"
どんどん,どんどん,quickly and steadily; at a rapid pace
試合,しあい,"match, game, competition"
適当,てきとう,"fitness, suitability"
素晴らしい,すばらしい,wonderful; terrific
美術館,びじゅつかん,"art gallery, art museum"
文法,ぶんぽう,grammar
終わり,おわり,end
壁,かべ,wall
一度,いちど,"once, one time"
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow
親切,しんせつ,kindness
知らせる,しらせる,to notify
歯医者,はいしゃ,dentist
熱心,ねっしん,enthusiasm
始める,はじめる,"to start, to begin"
もらう,もらう,to receive
泣く,なく,to cry
治る,なおる,to get better; to recover from illness (v.i.)
熱,ねつ,"fever, temperature"
お祭り,おまつり,festival
水道,すいどう,"water service, water line"
匂い,におい,"odor, smell"
ベル,ベル,bell
赤ん坊,あかんぼう,baby
おかしい,おかしい,strange; odd; funny
事故,じこ,accident
変,へん,"strange, odd"
辞典,じてん,"encyclopedia, reference book"
残る,のこる,"to remain (v.i.), to be left"
立てる,たてる,"to stand (something) up, to erect (something)"
くれる,くれる,"to give, to do for"
～員,～いん,member of ~
原因,げんいん,"cause, origin, source"
驚く,おどろく,"to be surprised, to be astonished"
いただく,頂く,modest exp.for taberu and nomu; humble exp.for morau
祖母,そぼ,grandmother
場所,ばしょ,"place, location"
答,こたえ,"answer, response"
もちろん,もちろん,"certainly, of course"
漬ける,つける,"to soak, to moisten, to pickle"
受付,うけつけ,reception(ist) desk
内,うち,"within, inside"
スクリーン,スクリーン,screen
増える,ふえる,"to increase, to multiply"
または,または,"or, otherwise"
けがする,けがする,"injury (to animate object), hurt"
以下,いか,"less than, below"
選ぶ,えらぶ,to choose; to select
～ばかり,～ばかり,"just did ~, only"
心,こころ,"heart, mind"
～だす,～だす,to start doing ~
サラダ,サラダ,salad
届ける,とどける,to deliver (v.t.)
あいさつする,挨拶,greet(ing)
景色,けしき,"scenery, landscape"
確か,たしか,"if I remember correctly; certain, definite"
ステーキ,ステーキ,steak
食料品,しょくりょうひん,"foodstuff, groceries"
森,もり,forest
以内,いない,"within, less (no more) than"
予定,よてい,"plans, arrangement, schedule"
オーバー,オーバー,"overcoat; over, exceeding, exaggeration"
乾く,かわく,to get dry
石,いし,stone
思い出す,おもいだす,"to recall, to remember"
踊る,おどる,to dance
細かい,こまかい,"small; fine, minute"
塗る,ぬる,"to paint, to plaster"
ご主人,ごしゅじん,"(your, her) husband"
珍しい,めずらしい,"unusual, rare"
用,よう,"errand, task, business (to take care of)"
公務員,こうむいん,"government worker, public servant"
お嬢さん,おじょうさん,(someone's) daughter (polite)
用意,ようい,preparation
探す,さがす,"to search, to seek, to look for"
形,かたち,shape
運転,うんてんする,driving
すっかり,すっかり,"all, completely"
アナウンサー,アナウンサー,announcer
お土産,おみやげ,souvenir
消しゴム,けしゴム,eraser
旅館,りょかん,a Japanese inn
海岸,かいがん,"coast, seashore"
寂しい,さびしい,"lonely, lonesome"
火,ひ,fire
育てる,そだてる,to raise (v.t.); to bring up
味噌,みそ,"miso, bean paste"
お祝い,おいわい,"congratulation, celebration"
乗り物,のりもの,vehicle
案内,あんないする,"information, guidance"
通う,かよう,to go back and forth; to commute
連れる,つれる,"to lead, to take (a person)"
技術,ぎじゅつ,"technique, technology, skill"
小鳥,ことり,small bird
下宿,げしゅく,"lodging, boarding house"
ジャム,ジャム,jam
招待,しょうたいする,invitation
鏡,かがみ,mirror
はず,はず,it should be so
法律,ほうりつ,law
進む,すすむ,"to advance, to proceed"
楽む,たのしむ,to enjoy
貿易,ぼうえき,trade
反対,はんたい,"oppose, opposition, resistance"
おる,おる,extra-modest expression for iru
申す,もうす,extra-modest (humble) expression for iu
試験,しけん,an exam
真面目,まじめ,"diligent, serious"
ごらんになる,ごらんになる,honorific expression for mire
店員,てんいん,clerk; shop-employee
泊まる,とまる,to stay (over night) (v.i.)
よろしい,よろしい,"(hon.) good, OK, all right"
今夜,こんや,"this evening, tonight"
おつり,おつり,change; balance of money returned to the purchaser
チェックする,チェックする,check
会話,かいわ,conversation
空気,くうき,"air, atmosphere"
交通,こうつう,"traffic, transportation"
ワープロ,ワープロ,word processor
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad"
急行,きゅうこう,express train or bus
皆,みな,everyone
味,あじ,"flavor, taste"
空港,くうこう,airport
手袋,てぶくろ,glove(s)
校長,こうちょう,"principal, headmaster"
ごちそう,ごちそう,"feast, treating (someone)"
踊り,おどり,dance
興味,きょうみ,interest (in something)
引っ越す,ひっこす,to move to a new place of residence
冷房,れいぼう,"cooling, air conditioning"
都合,つごう,"circumstances, convenience"
遠慮,えんりょする,"restraint, reserve, hesitate"
亡くなる,なくなる,to pass away
科学,かがく,science
はっきり,はっきり,"clearly, distinctly"
差し上げる,さしあげる,humble expression for ageru
気持ち,きもち,"feeling, sensation, mood"
祖父,そふ,grandfather
港,みなと,"harbor, port"
予約,よやく,reservation
凄い,すごい,"terrific, great"
入学,にゅうがくする,entry to school or university
片付ける,かたづける,"to (clean) tidy up (v.t.), to put away"
写す,うつす,to copy (v.t.); to photograph
パソコン,パソコン,(personal) computer
部長,ぶちょう,department (division) manager
火事,かじ,fire
足す,たす,to add (numbers)
教会,きょうかい,church
彼ら,かれら,they (usually male)
いっぱい,一杯,"full, to the utmost"
アメリカ,アメリカ,"America, U.S.A."
男性,だんせい,man; male
理由,りゆう,reason
生産,せいさんする,production; to produce
着物,きもの,kimono; Japanese traditional dress
おもちゃ,おもちゃ,a toy
暮れる,くれる,"to get dark, to come to an end"
釣る,つる,to fish
～ちゃん,～ちゃん,suffix for familiar (female) person
打つ,うつ,"to hit, to strike"
あんな,あんな,"such, like that"
謝る,あやまる,to apologize
昼間,ひるま,"daytime, during the day"
教育,きょういく,education
女性,じょせい,woman
米,こめ,uncooked rice
邪魔,じゃま,"hindrance, intrusion"
国際,こくさい,international
隅,すみ,corner
伺う,うかがう,"humble form of iku, kiku and kuru"
再来週,さらいしゅう,the week after next
夢,ゆめ,a dream
喉,のど,throat
最近,さいきん,"recently, nowadays, in recent years, most recent, latest"
周り,まわり,surroundings
歴史,れきし,history
不便,ふべん,inconvenience
血,ち,blood
～続ける,～つづける,to continue doing ~
毛,け,"hair, fur"
ひどい,ひどい,"terrible, awful, unfair, cruel"
例えば,たとえば,"for example, e.g."
中々,なかなか,"very, considerably, quite"
随分,ずいぶん,extremely
～やすい,～やすい,easy to do ~
押し入れ,おしいれ,closet
電灯,でんとう,electric light
叱る,しかる,to scold
サンダル,サンダル,sandal
びっくりする,びっくりする,to be surprised
うまい,うまい,delicious; skillful; fortunate
変える,かえる,"to change, to alter, to vary"
講堂,こうどう,auditorium
子,こ,child
沸かす,わかす,to boil
レジ,レジ,register
しばらく,しばらく,little while
特に,とくに,particularly
空く,あく,"to open, to become empty (vacant)"
計画,けいかくする,"plan, project, schedule"
通り,とおり,"~ Street, ~ Avenue"
下着,したぎ,underwear
経済,けいざい,"economics, finance, economy"
こう,こう,"like this, this way"
是非,ぜひ,"certainly, by all means; without fail"
裏,うら,"reverse side, back"
為,ため,"good, advantage, in order to"
おいでになる,おいでになる,(hon.) to be
変わる,かわる,"to change (v.i.), to be transformed, to vary"
以外,いがい,"other than, with the exception of, excepting"
済む,すむ,"to finish, to end"
ハンバーグ,ハンバーグ,hamburger steak
市,し,city
引き出し,ひきだし,drawer
遊び,あそび,play
支度,したくする,preparation
～始める,～はじめる,to start doing ~
見える,みえる,to be visible; polite verb meaning kuru
十分,じゅうぶん,enough
音,おと,"sound, note"
きっと,きっと,"surely, definitely, undoubtedly, certainly"
まず,まず,"first (of all), to start with"
遠く,とおく,"far away, distant"
大体,だいたい,approximately; in most cases; in general; to begin with 
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)"
正しい,ただしい,correct
輸入,ゆにゅう,import
返事,へんじ,"reply, answer"
都,と,metropolitan
産業,さんぎょう,industry
伝える,つたえる,"to convey (a message); to tell, to report"
お金持ち,かねもち; おかねもち,rich person
説明,せつめい,explanation
島,しま,island
道具,どうぐ,tool
滑る,すべる,"to slide, to slip"
それほど,それほど,to that degree; extent
以上,いじょう,more than; this is all
～まま,～まま,as it is
特急,とっきゅう,limited express (train faster than an express)
プレゼント,プレゼント,"present, gift"
～(に) よると,～(に) よると,according to ~
妻,つま,wife (humble)
帰り,かえり,"return, coming back"
具合,ぐあい,"condition, state, health"
堅; 硬; 固い,かたい,"solid, hard, firm"
駐車場,ちゅうしゃじょう,parking lot
スーツ,スーツ,suit
危険,きけん,"danger, risk, hazard"
髪,かみ,hair
天気予報,てんきよほう,weather forecast
彼女,かのじょ,girlfriend; she
間,あいだ,"space, interval"
卒業,そつぎょう,graduation
それで,それで,"and (conj.), thereupon, because of that"
枝,えだ,"branch, twig"
専門,せんもん,major; speciality
そろそろ,そろそろ,"gradually, soon"
送る,おくる,"to send, to dispatch"
あげる,あげる,to give
騒ぐ,さわぐ,"to make noise, to clamor"
尋ねる,たずねる,to inquire (same as shitsumon suru)
放送,ほうそうする,broadcasting
政治,せいじ,politics
市民,しみん,citizen
ファックス,ファックス,fax
負ける,まける,"to lose (a game) (v.i.), to be defeated"
指輪,ゆびわ,(finger) ring
田舎,いなか,"rural, countryside"
見つける,みつける,"to discover, to find (v.t.)"
高校生,こうこうせい,high school student
講義,こうぎ,a lecture
そんなに,そんなに,"so much, like that"
昼休み,ひるやすみ,"lunch break, noon recess"
忘れ物,わすれもの,"lost article, something forgotten"
下りる,おりる,"to get down, to go; come down"
腕,うで,arm (in reference to body)
訳,わけ,reason; explanation
承知,しょうちする,"consent, acceptance"
日記,にっき,"diary, journal"
高校,こうこう,high school
似る,にる,"to resemble, to be similar"
～おわる,～おわる,to finish doing ~
暖房,だんぼう,heating
留守,るす,absence; not at home
割合,わりあい,"rate, ratio, percentage"
寺,てら,Buddhist temple
慣れる,なれる,to grow accustomed to
普通,ふつう,common; usual
手伝う,てつだう,to help
なるほど,なるほど,I see; I now understand
くださる,くださる,"(hon.) to give, to confer"
息子,むすこ,(humble) son
お子さん,おこさん,(someone else's) child (polite)
会場,かいじょう,"venue, meeting place"
笑う,わらう,"to laugh, to smile"
運ぶ,はこぶ,"to transport, to carry"
文学,ぶんがく,literature
光,ひかり,light
お見舞い,おみまい,"calling on someone who is ill, visit"
席,せき,a seat
～様,～さま,"Mr., Mrs., Ms."
ご存じ,ごぞんじ,"knowing, acquaintance"
下る,さがる,"to descend, to drop, to fall"
字,じ,letter; character
アジア,アジア,Asia
褒める,ほめる,to praise; to say nice things
空く,すく,"to be empty (in reference to people), to be less crowded"
あ,あ,Ah
最も,もっとも,most
合う,あう,"to fit, to match"
～代,～だい,~ age; period
最後,さいご,"last, end"
値段,ねだん,price
退院,たいいんする,leaving hospital
展覧会,てんらんかい,exhibition
久しぶり,ひさしぶり,it has been a long time; for the first time in a long time
カーテン,カーテン,curtain
汽車,きしゃ,train (steam)
遅れる,おくれる,to (be) become late
見つかる,みつかる,"to be found (v.i.), to be discovered"
召し上がる,めしあがる,honorific form of taberu and nomu
太る,ふとる,to gain weight
注射,ちゅうしゃ,injection
様,よう,"way, manner, kind"
～おき,～おき,after every ~
最初,さいしょ,"beginning, first"
御～,ご～,honorable ~
安心,あんしん,"peace of mind, relief"
直る,なおる,to be fixed
集める,あつめる,"to collect, to gather (v.t.), to assemble"
直す,なおす,to correct (v.t.); to fix
続く,つづく,to be continued
先輩,せんぱい,senior members of a group
約束,やくそく,"arrangement, appointment, promise"
世話,せわする,looking after; to look after
近所,きんじょ,neighborhood
将来,しょうらい,(in the) future; prospects
億,おく,hundred million
数学,すうがく,mathematics
文化,ぶんか,culture
払う,はらう,to pay
習慣,しゅうかん,custom (in reference to culture)
焼ける,やける,"to burn, to be roasted"
君,きみ,you (informal for men)
冷える,ひえる,"to grow cold, to cool down"
点く,つく,"to be started, to be switched on"
この間,このあいだ,"the other day, recently"
かっこう,格好,"appearance, manner, shape, form, posture"
かまう,,"to mind, to care about, to be concerned about"
続ける,つづける,"to continue, to keep up"
落す,おとす,"to drop, to lose"
明日,あす,tomorrow
出発,しゅっぱつする,departure
拝見,はいけんする,"(humble) (polite) seeing, look at"
割れる,われる,to break
背中,せなか,back (of body)
新聞社,しんぶんしゃ,newspaper company
いじめる,いじめる,"to bully, to torment"
回る、回す,まわる、まわす,"to go around, to revolve"
～君,～くん,"Mr. (junior) ~, master ~"
おっしゃる,おっしゃる,honorific expression for iu
眠い,ねむい,"sleepy, drowsy"
濡れる,ぬれる,to get wet
倒れる,たおれる,"to collapse, to break down"
スーパー,スーパー,supermarket
アクセサリー,アクセサリー,accessory
考える,かんがえる,to think (about); to consider
向かう,むかう,"to face, to go towards"
自由,じゆう,freedom
仕方,しかた,way (of doing something)
首,くび,neck
程,ほど,"degree, extent"
代わり,かわり,"substitute, replacement"
失敗,しっぱい,"failure, mistake"
工業,こうぎょう,(manufacturing) industry
移る,うつる,to move (fr. a house); to transfer (fr. a dept.); to shift
スーツケース,スーツケース,suitcase
ひげ,ひげ,beard
研究室,けんきゅうしつ,the professor's office; laboratory
工場,こうじょう,factory
紹介,しょうかい,an introduction
けれど; けれども,けれど; けれども,"but, although"
舟,ふね,"ship, boat"
動く,うごく,to move
～(に) ついて,～(に) ついて,"about, concerning"
コンサート,コンサート,concert
虫,むし,insect
優しい,やさしい,"kind (person), gentle (person), easy (problem)"
コンピュータ,コンピュータ,computer
植える,うえる,to plant
両方,りょうほう,"both sides, both parties"
汚れる,よごれる,to become dirty
水泳,すいえい,swimming
経験,けいけんする,experience
勝つ,かつ,to win
砂,すな,sand
警察,けいさつ,police; police station
取り替える,とりかえる,"to exchange, to replace"
急ぐ,いそぐ,"to hurry, to be in a hurry, to rush"
簡単,かんたん,simple
参る,まいる,humble expression for iku and kuru
全然,ぜんぜん,"not at all; wholly, entirely"
特別,とくべつ,special
復習,ふくしゅう,"review (of lessons), revision"
間に合う,まにあう,to be in time for
役に立つ,やくにたつ,"to be helpful, to be useful"
もうすぐ,もうすぐ,very soon; in a few moments; days
真中,まんなか,"middle, center"
戻る,もどる,to return (v.i.); to come back
研究,けんきゅう,"study, research, investigation"
ケーキ,ケーキ,cake
草,くさ,grass
込む,こむ,to be crowded
この頃,このごろ,"these days, nowadays"
訪ねる,たずねる,to visit
下げる,さげる,to lower (v.t.); to hang
花見,はなみ,cherry-blossom viewing
途中,とちゅう,"on the way, midway"
入院,にゅういんする,hospitalization
乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)"
別れる,わかれる,"to part from, to separate"
～町,～ちょう,the town of ~
安全,あんぜん,"safety, security"
看護婦,かんごふ,(female) nurse
見物,けんぶつ,sightseeing
相談,そうだんする,consultation
ガソリンスタンド,ガソリンスタンド,"gas station, service station"
テニス,テニス,tennis
眠る,ねむる,to sleep
上がる,あがる,"to rise, to go up"
翻訳,ほんやく,translation
食事,しょくじする,meal
おかげ,お陰,thanks or owing to
娘,むすめ,daughter (humble)
湯,ゆ,hot water
競争,きょうそう,"competition, contest"
会議,かいぎ,business meeting; conference
湖,みずうみ,lake
集まる,あつまる,"to gather (v.i.), to collect"
～にくい,～にくい,difficult to do ~
生活,せいかつする,"living, life; to live"
糸,いと,thread
関係,かんけい,"relation(ship), connection"
ピアノ,ピアノ,piano
～目,～め,"number ~ sequence, ~nd; ~th"
番組,ばんぐみ,broadcast program
急,きゅう,"urgent, sudden; steep"
棚,たな,"shelves, rack"
木綿,もめん,cotton
輸出,ゆしゅつする,export
タイプ,タイプ,"type, style"
すり,すり,pickpocket
うれしい,嬉しい,to be happy; to be glad
アルコール,アルコール,alcohol
ソフト,ソフト,soft; soft hat; software
神社,じんじゃ,Shinto shrine
大分,だいぶ,"fairly well, to a large extent, considerably, pretty much"
楽しみ,たのしみ,"pleasure, joy"
趣味,しゅみ,hobby; pastime
電報,でんぽう,telegram
家内,かない,(one's own) wife
指,ゆび,finger
これから,これから,"from now on, after this"
たまに,たまに,occasionally
社会,しゃかい,society
N4,,
踏む,ふむ,"to step on, to tread on"
～区,～く,"~ district, ~ ward, ~ borough"
すっと,すっと,"straight, quickly"
盗む,ぬすむ,to steal; to rob
大抵,たいてい,"generally, usually"
とうとう,とうとう,"finally, at last"
ガソリン,ガソリン,"gasoline, petrol"
鳴る,なる,"to sound, to ring (v.i.)"
しっかり,しっかり,"firmly, steady"
生きる,いきる,to live
苦い,にがい,bitter
沸く,わく,"to boil, to grow hot"
意見,いけん,"opinion, view, idea"
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely"
漫画,まんが,"comic (book), cartoon"
ステレオ,ステレオ,stereo
医学,いがく,medical science
テキスト,テキスト,text; text book
～月,～つき,month
折る,おる,"to snap, to break; to bend"
～会,～かい,~ meeting
うかがう,うかがう,to ask
聞こえる,きこえる,"to be heard, to be audible"
僕,ぼく,I (used by men towards those of equal or lower status)
必ず,かならず,"surely, certainly"
壊す,こわす,"to break, to break down"
怒る,おこる,to get angry; to scold angrily
床屋,とこや,barber's (shop)
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke))
運動,うんどうする,exercise
止む,やむ,"to cease, to stop"
もし,もし,if
表,おもて,surface; front; outside
大学生,だいがくせい,"college student, university student"
運転手,うんてんしゅ,driver (by occupation)
予習,よしゅう,preparation of lessons (for class)
心配,しんぱいする,"worry, concern"
別,べつ,"distinction, different"
非常に,ひじょうに,extremely; very
お宅,おたく,(someone else's) house; home 
柔らかい,やわらかい,"soft (in reference to texture), tender"
拾う,ひろう,"to pick up (something), to find"
～ございます,～ございます,"to be (polite), to exist"
気,き,"spirit, mood"
比べる,くらべる,to compare
ほとんど,ほとんど,"mostly, almost"
つもり,つもり,"intention, plan"
郊外,こうがい,"suburb, outskirts"
だめ,だめ,"useless, no good, hopeless"
売り場,うりば,place where things are sold
正月,しょうがつ,"New Year, New Year's Day"
規則,きそく,"rule, regulation"
うん,うん,"yes (informal), all right (ok)"
発音,はつおん,pronunciation
焼く,やく,"to bake, to grill"
屋上,おくじょう,rooftop
失礼,しつれい,"discourtesy, impoliteness; Excuse me"
ごみ,ごみ,"trash, garbage"
アフリカ,アフリカ,Africa
点,てん,"mark, score, grade; point, dot"
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort"
今度,こんど,"now, this time, near future, one of these days, next time"
機会,きかい,"chance, opportunity"
建てる,たてる,to build
複雑,ふくざつ,"complexity, complication"
彼,かれ,"he, boyfriend"
いらっしゃる,いらっしゃる,"honorific expression for iku, kuru, and iru"
布団,ふとん,futon
大事,だいじ,"important, valuable, serious matter"
贈り物,おくりもの,a gift; a present
泥棒,どろぼう,thief; burglar
～製,～せい,made in ~
注意,ちゅうい,"caution, attention"
台風,たいふう,typhoon
日,ひ,"sun, sunshine, day"
～軒,～けん,counter for houses
そう,そう,"really, (is that) so; yes, right"
通る,とおる,"to pass (by), to go through"
過ぎる,すぎる,"to exceed, to go beyond"
レポート; リポート,レポート; リポート,report
葉,は,leaf
必要,ひつよう,necessary
課長,かちょう,section manager
地震,じしん,earthquake
すると,すると,"and, then"
止める,やめる,"to end, to stop"
ガラス,ガラス,"glass, pane"
～学部,～がくぶ,department of a university
厳しい,きびしい,hard; rigorous; strict
エスカレーター,エスカレーター,escalator
人口,じんこう,population
月,つき,moon
絹,きぬ,silk
ちっとも,ちっとも,not at all (neg. verb)
深い,ふかい,"deep, profound"
壊れる,こわれる,"to be broken, to break"
揺れる,ゆれる,"to shake, to sway"
落る,おちる,"to fall, to drop"
できるだけ,できるだけ,"if at all possible, as much as possible"
悲しい,かなしい,"sad, sorrowful"
中学校,ちゅうがっこう,junior high school pupil
ガス,ガス,gas
祈る,いのる,to pray; to wish
盛ん,さかん,"prosperous, active, thriving"
アルバイト,アルバイト,part-time job
起こす,おこす,to wake (someone) up
致す,いたす,extra-modest expression for suru
噛む,かむ,"to bite, to chew"
赤ちゃん,あかちゃん,"baby, infant"
浅い,あさい,"shallow, superficial"
うそ,嘘,lie
小説,しょうせつ,novel
親,おや,a parent
それに,それに,moreover; besides
西洋,せいよう,"the West, Western countries"
思う,おもう,"to think, to feel"
パート (タイム),パート (タイム),part time (esp. female part time employees)
時代,じだい,"age, period, epoch, era"
申し上げる,もうしあげる,"(humble)to say, to tell"
～式,～しき,~ ceremony; ~ style
出席,しゅっせきする,attendance
～家,～か,person who is specialized in ~
迎える,むかえる,to welcome; to meet; to greet
触る,さわる,"to touch, to feel"
建て,～だて,"~ storied, separate housing"
社長,しゃちょう,president of a company
動物園,どうぶつえん,zoo
捕まえる,つかまえる,"to catch, to arrest"
季節,きせつ,season (in reference to weather)
寄る,よる,to stop by
決まる,きまる,to be set; fixed (v.i.)
開く,ひらく,to open; to hold (an event)
逃げる,にげる,"to escape, to run away"
だから,だから,so; therefore
残念,ざんねん,regret; regrettable
畳,たたみ,tatami mat (Japanese straw mat)
丁寧,ていねい,"polite, courteous, careful"
地理,ちり,geography
さっき,さっき,a little while ago
怖い,こわい,"scary, frightening"
包む,つつむ,"to wrap, to cover"
なるべく,なるべく,"if possible, as much as possible"
無理,むり,"unreasonable, impossible"
サンドイッチ,サンドイッチ,sandwich
会議室,かいぎしつ,conference room
品物,しなもの,goods
人形,にんぎょう,"doll, figure"
利用,りよう,"use, utilization"
飾る,かざる,"to decorate, to adorn"
止める,とめる,to stop (something)
恥ずかしい,はずかしい,"ashamed, embarrassed"
いくら～ても,いくら～ても,however much one may ~
用事,ようじ,business to take care of; tasks; errands
ビル,ビル,(abbr.) building
けんかする,けんかする,quarrel
頑張る,がんばる,"to try one's best, to try hard, to persist"
投げる,なげる,"to pitch, to cast away"
故障,こしょうする,breakdown
力,ちから,"strength, power"
受ける,うける,"to take (an examination, interview, etc.); to receive"
気分,きぶん,"feeling, mood"
間違える,まちがえる,to make a mistake
そんな,そんな,"such, like that, that sort of"
星,ほし,star
場合,ばあい,"case, situation"
やっと,やっと,"at last, finally"
足りる,たりる,to be sufficient; to be enough
行う,おこなう,to carry out; to conduct
ぶどう,ぶどう,grapes
無くなる,なくなる,"to disappear, to get lost"
準備,じゅんびする,prepare
世界,せかい,world
住所,じゅうしょ,address; place of residence
再来月,さらいげつ,the month after next
林,はやし,"woods, forest"
倍,ばい,double
痩せる,やせる,to lose weight
線,せん,"line, wire"
戦争,せんそう,war
決める,きめる,to decide (v.t.)
調べる,しらべる,to check; to look up; to inquire; to search
寝坊,ねぼう,sleeping in late
パパ,パパ,"papa, daddy"
光る,ひかる,"to shine, to glitter"
夫,おっと,husband
雲,くも,cloud
坂,さか,"slope, hill"
～(て) しまう,～(て) しまう,to end up ~
飛行場,ひこうじょう,airport
柔道,じゅうどう,judo
決して,けっして,never
事務所,じむしょ,office
連絡,れんらく,"communication, contact, connection"
小学校,しょうがっこう,elementary school
客,きゃく,"guest, customer"
昔,むかし,old days; past
美しい,うつくしい,"beautiful, lovely"
捨てる,すてる,"throw away (trash), dump, discard"
なさる,なさる,-- honorific expression for する --
事,こと,"thing(s), matter(s), fact"
どんどん,どんどん,quickly and steadily; at a rapid pace
試合,しあい,"match, game, competition"
適当,てきとう,"fitness, suitability"
素晴らしい,すばらしい,wonderful; terrific
美術館,びじゅつかん,"art gallery, art museum"
文法,ぶんぽう,grammar
終わり,おわり,end
壁,かべ,wall
一度,いちど,"once, one time"
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow
親切,しんせつ,kindness
知らせる,しらせる,to notify
歯医者,はいしゃ,dentist
熱心,ねっしん,enthusiasm
始める,はじめる,"to start, to begin"
もらう,もらう,to receive
泣く,なく,to cry
治る,なおる,to get better; to recover from illness (v.i.)
熱,ねつ,"fever, temperature"
お祭り,おまつり,festival
水道,すいどう,"water service, water line"
匂い,におい,"odor, smell"
ベル,ベル,bell
赤ん坊,あかんぼう,baby
おかしい,おかしい,strange; odd; funny
事故,じこ,accident
変,へん,"strange, odd"
辞典,じてん,"encyclopedia, reference book"
残る,のこる,"to remain (v.i.), to be left"
立てる,たてる,"to stand (something) up, to erect (something)"
くれる,くれる,"to give, to do for"
～員,～いん,member of ~
原因,げんいん,"cause, origin, source"
驚く,おどろく,"to be surprised, to be astonished"
いただく,頂く,extra-modest exp.for taberu and nomu; humble exp.for morau
祖母,そぼ,grandmother
場所,ばしょ,"place, location"
答,こたえ,"answer, response"
もちろん,もちろん,"certainly, of course"
漬ける,つける,"to soak, to moisten, to pickle"
受付,うけつけ,reception(ist) desk
内,うち,"within, inside"
スクリーン,スクリーン,screen
増える,ふえる,"to increase, to multiply"
または,または,"or, otherwise"
けがする,けがする,"injury (to animate object), hurt"
以下,いか,"less than, below"
選ぶ,えらぶ,to choose; to select
～ばかり,～ばかり,"just did ~, only"
心,こころ,"heart, mind"
～だす,～だす,to start doing ~
サラダ,サラダ,salad
届ける,とどける,to deliver (v.t.)
あいさつする,挨拶,greet(ing)
景色,けしき,"scenery, landscape"
確か,たしか,"if I remember correctly; certain, definite"
ステーキ,ステーキ,steak
食料品,しょくりょうひん,"foodstuff, groceries"
森,もり,forest
以内,いない,"within, less (no more) than"
予定,よてい,"plans, arrangement, schedule"
オーバー,オーバー,"overcoat; over, exceeding, exaggeration"
乾く,かわく,to get dry
石,いし,stone
思い出す,おもいだす,"to recall, to remember"
踊る,おどる,to dance
細かい,こまかい,"small; fine, minute"
塗る,ぬる,"to paint, to plaster"
ご主人,ごしゅじん,"(your, her) husband"
珍しい,めずらしい,"unusual, rare"
用,よう,"errand, task, business (to take care of)"
公務員,こうむいん,"government worker, public servant"
お嬢さん,おじょうさん,(someone's) daughter (polite)
用意,ようい,preparation
探す,さがす,"to search, to seek, to look for"
形,かたち,shape
運転,うんてんする,driving
すっかり,すっかり,"all, completely"
アナウンサー,アナウンサー,announcer
お土産,おみやげ,souvenir
消しゴム,けしゴム,eraser
旅館,りょかん,a Japanese inn
海岸,かいがん,"coast, seashore"
寂しい,さびしい,"lonely, lonesome"
火,ひ,fire
育てる,そだてる,to raise (v.t.); to bring up
味噌,みそ,"miso, bean paste"
お祝い,おいわい,"congratulation, celebration"
乗り物,のりもの,vehicle
案内,あんないする,"information, guidance"
通う,かよう,to go back and forth; to commute
連れる,つれる,"to lead, to take (a person)"
技術,ぎじゅつ,"technique, technology, skill"
小鳥,ことり,small bird
下宿,げしゅく,"lodging, boarding house"
ジャム,ジャム,jam
招待,しょうたいする,invitation
鏡,かがみ,mirror
はず,はず,it should be so
法律,ほうりつ,law
進む,すすむ,"to advance, to proceed"
楽む,たのしむ,to enjoy
貿易,ぼうえき,trade
反対,はんたい,"oppose, opposition, resistance"
おる,おる,extra-modest expression for iru
申す,もうす,extra-modest (humble) expression for iu
試験,しけん,an exam
