Script,s2,s3,s4,s5,s6,s7,s8,s9,s10
健康はすべてのものの中でもっとも貴重である。,私は菜食主義者です。,生徒の年齢は１８歳から２５歳にわたっている。,明日の午後、いつでもお出かけください。,あなたは沖縄へ行った事がありますか。,トムは母親のオートミールクッキーのレシピをメアリーに教えた。,このパズルは明日までに仕上がるでしょう。,駅から団地までバスが通る。,オェッ、スープの中に髪の毛が浮いてるよ。,コメントを付けるとコードが読みやすくなります。
ほんの少数の人しかその事実を知らない。,菜食主義者へのおすすめは、なんですか。,道路は数マイルにわたってまっすぐ続いていた。,来週の初めに、ボストンでトムに会うつもりなんです。,沖縄に行ったことはありますか？。,そのにんじんを全部食べたら、アイスクリームをあげるよ。,パズルのここの部分が仕上がらない。,駅から団地までバスを通る。,私たちは、油が水に浮くことを習った。,テレビを付けてもいいですか。
彼が言ったことを理解したのはほんの少数だった。,私は菜食主義者をやめたの。,スキーをしたら、足を骨折したんだ。,初めに、我々には今お金がない。,沖縄ではたくさん雨が降る。,にんじんを切らせて。,そのパズルを解くのに時間はかからなかった。,駅から団地までバスを通す。,木が浮く。,彼女がその地位に就く資格を得るのに、少なくとも２年はかかるであろう。
その店には少数の客がいた。,トムとメアリーは二人とも菜食主義者だ。,スキーをしていて脚を骨折した。,初めに、言葉があった。,彼は今まで沖縄へ行ったことがない。,彼女はにんじんの葉を切り落とした。,この夢は実現するだろう。,針に糸を通す。,トムは本を置いた。,いい仕事に就くのは難しくなりつつあるようだ。
ヨットは少数の金持ちだけが楽しめるものだ。,乳製品はめったに食べません。,彼は事故にあって脚を骨折した。,初めに、みなさんに感謝します。,私は酒を止めるつもりだ。,子供時代に母は私に毎日にんじんを食べさせた。,彼女は夢が実現したので嬉しかった。,管に水を通す。,ウェイトレスはジュースを私の前に置いた。,彼は彼女をほめてその職に就かせた。
古い伝統が消滅しつつある。,私は本当に乳製品が嫌いです。,彼女は彼の足の骨折を治療した。,事件の説明はいろいろあるように思えたが、警察が初めに正しい説明を思いついた。,彼は酒によっています。,彼女のポケットはくるみで膨らんでいた。,その夢は実現した。,上着に袖を通す。,好きなとこへ置けよ。,各自の部署に就け。
もし太陽が消滅したら、生物は皆死ぬだろう。,東アフリカの種族の中には、乳製品を主食にしているのがあるそうだ。,彼はサッカーの競技中に腕を骨折した。,６時に写真を受け取りに行きます。,彼は健康のために酒をやめた。,サラダのドレッシングはイタリアンがいいです。,夢が実現できて良かったですね。,紫外線を通すガラス。,もうテレビを置く場所がない。,彼は友達の親切な世話でその職に就いた。
その国は消滅した。,この事に加えて、ほかにもまだ理由がある。,でも高いよ。,例えば、宅配便の受け取りには、判子は必要有りません。,私たちは彼がこれ以上酒を飲むのを止めさせなければならない。,サラダを食べますか。,あのアイデアは実現しそうですか。,道をあけて通してください。,ウェイトレスはジュースのグラスを私の前に置いた。,カーテンに火がついた。
危機の時は落ち着かなければならない。,僕もゲームに加えて下さい。,ピアノは高いです。,手荷物受取所で待っています。,彼は以前は酒を飲まなかった。,サラダは好きではありません。,我々は他人との関係を構築し、維持していく。,レンズを通して町を眺める。,書いてくださいますか。,ランプがついた。
々が危機は去ったと言っています。,そのことに加えて、彼は試験に失敗した。,それは高くなかった。,彼女は金の受け取りを拒絶した。,私はギリシャ文化について学んだ。,トムが僕のサラダを食べたよ。,誤りから学ぶために誰も責めないシステムを構築する。,この目を通して見た現実。,これ、トムが書いたんだと思う？。,日が暮れると街灯がつく。
彼は危機にあっても冷静であった。,この増加に加えて、世界の経済構造の変化があった。,それは高い。,招待状お受け取りをお知らせください。,彼は日本の文化に詳しい。,本当にこのサラダ美味しい。,彼女はハート型のイヤリングをしていた。,紹介者を通して発注する。,ペンで書いて下さい。,電気がついている。
健康はすべてのものの中でもっとも貴重である。,雨に加えて激しい風にもあった。,そのピアノは高い。,トムが、通訳としてメアリーを雇ったんだ。,彼女は昨年はじめて日本の文化に触れた。,私はノート、ペンなどが必要だ。,私はこの型の家は好きではない。,通訳を通して会談する。,今のを、書いていただけませんでしょうか?。,ろうそくをつける。
あれは貴重な経験だった。,食生活変えた方がいいよ。,本を読み続けた。,その会合で私は通訳を務めた。,私は自分の家の料理と文化を経験したい。,私はサッカー、ラグビー、フットボールなどが好きです。,この型のテレビならあまり場所をとらないでしょう。,通信社を通した報道。,ペンとインキで書きなさい。,マッチで火をつける。
時間ほど貴重な物はない。,私たちの食生活はとても変化に富んでいます。,続けろ。,私たちは通訳の助けなしで話した。,彼女は昨年始めて日本文化に触れた。,私たちはサンドイッチやケーキなどを食べた。,この新しい型は市場で手に入りますか。,政治を通して考える。,何描いてるの？。,導火線に火をつける。
時間は最も貴重なものだ。,食生活は生存に必要である。,僕はこの仕事を続けることにした。,叔父は僕に通訳をやらせた。,モダンジャズに何を求めて聞けばいいのかわかると、私はそれを味わえるようになった。,彼は私の言うことなど聞こうとしない。,コンパクト型にはおしゃれなデザインが多いですね。,青森まで新幹線を通す。,円を描いてくれ。,ガスストーブをつける。
これはサミーさんのサインをもらう貴重な機会だ。,わたしはあなたの健康をとても心配している。,続けたかった。,トムには通訳が必要よ。,こんなおいしいスープを味わったことがありますか。,私には彼など問題ではない。,教育は重要な要素である。,あなたにまた会えたのでとてもうれしかったです。,モナリザはレオナルド・ダヴィンチによって描かれた。,電灯をつける。
彼女は連続して医学的発見をした。,健康に気をつけなさい。,あなたは現在の仕事を続けた方がいいと思います。,コンピューターがこの会社に導入されつつあります。,日本のあるインドカレー屋のカレーの味って、やっぱり日本人の口に合わせて作られているよね。,梅酒はね、梅で作る和風リキュールのことだよ。,新しい家を買う時の主な要素はお金です。,ケモナーのイベントでトムに会った。,私はコンパスで円を描いた。,蛍光灯をつけたり消したりする。
この病気を治すことは今のところ医学的に不可能だ。,私たちは自分の健康には十分注意しなければなりません。,彼はスパイだと判明した。,いまだにインターネットの導入を検討している会社がある。,私は口で味わい、食べ、そして飲む。,パリまで５０キロです。,努力は成功の基本要素である。,あなたにまた会えてうれしかったです。,これ自分で描いたの？。,彼はあごを片手にもたせて食卓にひじを突いて座っていた。
医学的に言うと、私はあなたに減量するようすすめます。,健康が私にとってすべてです。,噂はうそであることが判明した。,新しい税の導入は経済全体に影響を与えるものと見られる。,彼はそのチーズケーキを味わってみた。,グランドホテルまで、行ってください。,やさしさは人の性格の中で重要な要素だ。,ボストンで会った。,あなたが私の背中をかいてくれれば、私もあなたの背中をかきます。,テーブルにひじを突くのはやめなさい。
医学的な見地からその事実を調査するべきだ。,健康より大切な物は無い。,そのニュースは本当だと判明した。,会社は時差通勤を導入しようとしています。,私の知る限りでは、これが最新版です。,バスでそのビーチまで行けますか？。,カーペットの値段は３つの要素で始まる。,また会いましょう。,誰がこの美しい絵をかいたのですか。,針で親指を突いてしまった。
彼は知識をひけらかそうとした。,6月5日は世界環境デーです。,彼が私に話してくれたことは本当であると判明した。,その国へ民主的な考えを導入するには時間がかかるだろう。,来月、その百科事典の最新版がでる。,ホテルまでタクシーで行きなさい。,彼のすばらしい作品は際だっている。,本当にこの場所で合ってるの？。,ここにあなたの名前をかいてくれませんか。,我々の食料は底を突いた。
彼はいろんな知識を持っている。,６４ビットのソフトは３２ビット環境では動かないだろう。,彼の推測は結局正しいことが判明した。,そのチームは準決勝に勝って決勝に進出した。,トムはアルコールアレルギーである。,サンフランシスコまで行ってください。,すべての有名な野球選手の中で、彼は天才として際立っている。,自分のレベルに合ったテキストでやるのが大切だろう。,夏は汗をいっぱいかくので沢山水を飲まなくてはなりません。,その子供は、つまずいて転んで膝を突いた。
