w1,w2,w3,w4,w5,w6,w7,w8,w9,w10
見送る,砕ける,取る,採る,踊る,粘る,授ける,触る,答える,納まる
背負う,差し出す,広まる,物語る,抓る,涼む,余る,浸ける,掻き回す,整う
話し合う,描く,遅れる,老いる,退く,隠れる,呟く,連ねる,探す,出掛ける
切れる,開く,思う,咲く,察する,砕ける,驚く,広める,見直す,遣り通す
放り込む,即する,適する,及ぼす,届く,結び付く,固める,強める,認める,捕まる
飛ぶ,添う,繋げる,滅ぼす,率いる,募る,深まる,数える,焼ける,恋する
産む,踏む,擦る,馴らす,招く,凌ぐ,率いる,観る,広める,勤まる
呼ぶ,投げる,儲ける,上回る,治める,沈む,辞める,蕩ける,論じる,高まる
取り消す,住む,目立つ,至る,反する,楽しむ,歩く,活ける,従う,浸す
抜かす,巡る,食べる,折る,凍る,要する,下がる,連なる,潤う,治まる
唱える,離れる,冷ます,裂く,区切る,張る,縮れる,好む,照り返す,起す
教える,行く,差し引く,洗う,釣り合う,零れる,凍る,慎む,連ねる,聳える
作る,高まる,稼ぐ,入る,制する,強まる,廃れる,盛る,増す,売れる
遭う,打ち込む,給う,演じる,辿る,詰る,突っ張る,優れる,加える,弛む
追い出す,伸ばす,動かす,成る,進む,引っ掻く,論ずる,貸す,呼び出す,繕う
恥じる,捕まる,見慣れる,殺す,納める,進める,受かる,逃れる,求める,揃える
気に入る,満たす,煎る,似通う,解く,応じる,帰す,借りる,為す,逃げる
定まる,果たす,預かる,感じる,逃げる,面する,黙る,篭る,早める,討つ
冷める,落とす,追い越す,移る,辿り着く,禁ずる,縮む,司る,栄える,溢れる
蹴飛ばす,尽くす,兼ねる,ずらす,論じる,吹く,要する,務める,汚れる,捧げる
飼う,属する,逸らす,着く,押し込む,応ずる,騙す,転じる,訳す,関する
着せる,離す,撮る,案じる,付き合う,務める,現す,報じる,求める,見渡す
誘う,交える,漕ぐ,炊く,実る,煮える,降る,流れる,加わる,減る
負かす,磨く,捧げる,達する,繋ぐ,落す,渇く,点ける,足りる,取り付く
焦がす,擦れる,尽きる,蘇る,即する,戻す,受け取る,通じる,休める,誓う
驚かす,近寄る,殖やす,強請る,塗る,重なる,用いる,咎める,被せる,払い込む
伝える,並ぶ,生やす,育つ,太る,止まる,重ねる,叶える,労る,挙げる
伝わる,酌む,伸びる,回す,焼ける,汚れる,痺れる,取り崩す,萎びる,茂る
捕える,宛てる,弄る,濡れる,乾かす,乾く,痛む,留める,足す,溺れる
誂える,残る,見付かる,付く,祭る,止める,登る,近付く,扱う,暴れる
蹴る,祝う,塞ぐ,罰する,替える,謙る,助ける,仕立てる,膨れる,役立つ
伝わる,嘆く,汚れる,引っ込む,投げ出す,勧める,零す,掛ける,取り次ぐ,恐れる
控える,片寄る,効く,織る,残る,隔てる,禁ずる,尋ねる,干す,崩す
編む,申し込む,引受る,砕く,更ける,凍る,行く,囀る,断る,覆う
学ぶ,照らす,通う,慣らす,続く,含める,罹る,丸める,賄う,収まる
嫌がる,貶す,志す,取り組む,溶く,裁く,拭く,外れる,揚げる,溢れる
化する,代わる,逃げる,転じる,説く,熱する,通る,眺める,凭れる,為さる
贈る,変わる,散らす,染まる,呉れる,吐く,始める,炒める,任せる,打ち消す
裏切る,交わる,攻める,痛める,終える,被る,感じる,任せる,調べる,刻む
押える,食い違う,引返す,区切る,填める,祈る,蒔く,慌てる,打つ,建つ
襲う,勤まる,詫びる,溜まる,尽きる,絶える,撒く,卸す,取り巻く,引出す
触れる,見舞う,仕切る,膨れる,沈める,乗る,掛かる,進める,座る,養う
揃う,手掛ける,脱する,渡る,寄こす,取り巻く,絞る,営む,流す,発つ
明かす,朽ちる,在る,思い付く,強いる,赴く,信じる,係わる,出す,埋まる
契る,転ぶ,済ます,点く,受かる,脱ぐ,群がる,着ける,取り戻す,別れる
制する,見下ろす,擦る,乾かす,寝る,実る,治る,潰れる,緩める,係わる
似合う,捨てる,茹でる,鳴らす,飢える,耐える,奉る,超す,遣る,待つ
狂う,過ごす,嗅ぐ,壊す,置く,瞑る,上る,犯す,命じる,呆れる
貰う,終わる,弾く,晴れる,固める,帰る,止める,遮る,滅びる,擦る
接する,跨がる,築く,填まる,生る,抜く,尽きる,怠ける,乗っ取る,行う
言う,茂る,挟まる,転がる,恋する,輝く,積もる,任す,萎む,打つ
去る,起こす,賑わう,苛める,紛れる,放る,湧く,育てる,図る,溺れる
買う,寄こす,纏まる,減らす,揺れる,傾く,収める,下す,立ち寄る,忘れる
横切る,覆す,垂れる,通じる,欠ける,落ち込む,抜け出す,纏める,取り込む,誘う
隠れる,引っ越す,示す,徹する,懐く,弱まる,凭れる,萎びる,溶ける,具える
狙う,釣る,噛み切る,決める,掛ける,欺く,努める,耕す,溶け込む,煽てる
痩せる,縮まる,吊す,濡らす,結ぶ,取り外す,受け継ぐ,努める,叱る,逃れる
綴じる,傲る,読む,悔やむ,励ます,反る,続ける,重ねる,破れる,廃れる
請う,越える,蕩ける,凹む,冴える,配る,話し合う,認める,求める,別れる
出会う,迎える,照る,応じる,齎らす,有する,明ける,喜ぶ,乱れる,枯れる
揺らぐ,凝る,毟る,叩く,唸る,取り除く,倒れる,眠る,略す,焦げる
剥がす,植わる,止まる,得る,破れる,演じる,与える,取り除く,更ける,教わる
受け持つ,震える,溜める,転がす,解く,揶揄う,留める,埋まる,喋る,面する
交じる,授ける,置く,止める,滞る,演ずる,定める,繰り返す,砕ける,曲げる
預かる,預ける,蕩ける,割れる,滲む,崩れる,放り出す,許す,射す,早める
会う,建てる,心得る,合わす,跳ぶ,炙る,苛める,見る,懲りる,遂げる
移す,問う,濯ぐ,留める,費やす,縮める,演ずる,障る,怠る,敬う
覚める,混ぜる,励む,決まる,酔う,悲しむ,疲れる,取り残す,汚れる,診る
仕入れる,仰ぐ,取り除く,命じる,打つ,逃げ出す,膨らむ,重なる,捜す,起こる
暮れる,対する,助かる,炒める,変える,忘れる,禁じる,片付く,負ける,立つ
救う,率いる,述べる,憎む,映す,始まる,潰す,量る,見逃す,取り分け
寄せる,呉れる,浴びる,集める,繋ぐ,殖える,滑る,測る,抜ける,貼る
探る,引っ掻く,仕上がる,熱する,属する,勤める,返す,論ずる,戦う,勝つ
捕える,亡くす,出切る,追い込む,取り扱う,引き取る,感ずる,守る,流れる,湿る
賜る,悩ます,荒らす,挟む,遅らす,練る,沸く,引っ張る,指差す,食い違う
死ぬ,藻掻く,有る,弱まる,接する,壊れる,開ける,消す,保つ,下げる
治まる,雇う,含む,止まる,面する,縮れる,取り組み,降りる,歩む,違う
造る,酔う,裏返す,染みる,愛する,見える,促す,鍛える,化ける,緩む
合う,動く,続ける,居る,煮る,脱する,囁く,差す,比べる,訳す
組む,腐る,試す,仕掛ける,真似る,掃く,著す,下りる,争う,炊く
見せる,交ぜる,炒る,除く,流行る,貼る,巻く,押す,漏る,漂う
沸かす,打ち切る,埋め込む,焚く,換える,深まる,痺れる,深める,丸める,投げる
生かす,飲み込む,噛る,間に合う,成り立つ,望む,困る,茂る,分ける,渡す
違える,延ばす,避ける,打付ける,零れる,添える,追い付く,頼む,遡る,休める
外れる,放す,恵む,覗く,討つ,燃える,働く,裂ける,尋ねる,弱める
取り次ぐ,繋がる,病む,信じる,打付ける,預ける,深める,潰れる,訪ねる,並べる
為る,這う,出掛ける,出掛ける,燃える,返る,倒す,煽てる,達する,経つ
結ぶ,誇る,深まる,売る,代える,対する,優れる,注す,回る,恐れる
掬う,剃る,飾る,刻む,接ぐ,省く,焼く,侵す,認める,緩める
乗せる,怒る,澄ます,漏れる,兼ねる,高める,上がる,放れる,光る,遅れる
儲かる,見下ろす,吊る,浮かぶ,嘗める,壊れる,応ずる,挑む,弱る,匂う
笑う,飛ばす,持てる,取り出す,軋む,反する,生きる,挿す,儲ける,備わる
知る,仕舞う,飛び出す,焦る,劣る,履く,訪ねる,欠ける,辿り着く,微笑む
取り除く,立てる,慣れる,交わす,付ける,手伝う,危ぶむ,直す,弱める,睨む
汲む,慕う,詰る,仕掛ける,研ぐ,轢く,似通う,診る,上げる,遅れる
混じる,転がる,奪う,刈る,霞む,貫く,炒める,結び付く,恨む,備える
来る,果てる,記す,習う,泣く,罰する,施す,命ずる,集まる,伴う
乱す,満ちる,広げる,込める,用いる,間違う,痛める,傷付く,解ける,呆れる
閉じる,澄む,取れる,詰まる,釣り合う,納める,直る,隔たる,纏める,残す
