Phrase,Meaning
二人の愛は永遠です,Their love is eternal
子供の成長には愛情が大切です,Love is the key to a child's growth
愛する家族のために私は毎日朝から夜遅くまで働いています,For my beloved family I work from morning till late every day
家族の愛情,Family Love
親子の愛情,Love between parents and children
夫婦の愛情,Love between husband and wife
私はあまり英語が話せません,I don't speak much English
英文を読むときは英和辞典を使います,I use an English-Japanese dictionary when I read in English
英文を書くときは和英辞典です,I use a Japanese-English dictionary when writing in English
二人の愛は永遠です,Their love is eternal
世界の人々はみんな永久の平和を願っています,All the people in the world are hoping for a permanent peace
