Verbs,Meaning,Reading
注す,"to pour (drink), to serve (drinks) ",さす
射す,"to shine, to strike",さす
足す,"to add numbers, to add something, to top up with something",たす
出す,"to put out, to take out, to get out, to show, to submit, to publish, to send",だす
為す,"to accomplish, to do, to build up, to establish, to form",なす
干す,"to air, to dry, to desiccate, to drain (off), to drink up ",ほす
増す,"to increase, to grow",ます
蒸す,"to steam, to poultice, to be sultry ",むす
召す,"to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink",めす
止す,"to cease, to abolish, to resign, to give up ",よす
打つ,to hit,うつ
撃つ,"to attack, to defeat, to destroy ",うつ
討つ,"to attack, to avenge",うつ
勝つ,to win,かつ
立つ,to stand,たつ
経つ,"to pass, to lapse",たつ
建つ,"to erect, to be erected, to be built ",たつ
発つ,"to depart (on a plane, train, etc.) ",たつ
絶つ,"to sever, to cut off, to suppress, to abstain (from) ",たつ
打つ,"to hit, to strike",ぶつ
待つ,to wait,まつ
持つ,to hold,もつ
死ぬ,to die,しぬ
飛ぶ,"to fly, to hop",とぶ
跳ぶ,"to jump, to fly, to leap",とぶ
呼ぶ,"to call out, to invite",よぶ
編む,to knit,あむ
産む,"to give birth, to deliver, to produce ",うむ
噛む,"to bite, to chew",かむ
組む,to put together,くむ
汲む,"(1) to draw (water), to dip, to scoop, to pump",くむ
酌む,to serve sake,くむ
込む,to include,こむ
混む,to be crowded,こむ
住む,to live in,すむ
済む,to finish,すむ
澄む,"to clear (e.g. weather), to become transparent",すむ
積む,"to pile up, to stack",つむ
富む,"to be rich, to become rich",とむ
飲む,to drink,のむ
踏む,to step on,ふむ
揉む,"to rub, to crumple (up), to wrinkle ",もむ
止む,to stop,やむ
病む,"to fall ill, to be ill",やむ
読む,to read,よむ
有る,"to be, to have(used for inanimate objects)",ある
在る,"to live, to be",ある
居る,"to be, to have (used for people and animals)",いる
要る,to need,いる
煎る,"to parch, to fry",いる
炒る,"to roast, to parch, to toast, to boil down​",いる
入る,"to get in, to go in, to come in, to flow into, to set, to set in ",いる
売る,to sell,うる
得る,"to get, to gain, to win",うる
得る,"to get, to gain, to win",える
折る,to break or to fold,おる
居る,"to be (animate), to be, to exist ",おる
織る,to weave,おる
刈る,"to cut (hair), to mow (grass), to harvest",かる
切る,to cut,きる
着る,to put on from the shoulders down ,きる
来る,to come,くる
蹴る,to kick,ける
去る,"to leave, to go away",さる
知る,to know,しる
為る,to do,する
為す,to print,なす
剃る,to shave,する
剃る,to shave,そる
散る,"to fall, to scatter (e.g.blossoms)",ちる
釣る,to fish,つる
吊る,to hang,つる
照る,to shine,てる
出る,"to appear, to leave",でる
取る,to take something,とる
撮る,to take a photo or record a film ,とる
採る,"(1) to adopt (measure, proposal), (2) to pick (fruit)",とる
捕る,"to take, to catch (fish), to capture ",とる
鳴る,to sound,なる
為る,"to change, to be of use, to reach to ",なる
成る,to become,なる
生る,to bear fruit,なる
似る,to be similar,にる
煮る,"to boil, to cook, to simmer, to stew",にる
塗る,"to paint, to colour, to plaster ",ぬる
寝る,"to go to bed, to sleep",ねる
練る,"to knead, to work over, to polish up ",ねる
乗る,"to get on, to ride",のる
載る,"to appear (in print), to be recorded ",のる
貼る,to stick,はる
張る,"to stick, to paste, to affix",はる
降る,"to fall, e.g. rain or snow",ふる
振る,"(1) to wave, to shake, to swing,(2) to sprinkle,(3) to cast (actor), to allocate (work)",ふる
減る,"to decrease (in size or number), to diminish, to abate ",へる
経る,"to pass, to elapse, to experience ",へる
掘る,"to dig, to excavate",ほる
彫る,"to carve, to engrave, to sculpture, to chisel",ほる
観る,"to see, to watch",みる
見る,"to see, to watch",みる
診る,to examine (medical),みる
盛る,"(1) to serve (food, etc.),(2) to fill up,(3) to prescribe ",もる
漏る,"to leak, to run out",もる
寄る,to visit,よる
因る,"to be based on, to come from, to be due to, be caused by, to depend on",よる
遣る,"to do, to have sexual intercourse, to kill, to give inferiors animals etc.), to dispatch",やる
割る,"to divide, to cut, to break, to halve ",わる
覆う,"to cover, to hide, to conceal, to wrap, to disguise ",おおう
匂う,"to be fragrant, to smell, to stink ",におう
誓う,"to swear, to vow, to take an oath, to pledge ",ちかう
使う,to use,つかう
違う,to differ,ちがう
願う,"to desire, to wish, to request ",ねがう
救う,"to rescue from, to help out of ",すくう
掬う,"to scoop, to ladle out",すくう
襲う,to attack,おそう
誘う,"(1) to invite, to ask,(2) to tempt, to lure, to induce",さそう
歌う,to sing,うたう
慕う,"to yearn for, to miss, to adore, to love dearly ",したう
雇う,"to employ, to hire",やとう
叶う,to come true (wish),かなう
担う,"to carry on shoulder, to bear (burden), to shoulder (gun) ",になう
奪う,to snatch away,うばう
構う,"to mind, to care about, to be concerned about ",かまう
給う,"to receive, to grant",たまう
思う,"to think, to feel",おもう
通う,to commute,かよう
洗う,to wash,あらう
嫌う,"to hate, to dislike, to loathe ",きらう
拐う,"to carry off, to run away with, to kidnap, to abduct",さらう
習う,to learn,ならう
倣う,"to imitate, to follow, to emulate",ならう
狙う,to aim at,ねらう
払う,to pay,はらう
貰う,to receive,もらう
笑う,"to laugh, to smile",わらう
狂う,"to go mad, to get out of order ",くるう
揃う,"to become complete, to be equal, to be all present, to gather",そろう
拾う,"o pick up, to gather",ひろう
祝う,"to congratulate, to celebrate ",いわう
扇ぐ,"to fan, to flap",あおぐ
仰ぐ,"to look up (to), to respect, to depend on, to ask for, to eek, to revere, to drink, to take ",あおぐ
描く,"to draw, to paint, to sketch, to depict, to describe ",えがく
磨く,"to brush teeth, to polish",みがく
嘆く,"to sigh, to lament, to grieve ",なげく
動く,to move,うごく
塞ぐ,"to stop up, to close up, to block (up)",ふさぐ
築く,"to build, to pile up, to amass ",きずく
濯ぐ,"to rinse, to wash out",すすぐ
弾く,"to flip, to snap",はじく
稼ぐ,"to earn income, to labor ",かせぐ
防ぐ,"to defend (against), to protect, to prevent",ふせぐ
急ぐ,to hurry,いそぐ
注ぐ,"to pour (into), to irrigate, to pay, to fill, to feed (e.g. a fire) ",そそぐ
除く,"to remove, to exclude, to except ",のぞく
覗く,"to peep in, to look in, to peek in, to stick out",のぞく
叩く,"to strike, to clap, to dust, to beat ",たたく
砕く,"to break, to smash",くだく
跨ぐ,to straddle,またぐ
突く,"1. to thrust, to strike, to attack2. to poke, to nudge, to pick at ",つつく
懐く,to become emotionally attached ,なつく
続く,to be continued,つづく
担ぐ,"to shoulder, to carry on shoulder ",かつぐ
届く,to reach,とどく
解く,to unfasten,ほどく
繋ぐ,"to tie, to fasten, to connect, to transfer (phone call) ",つなぐ
招く,to invite,まねく
凌ぐ,"to outdo, to surpass, to endure, to keep out (rain), to stave off, to tide over, to pull through, to defy",しのぐ
裁く,to judge,さばく
響く,to resound,ひびく
省く,"to omit, to eliminate, to curtail, to economize ",はぶく
背く,"to run counter to, to go against, to disobey, to infringe ",そむく
泳ぐ,to swim,およぐ
乾く,to get dry,かわく
渇く,to be thirsty,かわく
騒ぐ,"to make noise, to be excited ",さわぐ
開く,to open an event,ひらく
歩く,to walk,あるく
返す,to return something,かえす
帰す,to send back,かえす
倒す,"to throw down, to beat, to bring down, to blow down ",たおす
通す,"to let pass, to overlook, to continue ",とおす
直す,"to fix, to repair",なおす
治す,"to cure, to heal, to fix, to correct, to repair ",なおす
犯す,"to commit, to perpetrate, to violate, to rape ",おかす
侵す,"to invade, to raid, to trespass, to violate, to intrude on ",おかす
任す,"to entrust, to leave to a person ",まかす
汚す,"to disgrace, to dishonour ",けがす
探す,to look for,さがす
捜す,"to search, to seek, to look for ",さがす
流す,"to drain, to float, to shed (blood, tears), to cruise (e.g. taxi)",ながす
逃す,"to let loose, to set free, to let escape ",のがす
隠す,"to hide, to conceal",かくす
訳す,to translate,やくす
略す,to abbreviate,りゃくす
起す,to wake,おこす
残す,"to leave (behind, over), to bequeath, to save, to reserve ",のこす
汚す,"(1) to disgrace, to dishonour,(2) to pollute, to contaminate, to soil, to make dirty, to stain ",よごす
崩す,"to destroy, to pull down, to make change (money)",くずす
外す,"to unfasten, to remove",はずす
浸す,"to soak, to dip, to drench",ひたす
渡す,to hand over,わたす
乱す,"to throw out of order, to disarrange, to disturb",みだす
写す,to copy or photograph,うつす
移す,"to remove, to transfer, to infect",うつす
映す,"to project, to reflect, to cast (shadow)",うつす
落す,to drop,おとす
脅す,"to threaten, to menace",おどす
戻す,"to restore, to put back, to return",もどす
貶す,to speak ill of,けなす
話す,to speak,はなす
離す,"to part, divide, separate",はなす
放す,"to separate, to set free",はなす
潰す,"to smash, to waste",つぶす
零す,to spill,こぼす
騙す,"to trick, to cheat, to deceive",だます
示す,"to denote, to show, to point out, to indicate",しめす
試す,"to attempt, to test",ためす
記す,"to note, to write down",しるす
吊す,to hang,つるす
許す,"to permit, to allow, to approve, to forgive",ゆるす
下す,"to lower, to let go down",おろす
卸す,"to sell wholesale, grated (vegetables)",おろす
殺す,to kill,ころす
壊す,to break,こわす
回す,"to turn, to revolve",まわす
育つ,"to raise (child), to be brought up, to grow (up)",そだつ
保つ,"to keep, to preserve, to hold, to retain, to maintain, to support, to sustain, to last, to endure",たもつ
浮ぶ,"to float, to rise to surface, to come to mind",うかぶ
叫ぶ,"to shout, to cry",さけぶ
運ぶ,to transport,はこぶ
結ぶ,"to tie, to bind, to link",むすぶ
遊ぶ,"to play, to make a visit",あそぶ
学ぶ,"to study (in depth), to learn, to take lessons in",まなぶ
及ぶ,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal",およぶ
選ぶ,to choose,えらぶ
並ぶ,"to line up, to stand in a line",ならぶ
転ぶ,"to fall down, to fall over",ころぶ
掴む,"to seize, to catch, to grasp",つかむ
歪む,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant",いがむ
拝む,"to worship, to beg, to make a supplication",おがむ
含む,"to hold in the mouth, to bear in mind",ふくむ
恵む,"to bless, to show mercy to",めぐむ
励む,"to be zealous, to brace oneself, to endeavour, to strive, to make an effort ",はげむ
囲む,"to surround, to encircle",かこむ
凹む,"to be dented, to be indented, to yield to, to give, to sink, to collapse,, to cave in, to be snubbed",へこむ
嵩む,"to pile up, to increase",かさむ
憎む,"to hate, to detest",にくむ
挟む,"to interpose, to hold between, to insert",はさむ
刻む,"to mince, to carve, to engrave",きざむ
惜しむ,"to be frugal, to value, to regret",おしむ
軋む,"to jar, to creak, to grate",きしむ
滲む,"to run, to blur, to spread, to blot, to ooze",にじむ
霞む,"to grow hazy, to be misty",かすむ
進む,to make progress,すすむ
盗む,to steal,ぬすむ
休む,to rest,やすむ
沈む,"to sink, to feel depressed",しずむ
涼む,"to cool oneself, to cool off, to enjoy evening cool",すずむ
弾む,"to spring, to bound, to bounce, to be stimulated, to be encourage, to get lively, to treat oneself to",はずむ
望む,"to desire, to wish for, to see, to command (a view of)",のぞむ
臨む,"to look out on, to face, to deal with, to attend (function)",のぞむ
痛む,"to hurt, to feel a pain, to be injured",いたむ
畳む,to fold (clothes),たたむ
妬む,"to be jealous, to be envious",ねたむ
縮む,"to shrink, to be contracted",ちぢむ
包む,to wrap,つつむ
挑む,"to challenge, to contend for, to make love to",いどむ
好む,"to like, to prefer",このむ
頼む,to ask (a favour),たのむ
阻む,"to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart ",はばむ
萎む,"to wither, to fade (away), to shrivel, to wilt",しぼむ
摘む,"to pinch, to hold, to pick up",つまむ
悩む,"to be worried, to be troubled",なやむ
歩む,"to walk, to go on foot",あゆむ
恨む,"to curse, to feel bitter",うらむ
絡む,"to entangle, to entwine",からむ
睨む,"to glare at, to scowl at, to keep an eye on",にらむ
弛む,"to slacken, to loosen, to relax",たるむ
緩む,"to become loose, to slacken ",ゆるむ
入る,"to enter, to contain",はいる
放る,to let go,ほうる
帰る,to go back,かえる
反る,"to warp, to be warped, to curve",かえる
返る,"to return, to come back, to go back",かえる
凍る,"to freeze, to be frozen over, to congeal",こおる
通る,to go through,とおる
直る,"to be fixed, to be repaired",なおる
治る,"to be cured, to heal",なおる
怒る,"to get angry, to be angry",いかる
罹る,to suffer from,かかる
盛る,"to prosper, to flourish, to copulate (animals)",さかる
叱る,to scold,しかる
計る,"to measure, to weigh, to survey",はかる
量る,"to measure, to weigh, to survey",はかる
測る,"to measure, to weigh, to survey",はかる
諮る,"to consult with, to confer",はかる
図る,"to plot, to attempt, to plan, to take in, to deceive, to devise, to design",はかる
光る,"to shine, to glitter",ひかる
上る,to rise,あがる
尖る,"to taper to a point, to become sharp, to be sour, to look displeased (vi)",とがる
限る,"to restrict, to limit, to confine",かぎる
契る,"to pledge, to promise, to swear ",ちぎる
握る,"to grasp, to hold a (thing) in one’s hand, grip",にぎる
送る,to send,おくる
贈る,"to send, to give to, to award to, to confer on",おくる
作る,to make,つくる
造る,"to make, to create, to manufacture, to draw up, to write, to compose, to build, to coin, to cultivate, to org ",つくる
潜る,"(1) to drive, to pass through (2) to evade, to hide (3) to dive (into or under water), to go undergro",くぐる
探る,"to search, to look for, to sound out ",さぐる
殴る,"to strike, to hit",なぐる
巡る,to go around,めぐる
潜る,"(1) to drive, to pass through,(2) to evade, to hide,(3) to dive (into or under water), to go underground",もぐる
茂る,"to grow thick, to luxuriate, to be luxurious",しげる
怒る,"to get angry, to be angry ",おこる
残る,to remain,のこる
誇る,"to boast of, to be proud of",ほこる
傲る,to be proud,おごる
凝る,"to congeal, to freeze",こごる
濁る,"to become muddy, to get impure ",にごる
腐る,"to rot, to go bad",くさる
勝る,"to excel, to surpass, to outrival ",まさる
飾る,to decorate,かざる
走る,to run,はしる
毟る,"to pluck, to pick, to tear ",むしる
弄る,"to touch, to tamper with",いじる
噛る,"to chew, to bite (at), to gnaw, to nibble, to munch, to crunch",かじる
詰る,"to rebuke, to scold, to tell off",なじる
捩る,to twist,ねじる
擦る,"to touch lightly, to take a percentage (from)",かする
擦る,"to rub, to chafe, to file, to frost (glass), to strike (match)",こする
削る,"to cut down little by little, to take percentage",けずる
譲る,"to turn over, to assign, to hand over",ゆずる
焦る,"to be in a hurry, to be impatient",あせる
至る,"to come, to arrive",いたる
語る,"to talk, to tell, to recite",かたる
来る,"to come, to arrive, to due to, to be next, to be forthcoming",きたる
渡る,to go across,わたる
下る,"to get down, to descend",くだる
移る,to move house or transfer,うつる
写る,"to be photographed, to be projected",うつる
映る,"to be reflected, to harmonise with, to come out (photo)",うつる
祭る,"to deify, to enshrine",まつる
劣る,"to fall behind, to be inferior to",おとる
悟る,"to attain enlightenment, to perceive, to understand, to discern",さとる
太る,to become fat,ふとる
踊る,to dance,おどる
辿る,"to follow (road), to pursue (course), to follow up",たどる
戻る,to turn back,もどる
唸る,"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough ",うなる
抓る,to pinch,つねる
捻る,"to turn (a switch) on or off, to twist, to puzzle over",ひねる
祈る,to pray,いのる
募る,"to invite, to solicit help participation etc ",つのる
実る,"to bear fruit, to ripen",みのる
配る,"to distribute, to deliver",くばる
縛る,"to tie, to bind",しばる
粘る,"to be sticky, to be adhesive, to persevere, to persist, to stick to ",ねばる
炙る,to scorch,あぶる
被る,"to put on , wear, cover (one’s) head",かぶる
瞑る,to close the eyes,つぶる
破る,"o tear, to violate, to defeat, to smash, to destroy",やぶる
滑る,"to slide, to slip",すべる
絞る,"to press, to wring, to squeeze ",しぼる
登る,to climb,のぼる
昇る,"to arise, to ascend, to go up",のぼる
上る,"to ascend, to go up, to climb",のぼる
余る,"to remain, to be left over, to be in excess, to be too many",あまる
困る,to be worried,こまる
迫る,"to draw near, to press",せまる
黙る,to be silent,だまる
鈍る,"to become less capable, to grow dull, to become blunt, to weaken",なまる
煙る,to smoke (e.g. fire),けむる
眠る,to sleep,ねむる
湿る,"to be wet, to become wet, to be dump",しめる
篭る,"to seclude oneself, to be confined in, to be implied, to be stuffy",こもる
守る,"to protect, to obey, to guard, to abide (by the rules)",まもる
曇る,"to become cloudy, to become dim",くもる
頼る,"to rely on, to have recourse to, to depend on ",たよる
触る,to touch,さわる
障る,"to hinder, to interfere with, to affect, to do one harm, to be harmful to",さわる
座る,to sit,すわる
回る,to go around,まわる
弱る,"to weaken, to be troubled, to be downcast, to be emaciated, to be dejected, to be perplexed, to impair",よわる
すれ違う,"to pass by one another, to disagree, to miss each other",すれちがう
あざ笑う,"to sneer at, to ridicule ",あざわらう
潤う,"to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm ",うるおう
戦う,"to fight, to battle, to combat",たたかう
扱う,"to handle, to deal with, to treat",あつかう
疑う,"to doubt, to distrust, to be suspicious of, to suspect ",うたがう
従う,"o abide (by the rules), to obey, to follow, to accompany",したがう
争う,"to dispute, to argue, to be at variance, to compete",あらそう
賄う,"to give board to, to provide meals, to pay",まかなう
補う,to compensate for,おぎなう
行う,to do,おこなう
失う,"to lose, to part with",うしなう
養う,"to rear, to maintain, to cultivate",やしなう
伴う,"to accompany, to bring with, to be accompanied by, to be involved in",ともなう
占う,"to forecast, to predict",うらなう
整う,"to be prepared, to be in order, to be put in order, to be arranged",ととのう
敬う,"to show respect, to honour",うやまう
漂う,"to drift about, to float, to hang in air",ただよう
繕う,"to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim ",つくろう
躓く,"to stumble, to trip",つまずく
退く,"to retreat, to recede, to withdraw",しりぞく
頂く,"to receive, to take food or drink",いただく
貫く,to go through,つらぬく
導く,"to be guided, to be shown",みちびく
傾く,"to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to",かたぶく
欺く,to deceive,あざむく
赴く,"to go, to proceed, to repair to, to become",おもむく
傾く,"to incline toward, to slant, to lurch ",かたむく
輝く,"to shine, to glitter, to sparkle",かがやく
囁く,"to whisper, to murmur ",ささやく
呟く,"to mutter, to murmur",つぶやく
働く,to work,はたらく
驚く,to be surprised,おどろく
催す,"to hold (a meeting), to give (a dinner), to feel, to show signs of, to develop symptoms of, to feel (sick)",もよおす
促す,"to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)",うながす
施す,"to donate, to give, to conduct, to apply, to perform",ほどこす
表す,"to express, to show, to reveal",あらわす
現す,"to show, to indicate, to display",あらわす
著す,"to write, to publish",あらわす
耕す,"to till, to plow, to cultivate ",たがやす
楽む,to enjoy oneself ,たのしむ
慎む,"to be careful, to be chaste or discreet, to abstain or refrain",つつしむ
営む,"to carry on (e.g. in ceremony), to run a business",いとなむ
羨む,to envy,うらやむ
喜ぶ,to be delighted,よろこぶ
尊ぶ,"to value, to prize, to esteem",たっとぶ
遮る,"to interrupt, to intercept, to obstruct",さえぎる
罵る,"to speak ill of, to abuse",ののしる
囀る,"to sing, to chirp, to twitter",さえずる
怠る,"to neglect, to be off guard, to be feeling better",おこたる
操る,"to manipulate, to operate, to pull strings",あやつる
捗る,"to make progress, to move right ahead (with the work), to advance",はかどる
喋る,"to talk, to chat, to chatter ",しゃべる
謝る,to apologize,あやまる
誤る,to make a mistake,あやまる
葬る,"to bury, to inter, to entomb, to consign to oblivion, to shelve ",ほうむる
偏る,"to be one-sided, to incline, to be partial, to be prejudiced, to lean, to be biased",かたよる
労る,"to pity, to sympathize with, to console, to care for, to be kind to",いたわる
断る,"to refuse, to decline, to dismiss",ことわる
賜る,"to grant, to bestow",たまわる
覆す,"to overturn, to upset, to overthrow, to undermine",くつがえす
志す,"to plan, to intend, to aspire to, to set aims (sights on)",こころざす
蘇る,"to be resurrected, to be revived, to be resuscitated, to be rehabilitated",よみがえる
滞る,"to stagnate, to be delayed",とどこおる
謙る,to deprecate oneself and praise the listener,へりくだる
奉る,"to offer, to present, to revere, to do respectfully",たてまつる
司る,"to rule, to govern, to administer",つかさどる
遡る,"to go back, to go upstream, to make retroactive",さかのぼる
向かう,to face,むかう
揺らぐ,"to swing, to sway, to shake, to tremble",ゆらぐ
基づく,"to be grounded on, to be based on, to be due to, to originate from ",もとづく
明かす,"to pass, spend, to reveal, to divulge",あかす
生かす,"to revive, to resuscitate, to make use of",いかす
急かす,"to hurry, to urge on",せかす
溶かす,"to melt, to dissolve",とかす
抜かす,"to omit, to leave out",ぬかす
負かす,to defeat,まかす
沸かす,"to boil, to heat",わかす
焦がす,"to burn, to scorch, to singe, to char",こがす
逃がす,"to let loose, to set free, to let escape",にがす
剥がす,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of, to detach",はがす
尽くす,"to exhaust, to run out, to serve (a person), to befriend",つくす
無くす,to lose something,なくす
亡くす,to lose someone,なくす
起こす,"to raise, to cause, to wake someone",おこす
寄こす,"to send, to forward",よこす
過ごす,"to pass, to spend, to go through, to tide over",すごす
果たす,"to accomplish, to fulfill, to carry out, to achieve",はたす
満たす,"to satisfy, to ingratiate, to fill, to fulfill",みたす
落とす,"to drop, to lose, to let fall ",おとす
飛ばす,"to skip over, to omit",とばす
伸ばす,"to lengthen, to stretch, to reach out, to grow (beard)",のばす
延ばす,"to lengthen, to stretch, to reach out, to grow (beard)",のばす
覚ます,to awaken,さます
冷ます,"to cool, to dampen, to let cool",さます
済ます,"to finish, to get it over with, to settle, to conclude, to pay back",すます
澄ます,"to clear, to make clear, to be unruffled, to look unconcerned, to look demure, look prim, put on airs",すます
生やす,"to grow, to cultivate, to wear beard",はやす
冷やす,"to cool, to refrigerate",ひやす
増やす,"to increase, to add to, to augment ",ふやす
殖やす,"to increase, to add to, to augment ",ふやす
燃やす,to burn,もやす
