Words,Reading,Meaning
困る,こまる,to be troubled
困難,こんなん,difficulty
困った,こまった,unmanageable
貧困,ひんこん,poor
嫌,いや,disagreeable
嫌い,きらい,dislike
嫌う,きらう,to hate
嫌がらせ,いやがらせ,harassment
嫌がる,いやがる,to hate
好き嫌い,すききらい,likes and dislikes
ご機嫌,ごきげん,humour
いやに,いやに,awfully
大嫌い,だいきらい,detestable
嫌味,いやみ,disagreeableness
不機嫌,ふきげん,pout
嫌悪感,けんおかん,unpleasant feelings
嫌気,"いやき, いやけ, けんき",dislike
嫌悪,けんお,disgust
嫌になる,いやになる,to get fed up with
写真,しゃしん,photograph
真剣,しんけん,seriousness
真面目,まじめ,diligent
真実,"しんじつ, さな, さね",truth
真ん中,"まんなか, まなか",middle
真の,しんの,TRUE
真似,"まね, マネ",imitating
真っ白,"まっしろ, ましろ",pure white
真相,しんそう,truth
奈良県,ならけん,Nara prefecture
園,その,garden
園児,えんじ,kindergarten pupil
園芸,えんげい,gardening
園遊会,えんゆうかい,garden party
半夏生,はんげしょう,Chinese lizard's tail
涼しさ,すずしさ,coolness
涼む,すすむ,to cool off
荒涼,こうりょう,"desolate, dreary, bleak"
清涼,せいりょう,"cool, refreshing"
涼風,りょうふう,cool breeze
敷く,しく,to spread out
上旬,じょうじゅん,first 10 days of month
ような,ような,like
見る,みる,to see
開放,かいほう,open
下旬,げじゅん,last third of a month
夏,なつ,summer
群生,ぐんせい,growing en masse in a location (plants); ...
車,くるま,car
滝,たき,waterfall
満喫,まんきつ,"having enough of (food, drink, etc.)"
満足,まんぞく,satisfaction
満たす,みたす,to satisfy
不満,ふまん,dissatisfaction
満載,まんさい,fully loaded
ある,ある,to be
満ちる,みちる,to be full
満開,まんかい,full bloom
満点,まんてん,perfect score
満席,まんせき,full house
美しい,うつくしい,beautiful
喫煙,きつえん,smoking
喫茶店,"きっさてん, きっちゃてん",coffee shop
喫茶,きっさ,tea drinking
喫煙者,きつえんしゃ,smoker
喫する,きっする,to eat
そこから,そこから,from there
喫煙所,"きつえんしょ, きつえんじょ",smoking area (corner)
受動喫煙,じゅどうきつえん,passive smoking
喫緊,きっきん,urgent
不動,ふどう,immobility
緊張,きんちょう,"tension, mental strain, nervousness"
緊急,きんきゅう,urgent
緊張感,きんちょうかん,feeling of tension
緊急時,きんきゅうじ,emergency
下界,かかい,lower bound
緊縛,きんばく,bind tightly
緊急事態,きんきゅうじたい,state of emergency
緊密,きんみつ,rigour
谷,たに,valley
緊迫感,きんぱくかん,sense of urgency
七,しち,seven
暑さ,あつさ,heat
流れ,ながれ,stream
また,また,again
例年,れいねん,"average (normal, ordinary) year; ..."
では,では,then
分,ふん,minute
落差,らくさ,a head
日差し,ひざし,sunlight
個人差,こじんさ,individual differences
差別,"さべつ, しゃべつ, しゃべち",discrimination
じゅうたん,じゅうたん,carpet
交差点,こうさてん,crossing
差す,さす,to shine
差し込む,さしこむ,to insert
にかけて,にかけて,till
誤差,ごさ,measurement error
格差,かくさ,qualitative difference
差別化,さべつか,differentiation
白い,しろい,white
落ちる,おちる,to fall down
