Time,Script,Translation1,Translation2
9s,T&Z: 着きましたー,T&Z: We have arrived,T & Z: Arrived
13s,IZ: こんな感じの眺めです 桜島とプールが近くていいね,IZ: This is the view. It's cool that Sakurajima Volcano and the pool are close by.,IZ: It's a view like this It's nice that Sakurajima and the pool are close
18s,IZ: 天然温泉も入れるっぽいから TR: 素晴らしい,IZ: This steam is natural hot springs TR: Great,"IZ: It's like having a natural hot spring, so TR: Great"
22s,IZ: (部屋は)どんな感じだろう TR: このドアから見るにすごいと思う,IZ: I wonder what the number looks like TR: Already on the door you can see what is interesting,IZ: What does (the room) look like TR: I think it's amazing to see through this door
26s,T&Z: おぉ,T&Z: Ooooh,T & Z: Oh
28s,IZ: いいじゃん,IZ: Good,IZ: Good
30s,IZ: すごい これは何スタイルって言うの？,IZ: What is this style?,"IZ: Wow, what style is this?"
34s,TR: リゾート？ IZ: リゾートスタイル....適当だな(笑),TR: Resort? IZ: Resort style .... maybe,TR: Resort? IZ: Resort style .... suitable (laughs)
38s,TR: ちょっとヨーロッパっぽいね,TR: Looks a little European,TR: It's kind of European
41s,IZ: 独特.... お風呂ついてるね,IZ: Unique design. Oh there is a bathroom,IZ: Unique .... You have a bath
45s,IZ: バリみたい,IZ: Like Bali,IZ: Like Bali
47s,TR: ここは日本だぜ,TR: It's Japan,TR: This is Japan
50s,IZ: 目の前が....えっ,IZ: View from the balcony ....,IZ: In front of me ...
52s,IZ: すごい 温泉でている,"IZ: Wow, you can get a hot spring in the bathroom",IZ: It's a great hot spring
58s,TR: ここも温泉が出るのかな？ IZ: ちょっと出してみる？,TR: Is there a hot spring here? IZ: Let's try?,TR: Is there a hot spring here as well? IZ: Would you like to give it a try?
1:01,"TR: ""Hot Spring water will come out for 2minutes""","TR: ""Hot spring water flows for 2 minutes""","TR: ""Hot Spring water will come out for 2 minutes"""
1:05,"IZ: ""2分間湯が出ます！""","IZ: ""It's flowing for 2 minutes!""","IZ: ""Hot water will come out for 2 minutes!"""
1:07,"TR: あ！""足湯""？ IZ: ""足し湯""","TR: Oops! ""Foot bath""? IZ: ""Add water""","TR: Oh! ""Footbath""? IZ: ""Additional bath"""
1:09,"IZ: プラスオンの... TR: これは""足""じゃないの？","IZ: To heat water TR: Isn't that a ""leg""?","IZ: Plus-on ... TR: Isn't this a ""foot""?"
1:12,IZ: 家であるでしょ？足し湯ボタン(笑),IZ: We also have such a button in the bathroom at home.,"IZ: You're home, right? Addition bath button (laughs)"
1:15,(鹿児島は足湯が有名なことを知っているTori) IZ: 逆にすごいな....,(Tori knows Kagoshima is famous for its foot baths) IZ: Amazing error,"(Tori knows that Kagoshima is famous for footbaths) IZ: On the contrary, it's amazing ...."
1:17,IZ: 温泉なんだ,IZ: This is a hot spring!,IZ: It's a hot spring
1:19,IZ: 夜楽しみですね,IZ: It'll be cool at night!,IZ: I'm looking forward to the night
1:23,TR: これ全部もう温泉にできるの？,TR: Can I get all the water from a hot spring?,TR: Can all this be made into a hot spring?
1:26,IZ: そうじゃない？ TR: すごいね,IZ: I think yes TR: Excellent,IZ: Isn't it? TR: Amazing
1:29,"TR: 毎回聞かれるけどさ... ""なんで2つベッドがあるの？""","TR: I'm always asked ... ""Why do you have two beds in your room?""","TR: I'm asked every time ... ""Why do you have two beds?"""
1:33,"TR: ""2人で寝ないの？""ってコメントで聞かれるんだけど...","TR: I get asked in the comments ""Do you sleep separately ??""","TR: I'm asked in a comment, ""Why don't you sleep together?"" ..."
1:36,TR: そういうつもりではないんです,TR: We don't choose such numbers on purpose,TR: I don't mean that
1:38,IZ: たまたま空いてたんでね TR: ダブルベッドは数が少ないし、すぐ埋まるからね,IZ: This number was just vacant. TR: Because there are few double beds and they fill up quickly.,IZ: It happened to be vacant TR: Double beds are few and will fill up soon.
1:45,TR: 予約する時これしかないんだもんね,TR: There are only such when booking,TR: This is the only way to make a reservation
1:49,IZ: 確かにね たまたまですよ マジで,"IZ: Yes, it's an accident","IZ: It's definitely a coincidence, really"
1:51,IZ: 大体1つのベッドで寝るし... TR: そう 狭い(笑),IZ: We usually sleep in the same bed ... TR: We'll have to sleep on this together,IZ: I usually sleep in one bed ... TR: That's so small (laughs)
