Time,Script,Translation1,Translation2
2s,いちご,Strawberry,Strawberry
3s,こんちゃっす、どうもねこてんだよ,"Heyo, it's Nekoten","Hello, I'm a cat"
5s,最近私よくInstagramをよく見るんですけど,"Recently, I've been seeing this a lot on Instagram",Recently I often look at Instagram
8s,なんかすっごいんですよ,"It's kind of crazy, actually",It's amazing
10s,すっごい種類の多い夜ご飯とか,People make these in all sorts of different varieties,There are so many kinds of dinner
13s,パフェとか,"Like for example, with parfait",Parfait
14s,すごいんですよ、とりあえず,Isn't that awesome?,"It's amazing, for the time being"
15s,アイスクリームとか,Ice cream,Like ice cream
16s,っていうことで今回はですね…,"Anyway, this time",So this time ...
18s,最近指パッチンちゃんと鳴るようになったんですよね,"Just now, I actually managed to snap my fingers pretty well","Recently, you can hear the finger patching properly, right?"
22s,フルーツサンドを作っていくよ,I'm going to be making a fruits sandwich,I'm going to make a fruit sandwich
24s,ま、パンに生クリームとフルーツ挟むだけみたいな,"Well, I'm pretty sure all you do is combine bread, fresh cream and fruit together","Well, it's just like putting fresh cream and fruit in bread"
27s,作っていこうと思います,Let's get this rolling!,I will make it
29s,はーい、ということでねー…,"Okaay, so anyway...","Yeah, that's why ..."
31s,オレンジの皮を剥くところが撮れてませんでした～,I wasn't actually filming while I was peeling the orange~,I couldn't take a picture of the orange peeling ~
37s,申し訳ないです,I'm so sorry about that,I'm sorry
38s,途中からですが、ミカンの皮を削っているところをご覧ください,"Even though we're starting from a weird place, I'll be shaving off the orange skin","From the middle, please see the mandarin oranges being scraped."
49s,これくらいでいいのかな～,Is this enough?~,I wonder if this is enough ~
50s,結構、白い所が残ってしまったんですけども,"There's still a lot of the white bits left, but","There are quite a few white spots left, though."
53s,ま、これくらいで良いでしょうということで,"Well, let's just say that this is enough and move on","Well, this is enough"
55s,どうやって切ればいいんだろ,How should I cut this?,How should i cut it
57s,まず横に切ってみます,I'll try cutting through straight down like this,First I will cut it horizontally
