Script,Translation
紅葉のような手　,small hands with delicate fingers
そこまで届くの. 君はずいぶん手が長いね,You can reach that? You really have long arms
手袋をはめないと手が冷たい,My hands are cold without gloves
"先生の質問に対し, 手がたくさん挙がった",A lot of hands went up in response to the teacher's question
手に腕時計をする,put on a wristwatch
その箱は手の中に隠せるほど小さい,The box is so small it can be hidden in the palm of the hand
彼は相続順位では第 2 位である,He is second in (the order of) succession
相続を放棄する,refuse an inheritance
相手が相手だけに勝つのは難しい,"With them as opponents, you know, it's not going to be easy to win"
相手の目を見て話をする,Look into the other person's eyes as one speaks to him
子供向けの本を探しています,I'm looking for a children's book
商店が軒を連ねている,The shops are all in a row
連日交通事故が起きる,Traffic accidents happen daily
予習していないから指されたら困る,"I haven't prepared, so I hope I don't get called on"
別に君のことを指して言ったわけではない,I didn't say it in reference to you in particular
