Time,Script,Translation
0s,みなさん こんにちは。 今回は、まゆみさんと話しました。,"Hello everyone. This time, I talked with Mayumi."
4s,まゆみさんは、アイトーキーという Webサイトで 日本語を教えています。,Mayumi teaches Japanese on a website called Aitoky.
10s,今日は、まゆみさんと 海外に行って 人生が変わった話をしました。,"Today, I went abroad with Mayumi and talked about a life-changing story."
17s,まゆみさんも 私も、一度 日本を出ることで いろんな価値観(かちかん)に 出会って、人生が もっと楽しくなりました。,"Mayumi and I both came across various values once we left Japan, which made our lives even more enjoyable."
25s,考え方も 変わりました。,The way of thinking has changed.
27s,まゆみさんと この話ができて、ほんとうに うれしかったし、ほんとうに楽しかったです。,I was really happy and really happy to be able to talk with Mayumi-san.
33s,みなさんにも 楽しんでもらえたら、うれしいです。,I hope you all enjoy it.
36s,まゆみさんと 日本語のレッスンが受けたい人は、下にアイトーキーのリンクをはったので、ぜひ アイトーキーで レッスンを予約してみてください。,"If you would like to take a Japanese lesson with Mayumi, please make a reservation for the lesson with Aitokey, as we have linked to Aitokey below."
46s,じゃあ さっそく 始めましょう！,Let's get started!
47s,はい、みなさんこんにちは。 今日は、まゆみさんに来ていただきました。 よろしく お願いします。,"Yes, hello everyone. Mayumi-san came today. thank you."
55s,よろしく お願いします。,thank you.
59s,じゃあ まゆみさん、ちょっと かんたんに自己紹介(じこしょうかい)を していただけますか。,"Mayumi-san, could you introduce yourself a little easier?"
1:05,はい、名前はまゆみ といいます。,"Yes, my name is Mayumi."
1:10,今は、語学学習サイトの アイトーキーで 日本語の教師(きょうし)を しています。,"Currently, I am a Japanese teacher at Aitoke, a language learning site."
1:19,しゅみは、ネットショッピングや 、,Shumi is doing online shopping and
1:37,あとは ヨガをしています。,yoga.
1:40,ヨガ いいですね。,Yoga is good.
1:43,リフレッシュで ヨガをしています。,I am doing yoga with refreshment.
1:51,いや ではなくて、それもYoutubeで、,"No, it's Youtube, and"
1:56,今 たくさんありますよね。,there are many now.
1:59,そう、ありますよね。 とっても便利ですね。,"Yes, there is. It's very convenient."
2:02,私もヨガ、しないと いけないなと いつも思ってるんですけど、,"I always think that I have to do yoga, but I have"
2:08,しないと いけない。,to do it.
2:19,そう、そうなんですよ。,"Yes, that's right."
2:22,そう。,Yes.
2:23,だから、もっとストレッチしないと いけないなって 思ってるんですけど、,"That's why I think I have to stretch more, but that's"
2:47,いいですね。 リフレッシュにとってもいい。,good. Good for refreshing.
2:52,ネットショッピングは、私も好きなんですけど、,"I also like online shopping, but"
3:02,でも、ほんとうのネットショッピングで、ほとんど８割(はちわり)ぐらい見るだけです。,"in real online shopping, I only see about 80% (Hachiwari)."
3:07,そうなんですか。買わない？,Really. Not buy?
3:09,そう、買わない。 １ヶ月ぐらい見て、見て、見て、で 最後 あーこれ！っていうのを買う。,"Yes, I don't buy it. Look, look, look for about a month, and finally this! I buy that."
3:20,なるほど。,So that's it.
3:22,たくさん見て、たくさん考えてから 注文(ちゅうもん)する。,"Look a lot, think a lot, and then place an order."
3:31,見て、これいい！と思ったらすぐに、ポチッと押しちゃう。,"Look, this is good! As soon as I think about it, I push it."
3:50,みなさん、これは教科書にはないですよ。,"Everyone, this isn't in the textbook."
3:55,Real Japanese ですね。,"Real Japanese, isn't it?"
3:58,そう、まさに。,"Yes, exactly."
4:00,今、買い物 行けないから、なんでもAmazonで 買ってるんですけど、,"I can't go shopping right now, so I'm buying everything from Amazon. It"
4:07,物とか だったら 大丈夫なんですけど、服を買って 失敗(しっぱい)したことが 何回もありますね。,"s okay if it's something, but I've bought clothes and failed (sour) many times."
4:18,そうですか？ Sサイズとか Mサイズの問題？,Is that so? S size or M size problem?
4:23,その問題もあるし、,"There is that problem, and in"
4:37,日本語で、,Japanese
4:45,それは、むずかしい。,", it's difficult."
4:47,あれね、モデルさんが かわいすぎるから、,"Well, that's because the model is"
4:50,そうなんですよ。,too cute.
4:52,モデルさんのスタイルが めっちゃいいから、私が着ても こんな感じかなって 思って、失敗(しっぱい)しますね。,"The model's style is so good that even if I wear it, I think it will look like this, and I will fail (sour)."
5:01,いつも ポチっちゃう。,I'm always popping.
5:20,オーストラリアに留学する きっかけと、じつは 日本語教師になろう と思った きっかけが、同じなんですね 私は。,The reason for studying abroad in Australia and the reason for actually becoming a Japanese teacher are the same.
5:34,同じタイミングに なってしまったんですが、,It was at the same time
5:48,りこんを したときに、そのとき東京に住んでいまして、,", but when I did Riko, I realized that I was living in Tokyo at that time,"
6:05,りこんを することによって、自分がべつに その仕事を したいわけじゃなかった ということも 気づいたんですよね。,"and by doing Riko, I didn't really want to do that job. right."
6:15,それで そのときに、,"At that time,"
6:36,それまで 小さいときから ずっと海外にあこがれも あったし、留学もしたかったんです。,"I had always longed for overseas since I was little, and I wanted to study abroad."
6:44,両親にも 「留学をしてみたい。」とか 言ったことが あるんですけれど、,"I once said to my parents, ""I want to study abroad."" So"
6:56,で、大学に行って、そこでも一度 留学を考えたけれど、,", I went to college and thought about studying abroad once,"
7:08,そして、３３歳の その りこんのタイミングのときに、,"and when I was 33 years old, I"
7:17,夢だった海外に 行ってみよう と思ったんですよね。,dreamed. I just wanted to go abroad.
7:22,そのとき３３歳ですから、ただ 行って ホームステイとかをして 帰ってきて、じゃあ その後どうするの？って 自分で思ったんですよ。,"At that time, I was 33 years old, so I just went and did a homestay and came back, so what would you do after that? I thought for myself."
7:44,大人ですから、ただ遊ぶとかではなくて、じゃあ どうしようと 思って、,"I'm an adult, so I'm not just playing, I'm thinking about what to do, and when I think about it, I"
7:57,それで いろいろ考えたときに 、一生涯(いっしょうがい) 外国人と一緒に かかわる仕事につきたいなって、,"want to work with a foreigner for the rest of my life, but"
8:07,でも、英語話せないな どうしよ？ 私のできること？ 日本語。,I can't speak English. ?? What can i do? Japanese.
8:14,日本語を教えるという仕事って あるのかな？って思ったんですよ なにも知らなくて。,Is there a job to teach Japanese? I didn't know anything.
8:28,私の検索(けんさく)では、オーストラリアが出てきて、他のは 見むきもしなかったんです そのとき。,"In my search, Australia came out and the others didn't even look at it."
8:36,オーストラリアに 学校があるんだ、じゃあ 行こう！ で 留学もしよう、英語も勉強しちゃおう ということで、行きました。,"There is a school in Australia, so let's go! I went to study abroad and study English."
8:51,なるほど。,So that's it.
9:03,１ヶ月の間に 毎日どうするか、 正しいのかどうか、これでいいのかを考えて、,"Thinking about what to do every day during the month, whether it is correct, and whether this is all right,"
9:24,とっても。,very much.
9:34,じゃあ、それまで ぜんぜん 日本語を教えた経験(けいけん)も なかったんですか？,"Then, did you have any experience teaching Japanese until then?"
