Script,Meaning
（西片）おはよう　高木(たかぎ)さん,"Good morning, Takagi-san."
（高木）おはよう　西片,"Good morning, Nishikata."
（西片） いきなりだけど 勝負しないかい？,"I know it's sudden, but how about a game?"
（高木）ホントに いきなりだね,That really is sudden.
よほど自信があるのかな？,You must be pretty confident.
フッ…　まあね,I guess so.
じゃ やめとくよ,Then let's call it off.
（西片）なっ！,No!
（高木） フフッ… フフフッ…　冗談だよ,Just joking.
（高木）…で 何するの？,"So, what's the game?"
“あっちむいて ほい”で,It's called Made You Look.
ふ〜ん　じゃ さっさと勝って 終わらせようかな,Okay. I'll win first and get it over with.
（西片）フッ…　甘いぞ　高木さん,"How optimistic, Takagi-san."
ジャンケン ポン！,"Rock, paper, scissors!"
ありゃ…,"Oh, no."
（西片）よし！,Yes!
あっちむいて…,Look over...
ここから 俺の技が炸裂(さくれつ)する,It's time to unlock all my special skills!
（西片）今日 朝ご飯食べた？ （高木）うん？,Did you have breakfast today?
（西片） もちろん 食べているだろうとも,Of course she has!
この質問により…,"And to answer ""yes"" to that question..."
（西片） 下を向くことしかできなくなる！,she has no choice but to look down!
（高木）ハッ… （西片）なぜなら—,I know this because I learned on TV yesterday
“心と身体(からだ)は連動する”と 昨日 テレビで言っていた！,I know this because I learned on TV yesterday that the body and mind act as one!
（西片）ほい！ （高木）うん　食べたよ,"-...this way! -Yeah, I've eaten."
あれ？,Huh?
あれ？　もしかして そういう作戦だったの？,Huh? Was that your plan?
（西片） そ… そんな…,No way.
ジャンケン ポン！,"Rock, paper, scissors!"
（西片）なっ…,No!
さ〜て　あっちむいて…,"Okay, then. Look over..."
「100％片想い」 好き？,100% Unrequited Love. Do you like it?
（高木）ほい！ （西片）全然 そんなこと…,No. Not at all.
正直だね,You're so honest.
（西片）俺の考えた技なのに！,That was supposed to be my strategy!
情けない…,How miserable.
じゃ 罰ゲームは…,As punishment...
もう１回 “あっちむいて ほい”で勝負ね,we'll do another round of the game.
えっ？　それでいいの？,we'll do another round of the game. That's it?
さっきの簡単すぎたからね,"Yeah, that was too easy."
クッ… 俺を甘く見過ぎだぞ　高木さん,Don't you underestimate me!
（高木）ジャンケン… （西片）後悔させてやる （高木）ポン！ （西片）アア…,"-Rock, paper... scissors! -I'll make you regret this!"
また私か…,It's me again.
西片 弱いから 私が これ外したら 西片の勝ちでいいよ,"Since you're so bad at this, if I miss this one, you can claim the win."
（西片） だから 甘く見過ぎだぞ　高木さんめ！,"I told you, don't underestimate me!"
次は絶対に惑わされない,I won't make the same mistake!
普通にやれば 75パーセントの確率で勝てるんだ！,"Just play it the normal way, and I'll have a 75% chance of winning!"
じゃ いくよ,Here I go.
あっちむいて〜…,Look over...
私のこと好き？,Do you like me?
何だ それ！,What?
下を向くわけないっていうワナか？,Is this a trap so that I don't look down?
なら 下を向けば…,If I look down...
いやいやいや！　そしたら うなずいたことにされてしまう！,"No, it'll look like I'm nodding!"
上を向く？,I need to look up!
あっ 首が下に…,My head is... going down!
（学者）つまり 心と身体は連動しているんですよ,"In other words, the body and the mind interlock."
よって 腸内細菌の…,"So, balancing the intestinal flora..."
（西片）えっ？ まさか俺 高木さんのことが…,"So, balancing the intestinal flora... Could it be that I..."
いやいや　今は勝ちに集中しろ 頑張れ　俺！,"No, I have to focus on winning now! I can do this!"
上を！,Look up!
フフッ…　私の勝ち,My win.
下向いたら 西片の勝ちだったのにね,You would've won if you looked down.
ンッ…　別に横でも勝ちだったし…,"I could've looked to the side, too."
（高木）どうかなぁ,Is that so?
西片 負けたから 日直の仕事 全部やってね,"You lost, so you have to do all the class duties for me."
（高木）はい,Here.
（ミナ）高木ちゃん　ありがとう （高木）いえいえ,"Thanks, Takagi-chan. No problem."
（ミナ） ねえ　ユカリちゃんも泳ごうよ,"Let's swim together, Yukari-chan."
（ユカリ）だから 私は泳げないの,"I told you, I can't swim."
泳げなくても遊ぼうよ,But we can still play in the water.
（ユカリ） ヤ〜ダ　暑いのも苦手だし,"I'm not a big fan of the heat, either."
（ユカリ） ハァ…　つくづく私って ホント 特技がないな,I don't really have any talents...
じゃ 探そう！,"Let's find one, then!"
ユカリちゃんの特技！,Yukari-chan's talent!
勉強は？,How about studying?
学年で30位くらいだから 特技とは…,"I'm 30th in our grade, so that's not exactly a talent."
じゃ ユカリちゃんが好きなことは？,"What do you like to do, then?"
ゴロゴロすること,Being lazy.
（サナエ）趣味は？,Any hobbies?
漫画を読むことかな…,Reading manga.
休日とか 何してるの？,What do you do on holidays?
テレビを見て お菓子食べて—,"Watch TV, eat snacks,"
漫画読んで ゴロゴロしてる…,read manga and be lazy.
やっぱり 私は…,"I told you, I really..."
ミナ…,Mina.
特技がないのが特技！,Your talent is that you have no talent!
（ユカリ）ちょっと それは適当すぎるでしょう！,"Hey, that's so lame!"
（サナエ）もう１本 泳ぐぞ （ミナ）おう！,-Let's swim another lap. -Sure!
（ユカリ）おい！,Hey!
（鈴木） 今日の占い 最下位だったよ,My horoscope's the worst today.
（ミサエ） マジか　私 何位だった？,Really?
（西片） フフッ…　昨日の “あっちむいて ほい”は— 残念な結果に終わったけど 今日は違う,"Yesterday's game was unfortunate, but today will be different!"
高木さんを からかう準備はバッチリだ,I'm all ready to get back at Takagi-san!
この“ビックリ箱･改(かい)”で！,With this Surprise Box Version 2.0!
（西片） おはよう　高木さん　今日も早いね,"Good morning, Takagi-san. You're early as usual."
おはよう　西片,"Morning, Nishikata."
（西片）なんか渡しにくいな,It's kind of... hard to give this to her.
