Sentences,Translation
思うようにならないからといってかんしゃくを起こすことはないでしょう,You don't have to lose your temper just because you can't have your way.
It's impossible for me to run this shop by myself.,一人でこの店をやって行くのは無理だ
look carefully,よく見る
あなたのおっしゃるとおりだと思います,I think (that) you are right.
His clumsy management led the company into bankruptcy.,会社の倒産は経営の不手際から来ている
The door slammed shut.,ばたんといって扉が閉まった
コートを着てみる,try on a coat
"If you've got that much done, you'll finish it very soon.",そこまで行っていれば完成は間近だね
違うと言うのか,「Do you mean to say [Am I to understand] that it is not so?
The children observed the butterflies carefully.,子供たちは蝶々をよく見た
銀行へ行く道を教えてください,Please show [tell] me the way to the bank.
奈良を見る,see the sights of Nara
あの子はまだものが言えない,The child cannot talk yet.
あの人はうそ［真実］を言った,He told 「a lie [the truth].
It is presumed that most of the victims are dead.,遭難者のほとんどは死んだものと見られている
彼がやったのではないかと思っている,I suspect (that) he did it.
今年は南米へ行こうと思っている,I am planning to go to South America this year.
It seems to be colder today than yesterday.,今日は昨日より寒いと思われる
テレビで映画を見る,watch [see] a movie on TV
この方法で行くことにしよう,Let's adopt this method.
That was the most horrible sight I have ever seen [witnessed].,あんな恐ろしい光景は見たことがない
だんだんはっきり見えて［聞こえて］きた,I can see [hear] it more clearly now.
赤ん坊の面倒をよく見る,take good care of a baby
行くだけ行ってみたら,"Why don't you just go, anyway, and see what it's like?"
映画［芝居］を見る,see 「a movie [a play]
息子は高校に行っている,My son is a high school student.
"She is overly curious, to put it mildly.",控え目に言っても，彼女は好奇心が強すぎる
私は決定的な一言を言わずにおいた,I left the final word unsaid.
try on a coat,コートを着てみる
I'm afraid (that) my father won't live long.,父はもう長くはないと思う
to one's satisfaction,心行くまで
うちの息子ときたら勉強がきらいなんです,"As for my son, he doesn't like studying."
団結すべき時が来た,The time has come when we have to hang together.
Let's have lunch here.,ここで昼食をして行こう
思うように言えません,I can't express it properly.
She was not quite as capable as I had imagined.,思ったほど（仕事の）できる人ではなかった
"He is cold-hearted, if not cruel.",彼は残酷と言わないまでも冷淡だ
このスポーツはイギリスから来た,This sport originated in England.
I felt as if my heart had stopped.,心臓が止まったのではないかと思った
じろじろ見る,stare at
ヨーロッパから食料品がたくさん来ている,Many kinds of food are imported from Europe.
そうこなくちゃ面白くないね,That is just what I hoped.
首相の演説を彼らは何と言っていますか,What are people saying about the premier's speech?
I cannot make out what this paper is aiming at.,この論文の趣旨がぴんとこない
a disobedient child／an unmanageable child,言うことをきかない子
"If you allow thirty minutes, you'll have plenty of time to get to the station.",駅まで30分見れば間違いない
We are looking into the literature on the matter now.,今その件に関する文献を見ているところだ
watch [see] a movie on TV,テレビで映画を見る
I don't mind the heat.,暑さなんかなんとも思わない
"2,3日したら通知が行きます",You'll receive a notice in a few days.
"It's a small house, as you (can) see.",見ての通り小さい家です
I'll [We'll] 「give it a try [《口》 have a go at it].,試しにやってみよう
やれるものならやってみろ,Go ahead and try if you dare.
see 「a movie [a play],映画［芝居］を見る
それは役に立たないと見ていた,He regarded it as useless.
This sport originated in England.,このスポーツはイギリスから来た
I at once sensed that he was not telling the truth.,彼がうそをついているということがぴんときた
The Prime Minister stated that there would be no tax cut in the near future.,首相は近い将来に減税はないと言った
tourists from the United States,アメリカから来た観光客
景気の回復の兆しが見られない,There are no signs of an upturn in the economy.
釣りとくると彼は全く夢中だ,"When it comes to fishing, he gets really excited."
あのころをなつかしく思う,I long for those days.
Have a bite and see how it tastes.,一口食べてみなさい
彼を見るのもいやだ,I hate [can't bear] even the sight of him.
look over the examination papers,答案を見る
Guess how much this pen cost.,このペンいくらしたと思う
You'll be sorry for this!,今に見ていろ
It was exciting to think of it.,それを思うとわくわくした
Don't hesitate to say whatever you have in mind.,思っていることは何でも言いなさい
I never dreamed such a thing would happen.,こんなことが起ころうとは夢にも思わなかった
He was worn to a shadow.,彼は見る影もないほどやつれていた
テレビで映画を見る,watch [see] a movie on TV
I 「intended to [thought I would] go straight home.,まっすぐ家に帰ろうと思った
He ordered us to leave at once.,彼は我々にすぐ立ち退くようにと言った
夏が例年より早く来た,Summer came earlier than usual.
本気で言っているのですか,Do you mean it?
今に見ていろ,You'll be sorry for this!
I got a letter from my uncle.,おじさんから手紙が来た
そこまで行っていれば完成は間近だね,"If you've got that much done, you'll finish it very soon."
watch,注意して見る
Fetch me the newspaper.,新聞を取ってきてくれ
We will have two guests tomorrow.,明日客が二人来る
This accident was caused [brought about] by his carelessness.,この事故は彼の不注意から来たものだ
この店で買い物をして行こうか,Shall we do our shopping at this store?
Listen to me.／Take my advice.,私の言うことをお聞きなさい
映画［芝居］を見る,see 「a movie [a play]
see 「a movie [a play],映画［芝居］を見る
おじさんから手紙が来た,I got a letter from my uncle.
The time has come when we have to hang together.,団結すべき時が来た
私の見たところでは受けた損害はほとんど取り返しがつかないだろう,"「In my opinion [As I see it], the loss incurred is almost irrevocable."
I've been waiting eagerly for you (to arrive).,いつ来るか来るかと待っていたんだ
You'll receive a notice in a few days.,"2,3日したら通知が行きます"
「look after [attend to] one's parents in their old age,両親の老後の面倒を見る
彼は見る影もないほどやつれていた,He was worn to a shadow.
speak well [ill] of a person,人のことをよく［悪く］言う
I can't express myself well in English.,思うことが英語でうまく言えない
駅は歩いても行けます,The station is within walking distance.
Thank you for your concern about my health.,僕の健康のことを思ってくれてありがとう
この論文の趣旨がぴんとこない,I cannot make out what this paper is aiming at.
"In my opinion, he is a genius.",私に言わせれば，彼は天才だ
Come on!,さあ，来い
彼が本当に理解するかしらと思った,I wondered if he would really understand.
There are no signs of an upturn in the economy.,景気の回復の兆しが見られない
Our family doctor advised me to see a specialist.,かかりつけの医者は専門医にみてもらったほうがいいと言った
stare at,じろじろ見る
I am sad to see the passing of autumn.,行く秋を惜しむ気持でいっぱいだ
彼はそれについてなにも言わなかった,He made no comment on it.
博物館を見る,visit a museum
何の用かと彼は言った,He asked (me) what I wanted.
痛い目を見る,have a terrible experience
妻はジョーンズ夫妻を夕食に招いたらどうかと言った,My wife suggested that we (might) invite Mr. and Mrs. Jones to dinner.
納得が行かないことは支持できない,I can't support what I don't understand.
visit a museum,博物館を見る
She had her say.,彼女は言いたいことを言った
ギリシア語から来た言葉,a word derived from Greek
心臓が止まったのではないかと思った,I felt as if my heart had stopped.
I'll tell you what I observed during my stay in the United States.,米国滞在中に見たことを話そう
"As for my son, he doesn't like studying.",うちの息子ときたら勉強がきらいなんです
思えばあれは18の時だった,I remember it was when I was eighteen.
Here comes the bus.,バスが来ましたよ
よく見る,look carefully
"He is, so to speak, just like a father to me.",言ってみれば，父親も同然だ
彼なら信用できると思っていた,I'd believed that he was trustworthy.
しばらく様子を見る,wait for a while and see how things turn out
両親の気持ちを思って家業に就くことにした,"Considering my parents' feelings, I decided to go into the family business."
Please take a look and see what's wrong with my watch.,私の時計のどこが悪いか見てください
What do you call this in English?,これを英語で何と言いますか
see the sights of Nara,奈良を見る
ここには見るべきものは何もない,There is nothing 「to see [worth seeing] here.
I watched the train receding into the distance.,遠ざかって行く列車を見送った
父はもう長くはないと思う,I'm afraid (that) my father won't live long.
米国滞在中に見たことを話そう,I'll tell you what I observed during my stay in the United States.
この靴はきゅうきゅういう,These shoes creak.
I leave for Osaka tomorrow morning.,私は明朝大阪へ行きます
Many kinds of food are imported from Europe.,ヨーロッパから食料品がたくさん来ている
かかりつけの医者は専門医にみてもらったほうがいいと言った,Our family doctor advised me to see a specialist.
だれとでもうまく行く人は幸せだ,People who get along well with anybody are very fortunate.
I hate [can't bear] even the sight of him.,彼を見るのもいやだ
ここで昼食をして行こう,Let's have lunch here.
Don't tell anybody I said so.／Don't quote me.,私が言ったと言わないでくれ
見ての通り小さい家です,"It's a small house, as you (can) see."
首相は近い将来に減税はないと言った,The Prime Minister stated that there would be no tax cut in the near future.
glance at,ちらりと見る
I can't express it properly.,思うように言えません
あのころを思うと隔世の感がある,"When I look back, it seems as if ages have passed since then."
彼は明日ここに来るようにと私に言った,He told me to come here tomorrow.
We didn't obtain any noteworthy results from the experiment.,実験では見るべき成果があがらなかった
彼は残酷と言わないまでも冷淡だ,"He is cold-hearted, if not cruel."
wait for a while and see how things turn out,しばらく様子を見る
これは傑作と言ってもよい,「It can safely be said [It is not too much to say] that this is a masterpiece.
このごろ太ってきた,Recently I have put on weight.
それ見たことか,I told you so!
Please show [tell] me the way to the bank.,銀行へ行く道を教えてください
His self-complacent remarks get on my nerves.,あいつのひとりよがりの話を聞いているといらいらしてくる
That is just what I hoped.,そうこなくちゃ面白くないね
May I 「come and see [call on] you tomorrow?,お宅へ明日行ってもよろしいですか
彼が腹を立てたのを見たことがない,I have never known him to get angry.
Easier said than done.,言うは易やすく行うは難し
I'm flying to London next week.,来週飛行機でロンドンへ行きます
あんな恐ろしい光景は見たことがない,That was the most horrible sight I have ever seen [witnessed].
There! 「What did I tell you? [I told you so!],それ見ろ．言わんこっちゃない
それが何となく好きになってきた,Somehow I came to like it.
小声で言ったから聞きとれなかった,"As he spoke in a low voice, I could not catch his words."
Shall we do our shopping at this store?,この店で買い物をして行こうか
これを英語で何と言いますか,What do you call this in English?
さあ，来い,Come on!
博物館には毎日見学者が大勢来る,Many people visit the museum every day.
それ見ろ．言わんこっちゃない,There! 「What did I tell you? [I told you so!]
My plan did not work at all well.,私の計画は全然うまく行かなかった
It is no use 「telling him anything [giving him any advice].,あの人にはいくら言っても無駄です
I have been here before.,ここはいつか来たことがある
I wondered if he would really understand.,彼が本当に理解するかしらと思った
Go ahead and try if you dare.,やれるものならやってみろ
彼は自分を偉い政治家だと思っている,He fancies himself to be a great statesman.
馬鹿げたことを言うな,Don't talk nonsense.
あいつのひとりよがりの話を聞いているといらいらしてくる,His self-complacent remarks get on my nerves.
思ったほど（仕事の）できる人ではなかった,She was not quite as capable as I had imagined.
The station is within walking distance.,駅は歩いても行けます
２階のストーブを消したかどうか見てきます,I'll go and see if I turned off the stove upstairs.
駅は歩いて10分で行けます,You can get to the station in ten minutes on foot.
「彼は仕事が思わしくないようです」と彼女は言った,"“His work doesn't seem to be going well,” she remarked."
言ってみれば，父親も同然だ,"He is, so to speak, just like a father to me."
たいへん結構です．なにも言うことはありません,That's perfect. It leaves nothing to be desired.
人のことをよく［悪く］言う,speak well [ill] of a person
see the sights of Nara,奈良を見る
I have never known him to get angry.,彼が腹を立てたのを見たことがない
I wish I could visit the moon.,月に行ってみたい
It is said that he has been nominated for the prize.,彼はその賞の候補にあがっていると言われる
私は明朝大阪へ行きます,I leave for Osaka tomorrow morning.
思うことが英語でうまく言えない,I can't express myself well in English.
The child cannot talk yet.,あの子はまだものが言えない
I have brought my mother.,母を連れてきました
来る日も来る日も雨降りだった,It rained day after day.
私が言ったと言わないでくれ,Don't tell anybody I said so.／Don't quote me.
I remember it was when I was eighteen.,思えばあれは18の時だった
"If that's your attitude, I have some ideas of my own.",君がそうくるならこちらにも考えがある
手紙が来ているよ,There's a letter for you.
"「In my opinion [As I see it], the loss incurred is almost irrevocable.",私の見たところでは受けた損害はほとんど取り返しがつかないだろう
"Considering my parents' feelings, I decided to go into the family business.",両親の気持ちを思って家業に就くことにした
彼がうそをついているということがぴんときた,I at once sensed that he was not telling the truth.
This doll was brought from France.,これはフランスから来た人形だ
He regarded it as useless.,それは役に立たないと見ていた
彼は党の将来の指導者と思われている,He is regarded [looked upon] as a future leader of the party.
He fancies himself to be a great statesman.,彼は自分を偉い政治家だと思っている
He told 「a lie [the truth].,あの人はうそ［真実］を言った
Judging by [from] its appearance it is not so bad.,外見を見るとそんなに悪くない
He is a good judge of character.,彼は人を見る目がある
I walk to school.,学校へは歩いて行きます
仕事にだんだんあきてきた,Gradually I lost interest in my job.
I intend [mean] to settle it with my boss.,上司に話をつけようと思っている
両親の老後の面倒を見る,「look after [attend to] one's parents in their old age
ずっと飼ってきた犬がいなくなった,The dog I have had all this time is missing.
"When I have a chance, I'll call on him.",機会を見て彼を訪ねたい
３年前に死んだ妻を思うと胸が締め付けられるようだ,"It wrings my heart to recall my wife, who died three years ago."
一人でこの店をやって行くのは無理だ,It's impossible for me to run this shop by myself.
There is nothing 「to see [worth seeing] here.,ここには見るべきものは何もない
この高速道路は名古屋に行くのですか,Does this expressway lead to Nagoya?
Go and see who is at the door.,だれだか行って見てきなさい
People who get along well with anybody are very fortunate.,だれとでもうまく行く人は幸せだ
外見を見るとそんなに悪くない,Judging by [from] its appearance it is not so bad.
この列車は大阪へ［まで］行きますか,Does this train go to [as far as] Osaka?
"The moment they met, they fell in love with each other.",二人は出会ったとたん思い思われる仲になった
母を連れてきました,I have brought my mother.
来週飛行機でロンドンへ行きます,I'm flying to London next week.
Somehow I came to like it.,それが何となく好きになってきた
A woman came to see you while you were out.,君の留守に女の人が来たよ
It is getting warmer day by day.,日ましに暖かくなってきた
This is the book (that) I was talking about yesterday.,昨日言っていたのはこの本です
You can get to the station in ten minutes on foot.,駅は歩いて10分で行けます
be in charge of the account books,経理を見る
その光景は見るにしのびなかった,I could not bear 「to look [looking] at the sight.
It rained day after day.,来る日も来る日も雨降りだった
私の言うことをお聞きなさい,Listen to me.／Take my advice.
The package hasn't arrived [come] yet.,小包がまだ来ない
遠ざかって行く列車を見送った,I watched the train receding into the distance.
注意して見る,watch
Gradually I lost interest in my job.,仕事にだんだんあきてきた
ばたんといって扉が閉まった,The door slammed shut.
君がそうくるならこちらにも考えがある,"If that's your attitude, I have some ideas of my own."
奈良を見る,see the sights of Nara
会社の倒産は経営の不手際から来ている,His clumsy management led the company into bankruptcy.
あの人の言うとおりを信じることにしよう,Let's take him at his word.
take good care of a baby,赤ん坊の面倒をよく見る
思っていることがうまく言えない,I cannot express myself well.
アメリカから来た観光客,tourists from the United States
He asked me to photocopy this letter.,彼はこの手紙をコピーしてほしいと言った
明日客が二人来る,We will have two guests tomorrow.
This ship is bound for Manila.,この船はマニラに行きます
新聞を取ってきてくれ,Fetch me the newspaper.
Look (and see).,見てごらん
このペンいくらしたと思う,Guess how much this pen cost.
My son will be a first grader next April.,４月が来ると息子は小学１年生になる
彼は人を見る目がある,He is a good judge of character.
ちらりと見る,glance at
These shoes creak.,この靴はきゅうきゅういう
Let's have a drink.,一杯いこう
Japan 「as foreigners see it [as seen by foreigners],外国人の見た日本
なかなかうまく行かないものだね,Things aren't going [coming off] so well (as I hoped).
He asked (me) what I wanted.,何の用かと彼は言った
いつ来るか来るかと待っていたんだ,I've been waiting eagerly for you (to arrive).
He and I have been good friends for twenty years.,20年間彼と親しく付き合ってきた
I can see [hear] it more clearly now.,だんだんはっきり見えて［聞こえて］きた
It began to rain.,雨が降ってきた
He told me to come here tomorrow.,彼は明日ここに来るようにと私に言った
仏教が日本に入って来たのはいつか,When was Buddhism introduced into Japan?
経理を見る,be in charge of the account books
I suspect (that) he did it.,彼がやったのではないかと思っている
今その件に関する文献を見ているところだ,We are looking into the literature on the matter now.
言うは易やすく行うは難し,Easier said than done.
That's perfect. It leaves nothing to be desired.,たいへん結構です．なにも言うことはありません
その窓はがたがたいう,The window rattles.
I'll go and see if I turned off the stove upstairs.,２階のストーブを消したかどうか見てきます
"“His work doesn't seem to be going well,” she remarked.",「彼は仕事が思わしくないようです」と彼女は言った
He is regarded [looked upon] as a future leader of the party.,彼は党の将来の指導者と思われている
"Now that you mention it, his behavior was suspicious from the beginning.",そう言われてみると，彼の行動は最初からおかしかった
これはフランスから来た人形だ,This doll was brought from France.
博物館を見る,visit a museum
Many people visit the museum every day.,博物館には毎日見学者が大勢来る
誰だか行って見て来よう,I'll go and see who it is.
When was Buddhism introduced into Japan?,仏教が日本に入って来たのはいつか
こんなことが起ころうとは夢にも思わなかった,I never dreamed such a thing would happen.
Do you mean it?,本気で言っているのですか
You should act on your beliefs.,思うところを実行すればよい
外国人の見た日本,Japan 「as foreigners see it [as seen by foreigners]
私の時計のどこが悪いか見てください,Please take a look and see what's wrong with my watch.
Recently I have put on weight.,このごろ太ってきた
I am planning to go to South America this year.,今年は南米へ行こうと思っている
友人が遅れるものと思い，ゆっくり昼食をした,"Assuming that my friend would be late, I ate a leisurely lunch."
I'd believed that he was trustworthy.,彼なら信用できると思っていた
彼は我々にすぐ立ち退くようにと言った,He ordered us to leave at once.
彼らはどう見ても理想的なカップルだ,They are an ideal couple in every respect.
The window rattles.,その窓はがたがたいう
家賃は20万円と見ておこう,Let's estimate the rent at two hundred thousand yen.
I go to school by bicycle [bus/train].,学校へ自転車で［バスで/電車で］行きます
私に言わせれば，彼は天才だ,"In my opinion, he is a genius."
子供たちは蝶々をよく見た,The children observed the butterflies carefully.
Summer came earlier than usual.,夏が例年より早く来た
傘をさして行く,go with one's umbrella up
無事に帰れてうれしく思います,I am glad that I have come back safe.
明日彼女が来るとは思わない,I doubt if she will come tomorrow.
I think (that) you are right.,あなたのおっしゃるとおりだと思います
英語で「辞書」をdictionaryと言う,The English for jisho is “dictionary.”
遭難者のほとんどは死んだものと見られている,It is presumed that most of the victims are dead.
I told you so!,それ見たことか
I am glad that I have come back safe.,無事に帰れてうれしく思います
道を行く人々,people walking along the road [street]
バスが来ましたよ,Here comes the bus.
My son is a high school student.,息子は高校に行っている
He always wanted to have a large house.,いつも大きな家が欲しいと思っていた
visit a museum,博物館を見る
I cannot express myself well.,思っていることがうまく言えない
I could not bear 「to look [looking] at the sight.,その光景は見るにしのびなかった
まっすぐ家に帰ろうと思った,I 「intended to [thought I would] go straight home.
OK! We've reached the mountain cabin.,さあ，山小屋に来たよ
昨日言っていたのはこの本です,This is the book (that) I was talking about yesterday.
あの人にはいくら言っても無駄です,It is no use 「telling him anything [giving him any advice].
the concern of a parent for his [her] child,子を思う親の気持ち
He has been in love with her ever since he met her at the party.,パーティーで会って以来彼女のことを思うようになった
お宅へ明日行ってもよろしいですか,May I 「come and see [call on] you tomorrow?
Things aren't going [coming off] so well (as I hoped).,なかなかうまく行かないものだね
"Assuming that my friend would be late, I ate a leisurely lunch.",友人が遅れるものと思い，ゆっくり昼食をした
have a dream,夢を見る
実験では見るべき成果があがらなかった,We didn't obtain any noteworthy results from the experiment.
a word derived from Greek,ギリシア語から来た言葉
I judged him to be from a respectable family.,彼を良家の出だと見た
君の言うことは分からない,I don't understand you [what you mean].
僕の健康のことを思ってくれてありがとう,Thank you for your concern about my health.
We didn't get around to it today.／We didn't get that far today.,今日はそこまで行かなかった
They are an ideal couple in every respect.,彼らはどう見ても理想的なカップルだ
My wife suggested that we (might) invite Mr. and Mrs. Jones to dinner.,妻はジョーンズ夫妻を夕食に招いたらどうかと言った
一杯いこう,Let's have a drink.
それを思うとわくわくした,It was exciting to think of it.
暑さなんかなんとも思わない,I don't mind the heat.
The dog I have had all this time is missing.,ずっと飼ってきた犬がいなくなった
I left the final word unsaid.,私は決定的な一言を言わずにおいた
私の計画は全然うまく行かなかった,My plan did not work at all well.
There's a letter for you.,手紙が来ているよ
控え目に言っても，彼女は好奇心が強すぎる,"She is overly curious, to put it mildly."
「Do you mean to say [Am I to understand] that it is not so?,違うと言うのか
"When it comes to fishing, he gets really excited.",釣りとくると彼は全く夢中だ
答案を見る,look over the examination papers
I will attend the meeting tomorrow.,明日の会合には行きます
have a terrible experience,痛い目を見る
Does this expressway lead to Nagoya?,この高速道路は名古屋に行くのですか
「It can safely be said [It is not too much to say] that this is a masterpiece.,これは傑作と言ってもよい
小包がまだ来ない,The package hasn't arrived [come] yet.
Does this train go to [as far as] Osaka?,この列車は大阪へ［まで］行きますか
people walking along the road [street],道を行く人々
子を思う親の気持ち,the concern of a parent for his [her] child
"Why don't you just go, anyway, and see what it's like?",行くだけ行ってみたら
この事故は彼の不注意から来たものだ,This accident was caused [brought about] by his carelessness.
月に行ってみたい,I wish I could visit the moon.
一口食べてみなさい,Have a bite and see how it tastes.
試しにやってみよう,I'll [We'll] 「give it a try [《口》 have a go at it].
日ましに暖かくなってきた,It is getting warmer day by day.
What do you suppose she will say?,彼女はどう言うと思う
彼はこの手紙をコピーしてほしいと言った,He asked me to photocopy this letter.
20年間彼と親しく付き合ってきた,He and I have been good friends for twenty years.
英語の授業を見に行った,I visited an English class.
彼女はどう言うと思う,What do you suppose she will say?
I can't support what I don't understand.,納得が行かないことは支持できない
彼女は言いたいことを言った,She had her say.
駅まで30分見れば間違いない,"If you allow thirty minutes, you'll have plenty of time to get to the station."
I'll go and see who it is.,誰だか行って見て来よう
もう10年若かったらなあと思う,I wish I were ten years younger!
思うところを実行すればよい,You should act on your beliefs.
彼を良家の出だと見た,I judged him to be from a respectable family.
二人は出会ったとたん思い思われる仲になった,"The moment they met, they fell in love with each other."
心行くまで,to one's satisfaction
"It wrings my heart to recall my wife, who died three years ago.",３年前に死んだ妻を思うと胸が締め付けられるようだ
I visited an English class.,英語の授業を見に行った
この船はマニラに行きます,This ship is bound for Manila.
今日は昨日より寒いと思われる,It seems to be colder today than yesterday.
君の留守に女の人が来たよ,A woman came to see you while you were out.
夢を見る,have a dream
I wish I were ten years younger!,もう10年若かったらなあと思う
言うことをきかない子,a disobedient child／an unmanageable child
What are people saying about the premier's speech?,首相の演説を彼らは何と言っていますか
Let's estimate the rent at two hundred thousand yen.,家賃は20万円と見ておこう
Let's adopt this method.,この方法で行くことにしよう
機会を見て彼を訪ねたい,"When I have a chance, I'll call on him."
watch [see] a movie on TV,テレビで映画を見る
見てごらん,Look (and see).
"As he spoke in a low voice, I could not catch his words.",小声で言ったから聞きとれなかった
明日の会合には行きます,I will attend the meeting tomorrow.
I doubt if she will come tomorrow.,明日彼女が来るとは思わない
４月が来ると息子は小学１年生になる,My son will be a first grader next April.
You don't have to lose your temper just because you can't have your way.,思うようにならないからといってかんしゃくを起こすことはないでしょう
雨が降ってきた,It began to rain.
いつも大きな家が欲しいと思っていた,He always wanted to have a large house.
ここはいつか来たことがある,I have been here before.
上司に話をつけようと思っている,I intend [mean] to settle it with my boss.
思っていることは何でも言いなさい,Don't hesitate to say whatever you have in mind.
彼はその賞の候補にあがっていると言われる,It is said that he has been nominated for the prize.
今日はそこまで行かなかった,We didn't get around to it today.／We didn't get that far today.
行く秋を惜しむ気持でいっぱいだ,I am sad to see the passing of autumn.
"When I look back, it seems as if ages have passed since then.",あのころを思うと隔世の感がある
学校へは歩いて行きます,I walk to school.
パーティーで会って以来彼女のことを思うようになった,He has been in love with her ever since he met her at the party.
He made no comment on it.,彼はそれについてなにも言わなかった
学校へ自転車で［バスで/電車で］行きます,I go to school by bicycle [bus/train].
I long for those days.,あのころをなつかしく思う
The English for jisho is “dictionary.”,英語で「辞書」をdictionaryと言う
Don't talk nonsense.,馬鹿げたことを言うな
そう言われてみると，彼の行動は最初からおかしかった,"Now that you mention it, his behavior was suspicious from the beginning."
さあ，山小屋に来たよ,OK! We've reached the mountain cabin.
I don't understand you [what you mean].,君の言うことは分からない
Let's take him at his word.,あの人の言うとおりを信じることにしよう
go with one's umbrella up,傘をさして行く
だれだか行って見てきなさい,Go and see who is at the door.
