P1,P2,P3
後で会いましょう,"ジョンとバス停で会い, 少し話をした", お会いできてうれしく思います
 失礼ですが以前お会いしていませんか,バスで彼に会った,あす友達と東京駅で会う予定だ
 私はこのごろよく彼に会う,きのう偶然通りで昔の友達に会った,クラブのメンバーは毎月1度会います
どこで会いましょうか,彼はきのう交通事故にあった,その提案は強硬な反対にあった
もうこの服は合わない,マスターキーは建物の全部のドアに合う,この帽子はあなたの服と合わない
青は赤とよく合うと思う,赤ワインは肉と合う,その赤いスカーフは彼女に合っている
彼女のドレスはその場には合わなかった,彼の思想は今の世の中には合わない,その点で彼は彼女と意見が合った
君の話は彼の話と合わない,その男は人相書きに合っている,彼の言ったことは事実と合っている
チーム全員の息がぴったり合っている,合っている答えを出す, 道が合っていたかどうか自信がなかった
君の時計は合っているか,君の計算は合っている,その事件について君に話すよ
聴衆に向けて話す,現代文化について話す,もう一度言っていただけますか
概して言えば,率直に言えば,彼はなにかぼそぼそ言っていた
本当のことを言うと,わけのわからないことを言う,お祈りを言う
わがままを言うもんじゃない,ありのままを言いなさい,事実のままを言いなさい
彼女は彼に自分の名前を言った,彼は私にさよならを言った,あなたに言いたいことがある
「この辺では駐車するな」と彼は私に言った,彼女は客に「お座りください」と言った,喫煙はやめるべきだと医者は彼に言った
彼は私に「トランプをしよう」と言った,彼女は彼に「クラシックは好きですか」と言った,彼女は「そこへは行きたくない」と言った
 彼女は「そこへは行きたくない」と言った,私は父親似だとよく人に言われます,手短に言えば
ひと言で言えば, 英語で思うことが言えますか,日本語でどう言えばいいのかわからない
なくしたカメラの特徴を詳しく言って下さい,この花を英語で何と言いますか,私が臆病者だと言うのかい
その件について彼は何と言っていますか,何も言えません,言わせてもらえばそれは有害無益だね
"ちょっと待って, 最後まで言わせてください","私にも一言, 言わせてください", 彼は私と一緒に行くと言ってきかなかった
彼は昨夜は家族と過ごしたと言っている,彼は我々を援助できないときっぱり言った,彼らは必ず時間どおりに来ると言った
私の言わんとすることが分かりますか,君は何を言いたいのですか, 私は冗談のつもりで言ったのですが
野獣の跡を追う,目で彼を追う,警察は犯人の跡を追っている
その子は母親のあとを追った,快楽を追う,理想を追う
最新の流行を追う,出来事の順を追う,順を追ってそれを説明する
日を追って暖かくなってきた,これについては私がすべて責任を負います,私たちは納税の義務を負っている
頭がい骨に傷を負う,そのバス事故では多くの人が重傷を負った,今の私の成功はあなたに負っている
親に負うところが大きい,切符を買うお金を持っていない,その土地を買う
父が買った時計,たばこ屋にたばこを買いに行かせる,次郎は新しい辞書を父に買ってもらった
自動販売機でコーヒーを買う,彼女は食料品店でお米を買った,その店で何か買ってくるものある?
彼はトマトを安い値段で買った,彼は鉛筆を1ダース１ドルで買った,私はこの時計を５０ドルで買った
それいくらで買ったの？, 彼はその指輪を100万円で買うと言った,金で何でも買える
