Script,Meaning
頂上を雲で覆われた山,A mountain whose peak is covered with clouds
頂を雪に覆われた山,A mountain whose peak is covered with snow
地面を厚く覆っている落ち葉,Fallen leaves thickly covering the ground
氷で覆われた路面,The road surface covered with ice
空は一面厚い雲に覆われていた,The sky was covered with thick clouds
太陽は厚い雲に覆われていた。,The sun was covered with thick clouds
あの部屋の窓はいつも厚いカーテンで覆われている,The windows in that room are always covered with thick curtains
選挙の結果は大方の予想を覆した,The result of the election defied most people's expectations
進化論は聖書の世界観を覆した,The theory of evolution overturned the biblical worldview
その決定は早々に覆された,The decision was quickly overturned
君の夢を実現させるにはそれだけの強い意志が必要だ,You'll need a strong will to make your dreams come true
君の夢を実現するために強い意志が必要だ,You need a strong will to make your dreams come true
同志を募ってクラブを結成する,Recruit like-minded people to form a club
父は私の大学進学志望に賛成した,My father agreed with my desire to go to college
駅の前を通る,Go past the front of the station
大通りを通る,Go along a main road
運河を通る,Going through the canal
この道は商店街を通って駅に出る,This road goes to the station by way of the shopping district
試験に通る,Pass the examination
検査に通る,Pass the inspection
どの道を通って行きますか,Which way shall we go?
入り口が狭くて大人は通れない,The entrance is too small for an adult to get through
煙突を通って煙が出ている,Smoke is rising from the chimney
青森から北海道までトンネルが通っている,A tunnel joins Aomori and Hokkaidō
空港までモノレールが通っている,A monorail runs to the airport
バスはあの道を通っている,Buses run along that road
ご注文の料理はもう通っております,Your order has already gone through to the kitchen
案内されて居間に通った,He led me through the living room
肉に火が通る,Meat is cooked through
駅から団地までバスが通る,Buses run from the station to the apartment complex
駅から団地までバスを通る,Take the bus from the station to the apartment complex
駅から団地までバスを通す,Run a bus from the station to the apartment complex
針に糸を通す,Thread the needle
管に水を通す,Passing water through a pipe
上着に袖を通す,Slip one's arms into the sleeves of jacket
紫外線を通すガラス,Glass that allows ultraviolet light to pass through
道をあけて通してください,Please clear the way and let me through
レンズを通して町を眺める,View the town through a camera lens
この目を通して見た現実,Reality as seen with one's own eyes
紹介者を通して発注する,Place an order through an intermediary
通訳を通して会談する,Hold discussions through an interpreter
通信社を通した報道,Information received through an agency
政治を通して考える,Thinking through politics
青森まで新幹線を通す,Extend the Shinkansen to Aomori
