Time,Food,Home,Daily,Weather,Kitchen,Cooking,Supermarket,Health
"年# year","食べ物# food","いつか広い家に住みたい# I’d like to live in a big house someday","起きる# to get up","天気# weather","台所# kitchen","鶏肉# chicken","自動ドア# automatic door","様子# situation, state, appearance, sign, indication"
"月# month","果物# fruits","家に電話しなければなりません# I have to call home","目が覚める# to wake up","明日の天気はどうですか# How’s the weather be like tomorrow?","電子レンジ# microwave","豚肉# pork","買い物# shopping","事態# situation, (present) state of affairs, circumstances "
"日# day","りんご# apple","部屋# room","今朝、地震で目が覚めました# I was woken up by the earthquake this morning","天気予報# weather forecast","ガスレンジ# gas stove","牛肉# beef","ショッピングカート# shopping cart","状態# situation, condition, state, appearance"
"日にち# date","みかん# orange","トイレ# toilet","目覚まし時計# alarm clock","晴れ# sunny weather","冷蔵庫# refrigerator","海老# shrimp","棚# shelves","状況# state of affairs (around)"
"曜日# day of the week","レモン# lemon","お手洗い# restroom","目覚ましヲセットするのを忘れました# I forgot to set my alarm clock","週末の天気は晴れだって。よかったね# It’s going to be sunny this weekend. Great!","水道# water supply","かに# crab","値引き商品# clearance items","調子# tune, tone, way, manner, state of health"
"週# week","バナナ# banana","お風呂が付いている部屋がいいです# I’d like a room with an attached bath","食器を洗う# Wash the dishes","晴れる# to become sunny","蛇口# faucet, tap","野菜# vegetable","賞味期限# best before date","具合# condition, state, health (state)"
"週末# weekend","メロン# melon","台所# kitchen","石けん# soap","雨# rain","レバー# lever","キャベジ# cabbage","消費期限# expiration date","用語# terminology, wording"
"時間# hours","いちご# strawberry","洗面所# washroom","洗剤でよく洗ったほうがいい# You should wash it properly with detergent","雨の場合は中止です# In case of rain, It will be cancelled","流し# sink","人参# carrot","ポイントカード# point card","全国# nationwide, countrywide"
"日間# days","ぶどう# grape","玄関# entryway","犬の散歩をする# Walking the dog","大雨# heavy rain","やかん# kettle","きゅうり# cucumber","クーポン# coupons","新た# new, fresh, novel"
"週間# weeks","すいか# watermelon","門# gate","毎朝、犬の散歩しています# I walk my dog every morning","雪# snow","鍋# saucepan, pot ","ジャガイモ# potato","割引券# coupons","発生# outbreak, occurrence"
