Sentences,Translation
その撤去費用は 100 万円に及んだ,The cost of removing it was one million yen.
世界記録にはわずかに及ばなかった,The world record was not even close.
行きたくない人は行くに及びません,"If you don't want to go, don't go."
わざわざ電話していただくには及びません,It's not worth the trouble of calling.
その結果は私たちの期待には及ばなかった,The results did not meet our expectations.
わざわざホテルまで迎えに来ていただくには及びません,We didn't bother to pick him up at the hotel.
苦痛で彼の顔が歪んでいる,His face was contorted in pain.
その花瓶は形がいびつに歪んでいる,The vase is twisted into an awkward shape.
時々テレビの画面が歪む,Sometimes the TV screen is distorted.
彼の家はたくさんの高いビルに囲まれている立っている,His house is standing surrounded by many tall buildings.
その庭は木のフェンスで囲まれていた,That yard was surrounded by a wooden fence.
私の町は高い山に囲まれている,My city is surrounded by high mountains.
森に囲まれた湖,Lake surrounded by forest
敵部隊の四方を囲む,Surrounding enemy troops on all sides
文字を丸で囲む,Enclose letters with circles
ブロック塀で家を囲む,Surround the house with block walls
その像は石を刻んで作ったものだ,That statue was carved out of stone.
アルプスの景色はわたしの胸に刻まれた,The view of the Alps is engraved in my heart.
その石は刻まれて大きな像になった,The stone was carved into a large statue.
机に自分の名前の頭文字を刻む,Carve the first letter of your name on your desk.
細かく刻む,chop up into small pieces
キャベツを刻む,Chop the cabbage.
金庫[自動販売機]から金を盗む,Stealing money from a safe [vending machine
部屋を空けている間にラップトップを盗まれた,Having your laptop stolen while you are out of the room
眠っている間に財布を盗まれた,My wallet was stolen while I was asleep.
