Words,w2,w3,w4,w5
大学,北海道,瞬間,菓子,以前
小学校,本能,午後,伯父,高い
五日,国語,大変,一日,名物
左手,午前,自分,東方,優先
何時も,現金,書店,天然,出血
電話,植木,電気,半分,話し合う
高速,小説,大半,九重,水分
出版,会話,聞こえる,三振,十日
教科書,月末,面白い,何分,国際
郊外,右側,日付,見る,来日
新聞,今年,関西,毎度,時刻表
生活,先週,三日,二日酔い,交友
上手,書く,月賦,校庭,青白い
梅雨,地下鉄,お父さん,告白,乳母車
月給,海外,万年筆,長男,気候
夏休み,子供,南瓜,五目,略語
気分,休む,二部,円高,八日
木材,円滑,最高,以外,南側
停電,輸出,外国人,平日,左側
六つ,莫大,時々,午前中,見物
時間,食事,話す,生む,北東
時間,何で,天気,山火事,生意気
友情,高校,並木,今年,月謝
右手,時計,百貨店,八百屋,今回
自動車,読む,金融,世話,女子
四つ,一致,淡水,行く,小売
三つ,土地,発車,中心,晴天
半島,万一,名所,何百,電車
登山,人口,青年,東西,十六
九つ,数学,前提,木綿,間に合う
水泳,駐車場,女の子,人間,入る
椅子,輸入,外国,水道,成長
署名,七日,五つ,半端,千葉県
後ろ,男の子,入学,名前,読み方
女性,雨戸,九州,雨季,十七日
大人,六日,行動,自転車,並行
金属,聞く,東側,母親,祖父
万能,少女,花見,二十歳,去年
天才,十分,十字路,当時,氷山
正午,火山,購読,食品,今後
食堂,九日,気分,後者,右足
西洋,お母さん,物語,先輩,毎回
校長,高価,山脈,金庫,円卓
北側,五分,川岸,今朝,外国
病気,最後,上げる,本来,何となく
毎朝,何千,食欲,大切,校舎
二つ,日記,何しろ,上着,万事
一番,二十日,長い,留学,見聞
白い,生きる,登校,四日,一言
少年,東部,本質,千円札,二番
午前,見せる,生まれる,南東,木の葉
夜中,天候,商人,親友,十九
七つ,半分,毎日,高校,大勢
小川,八丁,六時,解読,多分
旅行,有名,下手,彼女,四国
中学校,中立,将来,月並み,休息
基本,上る,休暇,六角,お金
火災,議長,今日,小さい,雨具
収入,手前,出る,天気予報,本物
読書,人間,男子,電車,男女
毎日,西暦,息子,下火,人生
国民,年寄り,十八番,時間割,祝日
父親,左肩,四角,出す,堀川
八百屋,祖父母,母校,下がる,以上
先生,電気,東北,七夕,午後中
英語,南北,途中,国籍,火事
東京,友達,友人,粘土,北口
靴下,香水,一緒,社長,西日
二十日,毎晩,左利き,休憩,五感
男性,電池,土台,万引き,数百
未来,言語,雨天,本棚,帽子
祖母,来週,円柱,名刺,半ば
発見,銀行,右折,聴聞,第三者
円満,川沿い,花火,北東,食べる
南極,真っ白,小屋,左右,通学
学校,百姓,先ず,谷川,書類
千里,分析,数千,国語,以下
土産,再三,直後,左折,電話
今週,火山,十七,図書館,背中
八つ,四季,入学,入れる,土手
自由,無くす,強い,地主,著者
会社,切手,部屋,話題,朝食
強盗,使う,境界,論文,強調
大使館,知恵,同調,理想,使い道
患者,少女,使用,後者,味覚
主食,社会,手袋,方言,視界
普通,言語,文学,屋上,代理
言葉,文化,自分,強化,自我
手紙,同じ,神社,知能,助言
作文,自然,知る,無理,社説
知識,趣味,味噌,自信,知らせる
問題,交通,主体,少ない,混同
同情,限界,今朝,政界,多少
少年,朝霧,理由,商社,小屋
毎朝,主人公,少し,興味,拍手
意味,学者,言う,使命,通り
無料,理解,難題,通す,題名
料理,家屋,無限,早朝,文法
世界,宿題,通る,同志,無効
屋根,勉強,医者,握手,主張
