Kanji,Core,Words,Hiragana,Meaning
人,person、man,人,ひと,person
人,person、man,日本人,にほんじん,Japanese
人,person、man,アメリカ人,アメリカじん,American
人,person、man,百人,ひゃくにん,100 people
人,person、man,人々,ひとびと,people
人,person、man,あの人,あのひと,that person
人,person、man,一人,ひとり,one person
人,person、man,二人,ふたり,two people
人,person、man,三人,さんにん,three people
人,person、man,大人,おとな,adult
人,person、man,女の人,おんなのひと,woman
人,person、man,人間,にんげん,human being
人,person、man,人口,じんこう,population
人,person、man,個人,こじん,"individual, personal"
人,person、man,友人,ゆうじん,friend
人,person、man,人生,じんせい,human life
一,one,一,いち,one
一,one,一つ,ひとつ,one
一,one,一人,ひとり,one person
一,one,一々,いちいち,one by one
一,one,一時,いちじ,one o’clock
一,one,一ページ,いちページ,one page
一,one,一分,いっぷん,one minute
一,one,一月,いちがつ,January
一,one,一ヶ月,いっかげつ,one month
一,one,一日,いちにち,"one day, all day long"
一,one,一日,ついたち,1st day of the month
一,one,一番,いちばん,"most, number one"
一,one,一緒,いっしょ,together
一,one,一生,いっしょう,whole life
一,one,一度,いちど,one time
一,one,一見,いっけん,glimpse
日,day,日,ひ、にち,day
日,day,一日,いちにち,"one day, all day long"
日,day,一日,ついたち,1st day of the month
日,day,二日,ふつか,"2nd day of the month, 2 days"
日,day,三日,みっか,"3rd day of the month, 3 days"
日,day,四日,よっか,"4th day of the month, 4 days"
日,day,五日,いつか,"5th day of the month, 5 days"
日,day,六日,むいか,"6th day of the month, 6 days"
日,day,日常,にちじょう,daily
日,day,毎日,まいにち,everyday
日,day,今日,きょう,today
日,day,本日,ほんじつ,today
日,day,休日,きゅうじつ,holiday
日,day,日記,にっき,diary
日,day,母の日,ははのひ,mother’s day
日,day,明日,あした,tomorrow
大,big、large,大きい,おおきい,big
大,big、large,大きいさ,おおきいさ,size
大,big、large,大学,だいがく,university
大,big、large,大好き,だいすき,very likeable
大,big、large,大金,たいきん,large money
大,big、large,大水,おおみず,flood
大,big、large,大人,おとな,adult
大,big、large,大家,おおや,landlord
大,big、large,大切,たいせつ,important
大,big、large,大使館,たいしかん,embassy
大,big、large,大分,だいぶ,a lot
大,big、large,大会,たいかい,convention
大,big、large,大いに,おおいに,very much
大,big、large,大事,だいじ,"important,　valuable"
大,big、large,大変,たいへん,"very, terribly, enormous, hard"
大,big、large,大丈夫,だいじょうぶ,"alright, safe"
年,year,年,とし,year
年,year,今年,ことし,this year
年,year,毎年,まいとし,every year
年,year,去年,きょねん,last year
年,year,来年,らいねん,next year
年,year,三年生,さんねんせい,3rd year student
年,year,一年,いちねん,one year
年,year,年間,ねんかん,a year (period) 
年,year,再来年,さらいねん,year after next
年,year,一昨年,おととし,year before last
年,year,少年,しょうねん,a boy
年,year,青年,せいねん,young man
年,year,中年,ちゅうねん,middle age man
年,year,定年,ていねん,retirement age
年,year,年代,ねんだい,"age, era, 　period"
年,year,年度,ねんど,fiscal year
出,take out、go　out,出る,でる,"to leave, exit"
出,take out、go　out,出かける,でかける,to go out
出,take out、go　out,出す,だす,"to take out, put out, submit"
出,take out、go　out,出口,でぐち,exit
出,take out、go　out,思い出す,おもいだす,to recall
出,take out、go　out,思い出,おもいで,a memory
出,take out、go　out,出火,しゅっか,fire outbreak
出,take out、go　out,出入りする,でいりする,going in and out
出,take out、go　out,日の出,ひので,sunrise
出,take out、go　out,人出,ひとで,crowd、turnout
出,take out、go　out,輸出,ゆしゅつ,export
出,take out、go　out,出席,しゅっせき,attendance
出,take out、go　out,提出する,ていしゅつする,"to submit, to present"
出,take out、go　out,出来る,できる,to be able
出,take out、go　out,引き出し,ひきだし,drawer
出,take out、go　out,引き出す,ひきだす,to pull out
本,book、main、origin、this,本,ほん,book
本,book、main、origin、this,日本,にほん,Japan
本,book、main、origin、this,本日,ほんじつ,today
本,book、main、origin、this,一本,いっぽん,1 long object
本,book、main、origin、this,二本,にほん,2 long object
本,book、main、origin、this,三本,さんぼん,3 long object
本,book、main、origin、this,本棚,ほんだな,bookshelves
本,book、main、origin、this,本当,ほんとう,truth
本,book、main、origin、this,本能,ほんのう,instinct
本,book、main、origin、this,本質,ほんしつ,essence
本,book、main、origin、this,本物,ほんもの,genuine article
本,book、main、origin、this,基本,きほん,basics
本,book、main、origin、this,本来,ほんらい,originally
本,book、main、origin、this,日本語,にほんご,Japanese Language
本,book、main、origin、this,本音,ほんね,real intention
本,book、main、origin、this,本文,ほんぶん,passage
中,book、main、origin、this,日本中,にほんじゅう,all over Japan
中,middle、throughout、inside,一日中,いちにちじゅう,all day long
中,middle、throughout、inside,一年中,いちねんじゅう,all year round
中,middle、throughout、inside,中国,ちゅうごく,China
中,middle、throughout、inside,中学校,ちゅうがっこう,Junior High school
中,middle、throughout、inside,世界中,せかいじゅう,all over the world
中,middle、throughout、inside,中止する,ちゅうしする,to stop
中,middle、throughout、inside,中級,ちゅうきゅう,intermediate　level
中,middle、throughout、inside,背中,せなか,back (body)
中,middle、throughout、inside,中心,ちゅうしん,center
中,middle、throughout、inside,集中,しゅうちゅう,"concentration, focusing"
中,middle、throughout、inside,中央,ちゅうおう,center
中,middle、throughout、inside,途中,とちゅう,"en route, on the way"
中,middle、throughout、inside,中間,ちゅうかん,"middle, midway"
中,middle、throughout、inside,水中,すいちゅう,underwater
中,middle、throughout、inside,日中,にっちゅう,during the day
子,child、sign,子供,こども,child
子,child、sign,女の子,おんあのこ,girl
子,child、sign,男の子,おとこのこ,boy
子,child、sign,女子,じょし,"woman, girl"
子,child、sign,男子,だんし,"man, boy"
子,child、sign,調子,ちょうし,"tune, tone, way, health"
子,child、sign,様子,ようす,"state, looks, sign, aspect"
子,child、sign,帽子,ぼうし,hat
子,child、sign,双子,ふたご,twins
子,child、sign,原子,げんし,atom
子,child、sign,電子,でんし,electron
子,child、sign,子,こ,child
子,child、sign,息子,むすこ,son
子,child、sign,親子,おやこ,parent and child
子,child、sign,お菓子,おかし,sweets
子,child、sign,分子,ぶんし,"numerator, molecule"
見,see、show、visible,見る,みる,to see
見,see、show、visible,見える,みえる,be visible
見,see、show、visible,見せる,みせる,to show
見,see、show、visible,見つかる,みつかる,"to be found, discovered"
見,see、show、visible,見つける,みつける,"to find, discover"
見,see、show、visible,見分ける,みわける,"tell apart, recognize"
見,see、show、visible,意見,いけん,"opinion, view"
見,see、show、visible,一見,いっけん,glance
見,see、show、visible,花見,はなみ,flower viewing
見,see、show、visible,見物,けんぶつ,sight seeing
見,see、show、visible,見事,みごと,"splendid, excellent"
見,see、show、visible,見出し,みだし,"heading, headline"
見,see、show、visible,見本,みほん,sample
見,see、show、visible,発見する,はっけんする,to discover (discovery)
見,see、show、visible,見学する,けんがくする,to inspect (inspection)
見,see、show、visible,見直す,みなおす,to re-examine
国,country,国,くに,country
国,country,外国,がいこく,foreign country
国,country,外国人,がいこくじん,foreigner
国,country,中国,ちゅうごく,China
国,country,韓国,かんこく,South Korea
国,country,大国,たいこく,large country
国,country,万国,ばんこく,all countries
国,country,国会,こっかい,"national diet, parliament"
国,country,国際,こくさい,international
国,country,国内,こくない,domestic
国,country,国籍,こくせき,nationality
国,country,国民,こくみん,citizen
国,country,国家,こっか,state、country
国,country,国境,こっきょう,national border
国,country,国語,こくご,national　language
国,country,全国,ぜんこく,whole country
上,top、upper、rise、raise,上,ue,"up, above"
上,top、upper、rise、raise,上がる,あがる,"to rise, to come up"
上,top、upper、rise、raise,上げる,あげる,"to raise, elevate"
上,top、upper、rise、raise,申し上げる,もうしあげる,"to say, state, tell"
上,top、upper、rise、raise,召し上がる,めしあがる,"to eat, to drink"
上,top、upper、rise、raise,差し上げる,さしあげる,"to give, to offer"
上,top、upper、rise、raise,取り上げる,とりあげる,to pick up
上,top、upper、rise、raise,持ち上げる,もちあげる,"to elevate, to raise"
上,top、upper、rise、raise,上る,のぼる,"to ascend, climb"
上,top、upper、rise、raise,上せる,のぼせる,to bring up
上,top、upper、rise、raise,上手,じょうず,skillful
上,top、upper、rise、raise,上着,うわぎ,coat
上,top、upper、rise、raise,以上,いじょう,not less than and more
上,top、upper、rise、raise,屋上,おくじょう,rooftop
上,top、upper、rise、raise,水上,すいじょう,on the water
上,top、upper、rise、raise,川上,かわかみ,upstream
分,portion、minute、divide、understand,分かる,わかる,to understand
分,portion、minute、divide、understand,分ける,わける,"to devide, to split"
分,portion、minute、divide、understand,分かれる,わかれる,to separate
分,portion、minute、divide、understand,気分,きぶん,"feeling, mood"
分,portion、minute、divide、understand,十分,じゅうぶん,enough
分,portion、minute、divide、understand,自分,じぶん,myself
分,portion、minute、divide、understand,多分,たぶん,perhaps
分,portion、minute、divide、understand,半分,はんぶん,half
分,portion、minute、divide、understand,水分,すいぶん,"water, liquid"
分,portion、minute、divide、understand,部分,ぶぶん,portion
分,portion、minute、divide、understand,分析,ぶんせき,analysis
分,portion、minute、divide、understand,大分,だいぶ,considerably
分,portion、minute、divide、understand,身分,みぶん,social status
分,portion、minute、divide、understand,分類,ぶんるい,classification
分,portion、minute、divide、understand,配分,はいぶん,distribution
分,portion、minute、divide、understand,引き分け,ひきわけ,draw (game)
生,life、live、birth、born、raw、pure,生,なま,"raw, fresh"
生,life、live、birth、born、raw、pure,生きる,いきる,"to live, to exist"
生,life、live、birth、born、raw、pure,生ける,いける,"to plant, living"
生,life、live、birth、born、raw、pure,生かす,いかす,"put in good use, let live"
生,life、live、birth、born、raw、pure,生まれる,うまれる,to be born
生,life、live、birth、born、raw、pure,生む,うむ,to give birth
生,life、live、birth、born、raw、pure,生える,はえる,"to　grow, to spring"
生,life、live、birth、born、raw、pure,生やす,はやす,"to grow, to  cultivate"
生,life、live、birth、born、raw、pure,学生,がくせい,student
生,life、live、birth、born、raw、pure,先生,せんせい,"teacher, master"
生,life、live、birth、born、raw、pure,人生,じんせい,human life
生,life、live、birth、born、raw、pure,生物,せいぶつ,living thing
生,life、live、birth、born、raw、pure,生命,せいめい,life、existence
生,life、live、birth、born、raw、pure,誕生日,たんじょうび,birthday
生,life、live、birth、born、raw、pure,生活する,せいかつする,"living, livelihood"
生,life、live、birth、born、raw、pure,生産する,せいさんする,"manufacture, production"
行,go、perform、carry out,行く,いく,to go
行,go、perform、carry out,行う,おこなう,"to perform, carry out"
行,go、perform、carry out,旅行する,りょこうする,travel
行,go、perform、carry out,行動する,こうどうする,"action, conduct"
行,go、perform、carry out,急行する,きゅうこうする,"hurrying, rushing"
行,go、perform、carry out,発行する,はっこうする,"publication, issue"
行,go、perform、carry out,通行する,つうこうする,"passage, passing"
行,go、perform、carry out,飛行機,ひこうき,airplane
行,go、perform、carry out,銀行,ぎんこう,bank
行,go、perform、carry out,行方,ゆくえ,whereabouts
行,go、perform、carry out,行先,ゆくさき,"destination, prospect"
