Time,Script,Translation
0s,みなさん、こんにちは！,"Hello, everyone!"
1s,日本語教師の手塚です。,"I'm Tezuka, your Japanese teacher."
4s,今日は「という」を使った6つの文法を紹介します。,"Today I'd like to introduce you to six grammatical constructions using the word ""say""."
10s,会話の中で、気持ちを強調したり、,It's a very useful grammar for emphasizing feelings in conversation.
15s,とても役に立つ文法です。,It's a very useful grammar.
18s,ぜひ、この動画を見て、,Please watch this video and
20s,「という」の文法をマスターしましょう！,"Watch this video and master the grammar of ""say""!"
24s,まず、「という」を使った会話をします。,"First, we'll have a conversation using the word ""say""."
28s,それぞれの文法が、どういう意味で,"First, let's have a conversation using the word ""say"" and see what each grammar means and how it is used."
31s,どんなふうに使われていたか、,and how it was used.
33s,考えながら見てくださいね。,"First, let's have a conversation using the word ""say."
36s,「そういえば富士山に登って、頂上まで行ったんだって？,"""I heard that you climbed Mt."
40s,すごいねー！」,"That's great!"""
42s,「途中まで車でいって、そこから登ったんだ。,"""We drove halfway up and climbed from there."
45s,だから、けっこう楽だったよ。」,So it was pretty easy.
48s,「いやいや、いくら楽だといっても、,"""Well, no matter how easy it is."
50s,誰もが頂上まで行けるというものではないよ。,"No matter how easy it is, not everyone can make it to the top."
55s,頂上でとった写真、ある？」,Do you have a picture of the summit?
57s,「うん、これ。」,"""Yeah, here."
59s,「わー！すごいな！,"""Wow! It's amazing!"
1:01,富士山の頂上から見た景色といったら、,The view from the top of Mt.
1:04,思い出すだけで感動するでしょ？」,"Fuji, don't you think?"
1:07,「そうだね。」,"""Yes, it is."
1:08,「苦労したかいがあったというものだね。」,"""It's worth all the trouble, isn't it?"
1:12,「今度、登ってみたら？」,"""Why don't you go up sometime?"
1:14,「登りたいといえば登りたいけど、,"""I mean, I'd love to, but..."
1:17,ちょっと体力が心配かも…。」,But I'm not sure I'm strong enough...
1:20,「じゃあ、今からトレーニングだね。」,"""Well, I guess we'll have to start training now."
1:23,「そうだね。あ、トレーニングといえば、,"""That's right. Oh, speaking of training."
1:27,山田さんも最近ジムに通い始めたそうだよ。,"Speaking of training, I heard that Yamada-san has recently started going to the gym."
1:31,私も山田さんと一緒にがんばろうかな！」,I think I'll work hard together with you!
1:34,はい。今の会話の中で、6つの文法が出てきました。,"Yes. In this conversation, six grammatical constructions came up."
1:41,～といっても,"～Even though it is called ~, it is not"
1:43,～というものではない。,"It's not something called ""～""."
1:45,～といったら,"When I say ""～"", I mean"
1:48,～というものだ。,"When I say ""～"", I mean ""～""."
1:50,AといえばA,"When I say A, I mean A."
1:53,AといえばB,"When I say A, I mean B"
1:59,1つ1つの意味をチェックしましょう！,Let's check the meaning of each of them one by one!
2:02,「そういえば富士山に登って、頂上まで行ったんだって？,"""So, I heard you climbed Mt."
2:06,すごいねー！」,"That's great!"""
2:08,「途中まで車でいって、そこから登ったんだ。,"""I drove halfway up and climbed from there."
2:11,だから、けっこう楽だったよ。」,"So it was pretty easy."""
2:14,「いやいや、いくら楽だといっても、,"""Well, no matter how easy it is."
2:17,誰もが頂上まで行けるというものではないよ。」,"No matter how easy it is, not everyone can make it to the top."
2:22,会話の中で、出てきたのは、こんな言葉でした。,The words that came out of the conversation were.
2:27,「いくら楽だといっても、,"""It doesn't matter how easy it is."
2:29,誰もが頂上まで行けるというものではないよ」,"""Just because it's easy doesn't mean that everyone can reach the top."""
2:43,分かりましたか？,Do you understand?
2:45,それぞれ、意味と用法をみていきましょう。,Let's take a look at the meaning and usage of each word.
2:49,1つ目は「といっても」です。,"The first one is ""even though""."
2:56,動詞・イ形容詞・ナ形容詞・名詞に接続します。,"It is connected to verbs, adjectives, nouns, and nouns."
3:02,意味は、「イメージとは違って実際は…」です。,"It means ""Unlike the image, the reality is...""."
3:08,たとえば、,For example
3:10,「会社と言っても、社員は3人しかいません。」,"""There are only three employees in the company."
