Word,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
不安,主食,書店,受け持つ,弟子,水田,自由,夏祭り,悪漢,外野,飲み屋,真冬,羊肉,動作,画する,目立つ
会社,無くす,試験,研ぐ,写る,縁起,京形,平野,本音,立ち上がる,助教授,注入,風土,茶飯事,財政赤字,弟妹
悪魔,世紀,店員,歩く,有利,親しい,湿度,足首,田舎者,握手する,壁画,用心,一人旅,受け止める,立ち止まる,思い直す
田舎,注射,自体,職員,社説,追究,終身,除去,週刊誌,木工,家賃,政治的,別人,乗組員,白血病,主体
強い,仕方,英雄,貸間,終戦,目茶苦茶,地平線,委員,多額,帰省,同曜日,助手,難問,活動,音量,他社
手紙,待つ,強化,素早い,会う,強調,図表,外洋,家出,指図,春秋,学会,明確,天使,高弟,秋雨前線
弟,蛇口,朝食,暴力,通学,科目,無知,終日,狂犬,田舎道,不可能,同町,以ての外,甘味料,永田町,期末試験
風邪,本屋,奉仕,肌着,稽古,始発駅,近頃,広々,有難い,定員,仕掛け,温度計,社員,心電図,秋の蝉,皇族
元,集合,青い,公共,黄色い,真理,味方,世論,開発,理性,穀物,重点,方面,場面,学院,好漢
開く,進歩,着く,朝ご飯,英訳,足し算,自転,早期,私鉄,収集,通う,春季,茶の間,公定歩合,野郎,京阪奈
体温,近く,両親,町中,死体,貴重,通訳,手本,歌手,商業,脚色,持ち切り,未開,浮力,受験勉強,不規則
商品,足跡,近所,師弟,原理,お手洗い,夏ばて,理論,地獄,牛車,多大,洋風,音痴,悪天候,料,白昼堂々
冬,寺院,劇場,青少年,京阪,漢和,花嫁,購買力,料金,出発,歩兵,買い取る,貸出用,歌合,航空券,私邸
東京,限界,今夜,手元,議題,作る,農業,一般,間借り,屋敷,ひき肉,鳥獣,医院,朝市,滑走,同棲
急ぐ,有名,心得る,食事,新た,ご馳走,特色,有無,安否,新型,姉妹都市,研究員,船員,終始,誤字,感服
料理,借金,動物園,絵画,買収,愛犬,無茶,がり勉,思いつく,町役場,無事,目覚まし,手応え,持ち主,終息,歩み寄る
